Step 28 | Time: 0.467s | Pos: (637.0, 351.7) | Vel: (9.8, -39.9) | Orient: 1.77 rad | AngVel: -2.00 | Speed: 41.1 | DistToTarget: 218.9 | Colliding: False | NearestObstacle: 108.0
Step 29 | Time: 0.483s | Pos: (637.2, 351.0) | Vel: (12.5, -42.0) | Orient: 1.74 rad | AngVel: -2.00 | Speed: 43.8 | DistToTarget: 218.5 | Colliding: False | NearestObstacle: 108.0
Step 30 | Time: 0.500s | Pos: (637.5, 350.2) | Vel: (15.4, -44.1) | Orient: 1.70 rad | AngVel: -2.00 | Speed: 46.7 | DistToTarget: 218.0 | Colliding: False | NearestObstacle: 108.0
Step 31 | Time: 0.517s | Pos: (637.8, 349.5) | Vel: (18.4, -46.2) | Orient: 1.67 rad | AngVel: -2.00 | Speed: 49.7 | DistToTarget: 217.4 | Colliding: False | NearestObstacle: 108.0
Step 32 | Time: 0.533s | Pos: (638.2, 348.6) | Vel: (21.5, -48.4) | Orient: 1.64 rad | AngVel: -2.00 | Speed: 53.0 | DistToTarget: 216.8 | Colliding: False | NearestObstacle: 108.0
Step 33 | Time: 0.550s | Pos: (638.6, 347.8) | Vel: (24.8, -50.7) | Orient: 1.60 rad | AngVel: -2.00 | Speed: 56.4 | DistToTarget: 216.2 | Colliding: False | NearestObstacle: 107.9
Step 34 | Time: 0.567s | Pos: (639.0, 346.9) | Vel: (28.2, -53.0) | Orient: 1.57 rad | AngVel: -2.00 | Speed: 60.0 | DistToTarget: 215.5 | Colliding: False | NearestObstacle: 107.9
Step 35 | Time: 0.583s | Pos: (639.6, 346.0) | Vel: (31.8, -55.3) | Orient: 1.54 rad | AngVel: -2.00 | Speed: 63.8 | DistToTarget: 214.7 | Colliding: False | NearestObstacle: 107.7
Step 36 | Time: 0.600s | Pos: (640.2, 345.0) | Vel: (35.5, -57.7) | Orient: 1.50 rad | AngVel: -2.00 | Speed: 67.7 | DistToTarget: 213.8 | Colliding: False | NearestObstacle: 107.6
Step 37 | Time: 0.617s | Pos: (640.8, 344.0) | Vel: (39.3, -60.1) | Orient: 1.47 rad | AngVel: -2.00 | Speed: 71.8 | DistToTarget: 212.9 | Colliding: False | NearestObstacle: 107.4
Step 38 | Time: 0.633s | Pos: (641.5, 343.0) | Vel: (43.3, -62.5) | Orient: 1.44 rad | AngVel: -2.00 | Speed: 76.0 | DistToTarget: 211.9 | Colliding: False | NearestObstacle: 107.2
Step 39 | Time: 0.650s | Pos: (642.3, 341.9) | Vel: (47.3, -65.0) | Orient: 1.40 rad | AngVel: -2.00 | Speed: 80.4 | DistToTarget: 210.8 | Colliding: False | NearestObstacle: 106.9
Step 40 | Time: 0.667s | Pos: (643.2, 340.8) | Vel: (51.5, -67.5) | Orient: 1.37 rad | AngVel: -2.00 | Speed: 84.9 | DistToTarget: 209.6 | Colliding: False | NearestObstacle: 106.6
Step 41 | Time: 0.683s | Pos: (644.1, 339.6) | Vel: (55.8, -70.1) | Orient: 1.34 rad | AngVel: -2.00 | Speed: 89.6 | DistToTarget: 208.4 | Colliding: False | NearestObstacle: 106.3
Step 42 | Time: 0.700s | Pos: (645.1, 338.4) | Vel: (60.2, -72.7) | Orient: 1.30 rad | AngVel: -2.00 | Speed: 94.4 | DistToTarget: 207.1 | Colliding: False | NearestObstacle: 106.0
Step 43 | Time: 0.717s | Pos: (646.2, 337.1) | Vel: (64.7, -75.4) | Orient: 1.27 rad | AngVel: -2.00 | Speed: 99.4 | DistToTarget: 205.7 | Colliding: False | NearestObstacle: 105.6
Step 44 | Time: 0.733s | Pos: (647.3, 335.9) | Vel: (66.4, -74.8) | Orient: 1.24 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 204.3 | Colliding: False | NearestObstacle: 105.2
Step 45 | Time: 0.750s | Pos: (648.4, 334.7) | Vel: (67.6, -73.7) | Orient: 1.20 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 202.9 | Colliding: False | NearestObstacle: 104.8
Step 46 | Time: 0.767s | Pos: (649.6, 333.5) | Vel: (68.8, -72.6) | Orient: 1.17 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 201.4 | Colliding: False | NearestObstacle: 104.4
