Step 28 | Time: 0.467s | Pos: (621.2, 351.7) | Vel: (23.9, -107.7) | Orient: -0.57 rad | AngVel: 0.19 | Speed: 110.4 | DistToTarget: 417.8 | Colliding: False | NearestObstacle: 115.2
Step 29 | Time: 0.483s | Pos: (621.6, 350.0) | Vel: (23.6, -101.7) | Orient: -0.57 rad | AngVel: 0.17 | Speed: 104.4 | DistToTarget: 416.5 | Colliding: False | NearestObstacle: 113.6
Step 30 | Time: 0.500s | Pos: (621.9, 348.4) | Vel: (22.9, -95.2) | Orient: -0.57 rad | AngVel: 0.16 | Speed: 98.0 | DistToTarget: 415.3 | Colliding: False | NearestObstacle: 112.0
Step 31 | Time: 0.517s | Pos: (622.3, 346.9) | Vel: (22.0, -88.4) | Orient: -0.56 rad | AngVel: 0.14 | Speed: 91.1 | DistToTarget: 414.2 | Colliding: False | NearestObstacle: 110.6
Step 32 | Time: 0.533s | Pos: (622.6, 345.5) | Vel: (20.8, -81.3) | Orient: -0.56 rad | AngVel: 0.14 | Speed: 83.9 | DistToTarget: 413.2 | Colliding: False | NearestObstacle: 109.3
Step 33 | Time: 0.550s | Pos: (623.0, 344.3) | Vel: (19.6, -74.0) | Orient: -0.56 rad | AngVel: 0.13 | Speed: 76.5 | DistToTarget: 412.3 | Colliding: False | NearestObstacle: 108.1
Step 34 | Time: 0.567s | Pos: (623.3, 343.2) | Vel: (18.3, -66.6) | Orient: -0.56 rad | AngVel: 0.12 | Speed: 69.1 | DistToTarget: 411.4 | Colliding: False | NearestObstacle: 107.0
Step 35 | Time: 0.583s | Pos: (623.6, 342.2) | Vel: (17.2, -59.3) | Orient: -0.56 rad | AngVel: 0.10 | Speed: 61.7 | DistToTarget: 410.7 | Colliding: False | NearestObstacle: 106.0
Step 36 | Time: 0.600s | Pos: (623.8, 341.3) | Vel: (16.3, -51.9) | Orient: -0.55 rad | AngVel: 0.09 | Speed: 54.4 | DistToTarget: 410.0 | Colliding: False | NearestObstacle: 105.1
Step 37 | Time: 0.617s | Pos: (624.1, 340.6) | Vel: (15.7, -44.7) | Orient: -0.55 rad | AngVel: 0.08 | Speed: 47.4 | DistToTarget: 409.4 | Colliding: False | NearestObstacle: 104.4
Step 38 | Time: 0.633s | Pos: (624.4, 340.0) | Vel: (15.5, -37.7) | Orient: -0.55 rad | AngVel: 0.06 | Speed: 40.7 | DistToTarget: 408.8 | Colliding: False | NearestObstacle: 103.7
Step 39 | Time: 0.650s | Pos: (624.6, 339.5) | Vel: (15.9, -30.8) | Orient: -0.55 rad | AngVel: 0.05 | Speed: 34.6 | DistToTarget: 408.3 | Colliding: False | NearestObstacle: 103.1
Step 40 | Time: 0.667s | Pos: (624.9, 339.1) | Vel: (16.8, -24.1) | Orient: -0.55 rad | AngVel: 0.03 | Speed: 29.4 | DistToTarget: 407.9 | Colliding: False | NearestObstacle: 102.6
Step 41 | Time: 0.683s | Pos: (625.2, 338.8) | Vel: (18.5, -17.6) | Orient: -0.55 rad | AngVel: 0.01 | Speed: 25.5 | DistToTarget: 407.5 | Colliding: False | NearestObstacle: 102.2
Step 42 | Time: 0.700s | Pos: (625.6, 338.6) | Vel: (21.0, -11.4) | Orient: -0.55 rad | AngVel: -0.00 | Speed: 23.9 | DistToTarget: 407.1 | Colliding: False | NearestObstacle: 101.9
Step 43 | Time: 0.717s | Pos: (626.0, 338.5) | Vel: (24.4, -5.4) | Orient: -0.55 rad | AngVel: -0.02 | Speed: 24.9 | DistToTarget: 406.7 | Colliding: False | NearestObstacle: 101.6
