Step 28 | Time: 0.467s | Pos: (639.3, 367.9) | Vel: (2.7, 42.9) | Orient: 2.59 rad | AngVel: -2.00 | Speed: 43.0 | DistToTarget: 137.7 | Colliding: False | NearestObstacle: 110.8
Step 29 | Time: 0.483s | Pos: (639.4, 368.7) | Vel: (3.4, 45.6) | Orient: 2.56 rad | AngVel: -2.00 | Speed: 45.8 | DistToTarget: 137.0 | Colliding: False | NearestObstacle: 111.0
Step 30 | Time: 0.500s | Pos: (639.4, 369.5) | Vel: (4.1, 48.4) | Orient: 2.52 rad | AngVel: -2.00 | Speed: 48.6 | DistToTarget: 136.2 | Colliding: False | NearestObstacle: 111.3
Step 31 | Time: 0.517s | Pos: (639.5, 370.3) | Vel: (4.9, 51.2) | Orient: 2.49 rad | AngVel: -2.00 | Speed: 51.4 | DistToTarget: 135.4 | Colliding: False | NearestObstacle: 111.6
Step 32 | Time: 0.533s | Pos: (639.6, 371.2) | Vel: (5.8, 54.1) | Orient: 2.46 rad | AngVel: -2.00 | Speed: 54.4 | DistToTarget: 134.5 | Colliding: False | NearestObstacle: 111.8
Step 33 | Time: 0.550s | Pos: (639.7, 372.2) | Vel: (6.6, 57.0) | Orient: 2.42 rad | AngVel: -2.00 | Speed: 57.4 | DistToTarget: 133.6 | Colliding: False | NearestObstacle: 112.1
Step 34 | Time: 0.567s | Pos: (639.8, 373.2) | Vel: (7.6, 60.0) | Orient: 2.39 rad | AngVel: -2.00 | Speed: 60.5 | DistToTarget: 132.7 | Colliding: False | NearestObstacle: 112.4
Step 35 | Time: 0.583s | Pos: (640.0, 374.2) | Vel: (8.5, 63.1) | Orient: 2.36 rad | AngVel: -2.00 | Speed: 63.7 | DistToTarget: 131.6 | Colliding: False | NearestObstacle: 112.8
Step 36 | Time: 0.600s | Pos: (640.2, 375.3) | Vel: (9.6, 66.3) | Orient: 2.32 rad | AngVel: -2.00 | Speed: 66.9 | DistToTarget: 130.6 | Colliding: False | NearestObstacle: 113.1
Step 37 | Time: 0.617s | Pos: (640.3, 376.5) | Vel: (10.6, 69.4) | Orient: 2.29 rad | AngVel: -2.00 | Speed: 70.2 | DistToTarget: 129.4 | Colliding: False | NearestObstacle: 113.4
Step 38 | Time: 0.633s | Pos: (640.5, 377.7) | Vel: (11.7, 72.7) | Orient: 2.26 rad | AngVel: -2.00 | Speed: 73.6 | DistToTarget: 128.3 | Colliding: False | NearestObstacle: 113.8
Step 39 | Time: 0.650s | Pos: (640.7, 379.0) | Vel: (12.8, 76.0) | Orient: 2.22 rad | AngVel: -2.00 | Speed: 77.1 | DistToTarget: 127.0 | Colliding: False | NearestObstacle: 114.2
Step 40 | Time: 0.667s | Pos: (641.0, 380.3) | Vel: (14.0, 79.3) | Orient: 2.19 rad | AngVel: -2.00 | Speed: 80.6 | DistToTarget: 125.7 | Colliding: False | NearestObstacle: 114.6
Step 41 | Time: 0.683s | Pos: (641.2, 381.7) | Vel: (15.3, 82.7) | Orient: 2.16 rad | AngVel: -2.00 | Speed: 84.1 | DistToTarget: 124.4 | Colliding: False | NearestObstacle: 115.0
Step 42 | Time: 0.700s | Pos: (641.5, 383.1) | Vel: (16.5, 86.2) | Orient: 2.12 rad | AngVel: -2.00 | Speed: 87.7 | DistToTarget: 123.0 | Colliding: False | NearestObstacle: 115.4
Step 43 | Time: 0.717s | Pos: (641.8, 384.6) | Vel: (17.8, 89.7) | Orient: 2.09 rad | AngVel: -2.00 | Speed: 91.4 | DistToTarget: 121.5 | Colliding: False | NearestObstacle: 115.9
Step 44 | Time: 0.733s | Pos: (642.1, 386.1) | Vel: (19.2, 93.2) | Orient: 2.06 rad | AngVel: -2.00 | Speed: 95.1 | DistToTarget: 119.9 | Colliding: False | NearestObstacle: 116.3
Step 45 | Time: 0.750s | Pos: (642.5, 387.8) | Vel: (20.6, 96.8) | Orient: 2.02 rad | AngVel: -2.00 | Speed: 98.9 | DistToTarget: 118.3 | Colliding: False | NearestObstacle: 116.8
Step 46 | Time: 0.767s | Pos: (642.8, 389.4) | Vel: (21.5, 97.7) | Orient: 1.99 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 116.7 | Colliding: False | NearestObstacle: 117.3
Step 47 | Time: 0.783s | Pos: (643.2, 391.0) | Vel: (22.1, 97.5) | Orient: 1.96 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 115.1 | Colliding: False | NearestObstacle: 117.8
Step 48 | Time: 0.800s | Pos: (643.6, 392.6) | Vel: (22.7, 97.4) | Orient: 1.92 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 113.5 | Colliding: False | NearestObstacle: 118.4
Step 49 | Time: 0.817s | Pos: (644.0, 394.2) | Vel: (23.4, 97.2) | Orient: 1.89 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 111.9 | Colliding: False | NearestObstacle: 118.9
Step 50 | Time: 0.833s | Pos: (644.4, 395.9) | Vel: (24.0, 97.1) | Orient: 1.86 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 110.2 | Colliding: False | NearestObstacle: 119.4
Step 51 | Time: 0.850s | Pos: (644.8, 397.5) | Vel: (24.7, 96.9) | Orient: 1.82 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 108.6 | Colliding: False | NearestObstacle: 119.9
Step 52 | Time: 0.867s | Pos: (645.2, 399.1) | Vel: (25.3, 96.7) | Orient: 1.79 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 107.0 | Colliding: False | NearestObstacle: 120.5
Step 53 | Time: 0.883s | Pos: (645.6, 400.7) | Vel: (26.0, 96.6) | Orient: 1.76 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 105.4 | Colliding: False | NearestObstacle: 121.0
Step 54 | Time: 0.900s | Pos: (646.1, 402.3) | Vel: (26.6, 96.4) | Orient: 1.72 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 103.7 | Colliding: False | NearestObstacle: 121.6
Step 55 | Time: 0.917s | Pos: (646.5, 403.9) | Vel: (27.3, 96.2) | Orient: 1.69 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 102.1 | Colliding: False | NearestObstacle: 122.1
Step 56 | Time: 0.933s | Pos: (647.0, 405.5) | Vel: (28.0, 96.0) | Orient: 1.66 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 100.5 | Colliding: False | NearestObstacle: 122.7
Step 57 | Time: 0.950s | Pos: (647.5, 407.1) | Vel: (28.6, 95.8) | Orient: 1.62 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 98.8 | Colliding: False | NearestObstacle: 123.2
Step 58 | Time: 0.967s | Pos: (648.0, 408.7) | Vel: (29.3, 95.6) | Orient: 1.59 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 97.2 | Colliding: False | NearestObstacle: 123.8
Step 59 | Time: 0.983s | Pos: (648.5, 410.3) | Vel: (29.9, 95.4) | Orient: 1.56 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 95.6 | Colliding: False | NearestObstacle: 124.3
Step 60 | Time: 1.000s | Pos: (649.0, 411.9) | Vel: (30.6, 95.2) | Orient: 1.52 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 93.9 | Colliding: False | NearestObstacle: 124.9
Step 61 | Time: 1.017s | Pos: (649.5, 413.5) | Vel: (31.3, 95.0) | Orient: 1.49 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 92.3 | Colliding: False | NearestObstacle: 125.5
Step 62 | Time: 1.033s | Pos: (650.0, 415.0) | Vel: (31.9, 94.8) | Orient: 1.46 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 90.7 | Colliding: False | NearestObstacle: 126.0
Step 63 | Time: 1.050s | Pos: (650.6, 416.6) | Vel: (32.6, 94.6) | Orient: 1.42 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 89.0 | Colliding: False | NearestObstacle: 126.6
Step 64 | Time: 1.067s | Pos: (651.1, 418.2) | Vel: (33.2, 94.3) | Orient: 1.39 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 87.4 | Colliding: False | NearestObstacle: 127.2
Step 65 | Time: 1.083s | Pos: (651.7, 419.8) | Vel: (33.8, 94.1) | Orient: 1.36 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 85.8 | Colliding: False | NearestObstacle: 127.8
Step 66 | Time: 1.100s | Pos: (652.2, 421.3) | Vel: (34.5, 93.9) | Orient: 1.32 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 84.1 | Colliding: False | NearestObstacle: 128.4
Step 67 | Time: 1.117s | Pos: (652.8, 422.9) | Vel: (35.1, 93.6) | Orient: 1.29 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 82.5 | Colliding: False | NearestObstacle: 129.0
Step 68 | Time: 1.133s | Pos: (653.4, 424.4) | Vel: (35.7, 93.4) | Orient: 1.26 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 80.8 | Colliding: False | NearestObstacle: 129.6
Step 69 | Time: 1.150s | Pos: (654.0, 426.0) | Vel: (36.3, 93.2) | Orient: 1.22 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 79.2 | Colliding: False | NearestObstacle: 130.2
Step 70 | Time: 1.167s | Pos: (654.6, 427.5) | Vel: (36.9, 92.9) | Orient: 1.19 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 77.5 | Colliding: False | NearestObstacle: 130.8
Step 71 | Time: 1.183s | Pos: (655.3, 429.1) | Vel: (37.5, 92.7) | Orient: 1.16 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 75.9 | Colliding: False | NearestObstacle: 131.4
Step 72 | Time: 1.200s | Pos: (655.9, 430.6) | Vel: (38.1, 92.5) | Orient: 1.12 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 74.2 | Colliding: False | NearestObstacle: 132.0
Step 73 | Time: 1.217s | Pos: (656.6, 432.2) | Vel: (38.7, 92.2) | Orient: 1.09 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 72.6 | Colliding: False | NearestObstacle: 132.6
Step 74 | Time: 1.233s | Pos: (657.2, 433.7) | Vel: (39.3, 92.0) | Orient: 1.06 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 70.9 | Colliding: False | NearestObstacle: 133.2
Step 75 | Time: 1.250s | Pos: (657.9, 435.2) | Vel: (39.9, 91.7) | Orient: 1.03 rad | AngVel: -1.91 | Speed: 100.0 | DistToTarget: 69.3 | Colliding: False | NearestObstacle: 133.8
Step 76 | Time: 1.267s | Pos: (658.5, 436.8) | Vel: (40.4, 91.5) | Orient: 1.00 rad | AngVel: -1.39 | Speed: 100.0 | DistToTarget: 67.6 | Colliding: False | NearestObstacle: 134.4
Step 77 | Time: 1.283s | Pos: (659.2, 438.3) | Vel: (41.0, 91.2) | Orient: 0.99 rad | AngVel: -0.76 | Speed: 100.0 | DistToTarget: 66.0 | Colliding: False | NearestObstacle: 135.1
Step 78 | Time: 1.300s | Pos: (659.9, 439.8) | Vel: (41.5, 91.0) | Orient: 0.99 rad | AngVel: -0.26 | Speed: 100.0 | DistToTarget: 64.3 | Colliding: False | NearestObstacle: 135.7
Step 79 | Time: 1.317s | Pos: (660.6, 441.3) | Vel: (42.1, 90.7) | Orient: 0.99 rad | AngVel: 0.04 | Speed: 100.0 | DistToTarget: 62.7 | Colliding: False | NearestObstacle: 136.3
Step 80 | Time: 1.333s | Pos: (661.3, 442.8) | Vel: (42.6, 90.5) | Orient: 0.99 rad | AngVel: 0.14 | Speed: 100.0 | DistToTarget: 61.0 | Colliding: False | NearestObstacle: 137.0
Step 81 | Time: 1.350s | Pos: (662.1, 444.3) | Vel: (43.2, 90.2) | Orient: 0.99 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 59.4 | Colliding: False | NearestObstacle: 137.6
Step 82 | Time: 1.367s | Pos: (662.8, 445.8) | Vel: (43.7, 90.0) | Orient: 0.99 rad | AngVel: -0.02 | Speed: 100.0 | DistToTarget: 57.7 | Colliding: False | NearestObstacle: 138.3
Step 83 | Time: 1.383s | Pos: (663.5, 447.3) | Vel: (44.2, 89.7) | Orient: 0.99 rad | AngVel: -0.14 | Speed: 100.0 | DistToTarget: 56.1 | Colliding: False | NearestObstacle: 138.9
Step 84 | Time: 1.400s | Pos: (664.3, 448.8) | Vel: (44.7, 89.4) | Orient: 0.98 rad | AngVel: -0.23 | Speed: 100.0 | DistToTarget: 54.4 | Colliding: False | NearestObstacle: 139.6
Step 85 | Time: 1.417s | Pos: (665.0, 450.3) | Vel: (45.2, 89.2) | Orient: 0.98 rad | AngVel: -0.28 | Speed: 100.0 | DistToTarget: 52.8 | Colliding: False | NearestObstacle: 140.2
Step 86 | Time: 1.433s | Pos: (665.8, 451.8) | Vel: (45.7, 88.9) | Orient: 0.97 rad | AngVel: -0.30 | Speed: 100.0 | DistToTarget: 51.1 | Colliding: False | NearestObstacle: 140.9
Step 87 | Time: 1.450s | Pos: (666.5, 453.2) | Vel: (46.2, 88.7) | Orient: 0.97 rad | AngVel: -0.29 | Speed: 100.0 | DistToTarget: 49.5 | Colliding: False | NearestObstacle: 141.5
Step 88 | Time: 1.467s | Pos: (667.3, 454.7) | Vel: (46.7, 88.4) | Orient: 0.96 rad | AngVel: -0.27 | Speed: 100.0 | DistToTarget: 47.8 | Colliding: False | NearestObstacle: 142.2
Step 89 | Time: 1.483s | Pos: (668.1, 456.2) | Vel: (47.2, 88.2) | Orient: 0.96 rad | AngVel: -0.26 | Speed: 100.0 | DistToTarget: 46.2 | Colliding: False | NearestObstacle: 142.9
Step 90 | Time: 1.500s | Pos: (668.9, 457.7) | Vel: (47.7, 87.9) | Orient: 0.96 rad | AngVel: -0.25 | Speed: 100.0 | DistToTarget: 44.5 | Colliding: False | NearestObstacle: 143.6
Step 91 | Time: 1.517s | Pos: (669.7, 459.1) | Vel: (48.1, 87.7) | Orient: 0.95 rad | AngVel: -0.25 | Speed: 100.0 | DistToTarget: 42.8 | Colliding: False | NearestObstacle: 144.2
Step 92 | Time: 1.533s | Pos: (670.5, 460.6) | Vel: (48.6, 87.4) | Orient: 0.95 rad | AngVel: -0.25 | Speed: 100.0 | DistToTarget: 41.2 | Colliding: False | NearestObstacle: 144.9
Step 93 | Time: 1.550s | Pos: (671.3, 462.0) | Vel: (49.1, 87.1) | Orient: 0.94 rad | AngVel: -0.27 | Speed: 100.0 | DistToTarget: 39.5 | Colliding: False | NearestObstacle: 145.6
Step 94 | Time: 1.567s | Pos: (672.2, 463.5) | Vel: (49.5, 86.9) | Orient: 0.94 rad | AngVel: -0.28 | Speed: 100.0 | DistToTarget: 37.9 | Colliding: False | NearestObstacle: 146.3
Step 95 | Time: 1.583s | Pos: (673.0, 464.9) | Vel: (50.0, 86.6) | Orient: 0.93 rad | AngVel: -0.30 | Speed: 100.0 | DistToTarget: 36.2 | Colliding: False | NearestObstacle: 147.0
Step 96 | Time: 1.600s | Pos: (673.8, 466.4) | Vel: (50.5, 86.3) | Orient: 0.93 rad | AngVel: -0.31 | Speed: 100.0 | DistToTarget: 34.6 | Colliding: False | NearestObstacle: 147.7
Step 97 | Time: 1.617s | Pos: (674.7, 467.8) | Vel: (50.9, 86.1) | Orient: 0.92 rad | AngVel: -0.33 | Speed: 100.0 | DistToTarget: 32.9 | Colliding: False | NearestObstacle: 148.4
Step 98 | Time: 1.633s | Pos: (675.5, 469.2) | Vel: (51.4, 85.8) | Orient: 0.92 rad | AngVel: -0.34 | Speed: 100.0 | DistToTarget: 31.3 | Colliding: False | NearestObstacle: 149.1
Step 99 | Time: 1.650s | Pos: (676.4, 470.6) | Vel: (51.8, 85.5) | Orient: 0.91 rad | AngVel: -0.36 | Speed: 100.0 | DistToTarget: 29.6 | Colliding: False | NearestObstacle: 149.8
Step 100 | Time: 1.667s | Pos: (677.3, 472.1) | Vel: (52.3, 85.2) | Orient: 0.90 rad | AngVel: -0.38 | Speed: 100.0 | DistToTarget: 27.9 | Colliding: False | NearestObstacle: 150.5
Step 101 | Time: 1.683s | Pos: (678.2, 473.5) | Vel: (52.8, 85.0) | Orient: 0.90 rad | AngVel: -0.41 | Speed: 100.0 | DistToTarget: 26.3 | Colliding: False | NearestObstacle: 151.3
Step 102 | Time: 1.700s | Pos: (679.0, 474.9) | Vel: (53.2, 84.7) | Orient: 0.89 rad | AngVel: -0.44 | Speed: 100.0 | DistToTarget: 24.6 | Colliding: False | NearestObstacle: 152.0
Step 103 | Time: 1.717s | Pos: (679.9, 476.3) | Vel: (53.7, 84.4) | Orient: 0.88 rad | AngVel: -0.48 | Speed: 100.0 | DistToTarget: 23.0 | Colliding: False | NearestObstacle: 152.7
Step 104 | Time: 1.733s | Pos: (680.8, 477.7) | Vel: (54.2, 84.1) | Orient: 0.87 rad | AngVel: -0.52 | Speed: 100.0 | DistToTarget: 21.3 | Colliding: False | NearestObstacle: 153.4
Step 105 | Time: 1.750s | Pos: (681.8, 479.1) | Vel: (54.7, 83.7) | Orient: 0.86 rad | AngVel: -0.58 | Speed: 100.0 | DistToTarget: 19.7 | Colliding: False | NearestObstacle: 154.2
Step 106 | Time: 1.767s | Pos: (682.7, 480.5) | Vel: (55.2, 83.4) | Orient: 0.85 rad | AngVel: -0.65 | Speed: 100.0 | DistToTarget: 18.0 | Colliding: False | NearestObstacle: 154.9
Step 107 | Time: 1.783s | Pos: (683.6, 481.9) | Vel: (55.7, 83.1) | Orient: 0.84 rad | AngVel: -0.73 | Speed: 100.0 | DistToTarget: 16.4 | Colliding: False | NearestObstacle: 155.6
Step 108 | Time: 1.800s | Pos: (684.5, 483.2) | Vel: (56.2, 82.7) | Orient: 0.83 rad | AngVel: -0.84 | Speed: 100.0 | DistToTarget: 14.7 | Colliding: False | NearestObstacle: 156.4
Step 109 | Time: 1.817s | Pos: (685.5, 484.6) | Vel: (56.8, 82.3) | Orient: 0.81 rad | AngVel: -0.99 | Speed: 100.0 | DistToTarget: 13.1 | Colliding: False | NearestObstacle: 157.1
