Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-0.0, -0.0) | Orient: 3.05 rad | AngVel: 2.00 | Speed: 0.1 | DistToTarget: 99.7 | Colliding: False | NearestObstacle: 212.3
Step 1 | Time: 0.017s | Pos: (640.0, 360.0) | Vel: (-0.1, -0.1) | Orient: 3.09 rad | AngVel: 2.00 | Speed: 0.2 | DistToTarget: 99.7 | Colliding: False | NearestObstacle: 212.3
Step 2 | Time: 0.033s | Pos: (640.0, 360.0) | Vel: (-0.3, -0.3) | Orient: 3.12 rad | AngVel: 2.00 | Speed: 0.4 | DistToTarget: 99.7 | Colliding: False | NearestObstacle: 212.3
Step 3 | Time: 0.050s | Pos: (640.0, 360.0) | Vel: (-0.5, -0.5) | Orient: -3.13 rad | AngVel: 2.00 | Speed: 0.7 | DistToTarget: 99.7 | Colliding: False | NearestObstacle: 212.3
Step 4 | Time: 0.067s | Pos: (640.0, 360.0) | Vel: (-0.7, -0.7) | Orient: -3.10 rad | AngVel: 2.00 | Speed: 1.0 | DistToTarget: 99.7 | Colliding: False | NearestObstacle: 212.3
Step 5 | Time: 0.083s | Pos: (640.0, 360.0) | Vel: (-1.0, -1.0) | Orient: -3.06 rad | AngVel: 2.00 | Speed: 1.4 | DistToTarget: 99.7 | Colliding: False | NearestObstacle: 212.2
Step 6 | Time: 0.100s | Pos: (639.9, 359.9) | Vel: (-1.3, -1.3) | Orient: -3.03 rad | AngVel: 2.00 | Speed: 1.9 | DistToTarget: 99.6 | Colliding: False | NearestObstacle: 212.2
Step 7 | Time: 0.117s | Pos: (639.9, 359.9) | Vel: (-1.7, -1.7) | Orient: -3.00 rad | AngVel: 2.00 | Speed: 2.4 | DistToTarget: 99.6 | Colliding: False | NearestObstacle: 212.2
Step 8 | Time: 0.133s | Pos: (639.9, 359.9) | Vel: (-2.1, -2.1) | Orient: -2.96 rad | AngVel: 2.00 | Speed: 3.0 | DistToTarget: 99.5 | Colliding: False | NearestObstacle: 212.2
Step 9 | Time: 0.150s | Pos: (639.8, 359.8) | Vel: (-2.6, -2.6) | Orient: -2.93 rad | AngVel: 2.00 | Speed: 3.7 | DistToTarget: 99.5 | Colliding: False | NearestObstacle: 212.2
Step 10 | Time: 0.167s | Pos: (639.8, 359.8) | Vel: (-3.1, -3.1) | Orient: -2.90 rad | AngVel: 2.00 | Speed: 4.4 | DistToTarget: 99.4 | Colliding: False | NearestObstacle: 212.1
Step 11 | Time: 0.183s | Pos: (639.7, 359.7) | Vel: (-3.7, -3.7) | Orient: -2.86 rad | AngVel: 2.00 | Speed: 5.2 | DistToTarget: 99.3 | Colliding: False | NearestObstacle: 212.1
Step 12 | Time: 0.200s | Pos: (639.6, 359.6) | Vel: (-4.3, -4.3) | Orient: -2.83 rad | AngVel: 2.00 | Speed: 6.0 | DistToTarget: 99.2 | Colliding: False | NearestObstacle: 212.0
Step 13 | Time: 0.217s | Pos: (639.6, 359.6) | Vel: (-4.9, -4.9) | Orient: -2.80 rad | AngVel: 2.00 | Speed: 7.0 | DistToTarget: 99.1 | Colliding: False | NearestObstacle: 212.0
Step 14 | Time: 0.233s | Pos: (639.5, 359.5) | Vel: (-5.6, -5.6) | Orient: -2.76 rad | AngVel: 2.00 | Speed: 8.0 | DistToTarget: 99.0 | Colliding: False | NearestObstacle: 211.9
Step 15 | Time: 0.250s | Pos: (639.4, 359.4) | Vel: (-6.4, -6.4) | Orient: -2.73 rad | AngVel: 2.00 | Speed: 9.0 | DistToTarget: 98.8 | Colliding: False | NearestObstacle: 211.8
Step 16 | Time: 0.267s | Pos: (639.2, 359.2) | Vel: (-7.2, -7.1) | Orient: -2.70 rad | AngVel: 2.00 | Speed: 10.1 | DistToTarget: 98.7 | Colliding: False | NearestObstacle: 211.7
Step 17 | Time: 0.283s | Pos: (639.1, 359.1) | Vel: (-8.0, -8.0) | Orient: -2.66 rad | AngVel: 2.00 | Speed: 11.3 | DistToTarget: 98.5 | Colliding: False | NearestObstacle: 211.6
Step 18 | Time: 0.300s | Pos: (639.0, 359.0) | Vel: (-8.9, -8.9) | Orient: -2.63 rad | AngVel: 2.00 | Speed: 12.5 | DistToTarget: 98.3 | Colliding: False | NearestObstacle: 211.5
