Step 28 | Time: 0.467s | Pos: (591.5, 355.9) | Vel: (-210.5, 64.8) | Orient: 2.41 rad | AngVel: -0.30 | Speed: 220.3 | DistToTarget: 303.5 | Colliding: False | NearestObstacle: 97.8
Step 29 | Time: 0.483s | Pos: (588.0, 357.0) | Vel: (-213.4, 63.8) | Orient: 2.40 rad | AngVel: -0.32 | Speed: 222.7 | DistToTarget: 300.1 | Colliding: False | NearestObstacle: 96.9
Step 30 | Time: 0.500s | Pos: (584.4, 358.0) | Vel: (-216.0, 62.6) | Orient: 2.40 rad | AngVel: -0.34 | Speed: 224.9 | DistToTarget: 296.8 | Colliding: False | NearestObstacle: 96.0
Step 31 | Time: 0.517s | Pos: (580.7, 359.0) | Vel: (-218.5, 61.3) | Orient: 2.39 rad | AngVel: -0.36 | Speed: 226.9 | DistToTarget: 293.4 | Colliding: False | NearestObstacle: 95.4
Step 32 | Time: 0.533s | Pos: (577.0, 360.0) | Vel: (-220.7, 59.9) | Orient: 2.39 rad | AngVel: -0.37 | Speed: 228.7 | DistToTarget: 290.0 | Colliding: False | NearestObstacle: 94.8
Step 33 | Time: 0.550s | Pos: (573.3, 361.0) | Vel: (-222.5, 58.7) | Orient: 2.38 rad | AngVel: -0.39 | Speed: 230.1 | DistToTarget: 286.7 | Colliding: False | NearestObstacle: 94.4
Step 34 | Time: 0.567s | Pos: (569.6, 362.0) | Vel: (-223.8, 57.7) | Orient: 2.37 rad | AngVel: -0.40 | Speed: 231.1 | DistToTarget: 283.3 | Colliding: False | NearestObstacle: 94.2
Step 35 | Time: 0.583s | Pos: (565.9, 362.9) | Vel: (-224.4, 57.0) | Orient: 2.37 rad | AngVel: -0.41 | Speed: 231.6 | DistToTarget: 280.0 | Colliding: False | NearestObstacle: 94.1
Step 36 | Time: 0.600s | Pos: (562.1, 363.9) | Vel: (-224.4, 56.7) | Orient: 2.36 rad | AngVel: -0.43 | Speed: 231.4 | DistToTarget: 276.7 | Colliding: False | NearestObstacle: 94.2
Step 37 | Time: 0.617s | Pos: (558.4, 364.8) | Vel: (-223.4, 56.7) | Orient: 2.35 rad | AngVel: -0.44 | Speed: 230.5 | DistToTarget: 273.4 | Colliding: False | NearestObstacle: 94.3
Step 38 | Time: 0.633s | Pos: (554.7, 365.8) | Vel: (-221.4, 56.9) | Orient: 2.34 rad | AngVel: -0.44 | Speed: 228.6 | DistToTarget: 270.1 | Colliding: False | NearestObstacle: 94.6
Step 39 | Time: 0.650s | Pos: (551.1, 366.7) | Vel: (-218.3, 57.4) | Orient: 2.34 rad | AngVel: -0.45 | Speed: 225.7 | DistToTarget: 266.9 | Colliding: False | NearestObstacle: 93.2
Step 40 | Time: 0.667s | Pos: (547.5, 367.7) | Vel: (-213.9, 58.0) | Orient: 2.33 rad | AngVel: -0.45 | Speed: 221.6 | DistToTarget: 263.7 | Colliding: False | NearestObstacle: 89.5
Step 41 | Time: 0.683s | Pos: (544.0, 368.7) | Vel: (-208.1, 58.5) | Orient: 2.32 rad | AngVel: -0.44 | Speed: 216.1 | DistToTarget: 260.6 | Colliding: False | NearestObstacle: 86.0
Step 42 | Time: 0.700s | Pos: (540.7, 369.6) | Vel: (-200.7, 58.8) | Orient: 2.31 rad | AngVel: -0.43 | Speed: 209.2 | DistToTarget: 257.6 | Colliding: False | NearestObstacle: 82.6
Step 43 | Time: 0.717s | Pos: (537.5, 370.6) | Vel: (-191.8, 58.7) | Orient: 2.31 rad | AngVel: -0.41 | Speed: 200.6 | DistToTarget: 254.8 | Colliding: False | NearestObstacle: 79.3
Step 44 | Time: 0.733s | Pos: (534.5, 371.6) | Vel: (-181.1, 58.1) | Orient: 2.30 rad | AngVel: -0.39 | Speed: 190.2 | DistToTarget: 252.0 | Colliding: False | NearestObstacle: 76.2
