Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-0.6, -2.2) | Orient: 0.17 rad | AngVel: 2.00 | Speed: 2.3 | DistToTarget: 366.3 | Colliding: False | NearestObstacle: 100.7
Step 1 | Time: 0.017s | Pos: (640.0, 359.9) | Vel: (-1.1, -4.4) | Orient: 0.21 rad | AngVel: 2.00 | Speed: 4.5 | DistToTarget: 366.4 | Colliding: False | NearestObstacle: 100.8
Step 2 | Time: 0.033s | Pos: (639.9, 359.8) | Vel: (-1.7, -6.5) | Orient: 0.24 rad | AngVel: 2.00 | Speed: 6.8 | DistToTarget: 366.5 | Colliding: False | NearestObstacle: 100.9
Step 3 | Time: 0.050s | Pos: (639.9, 359.6) | Vel: (-2.2, -8.7) | Orient: 0.27 rad | AngVel: 2.00 | Speed: 9.0 | DistToTarget: 366.6 | Colliding: False | NearestObstacle: 101.0
Step 4 | Time: 0.067s | Pos: (639.9, 359.5) | Vel: (-2.8, -10.9) | Orient: 0.31 rad | AngVel: 2.00 | Speed: 11.2 | DistToTarget: 366.7 | Colliding: False | NearestObstacle: 101.2
Step 5 | Time: 0.083s | Pos: (639.8, 359.2) | Vel: (-3.3, -13.0) | Orient: 0.34 rad | AngVel: 2.00 | Speed: 13.4 | DistToTarget: 366.9 | Colliding: False | NearestObstacle: 101.5
Step 6 | Time: 0.100s | Pos: (639.7, 359.0) | Vel: (-3.9, -15.1) | Orient: 0.37 rad | AngVel: 2.00 | Speed: 15.6 | DistToTarget: 367.1 | Colliding: False | NearestObstacle: 101.7
Step 7 | Time: 0.117s | Pos: (639.7, 358.7) | Vel: (-4.4, -17.2) | Orient: 0.41 rad | AngVel: 2.00 | Speed: 17.8 | DistToTarget: 367.4 | Colliding: False | NearestObstacle: 102.0
Step 8 | Time: 0.133s | Pos: (639.6, 358.4) | Vel: (-5.0, -19.3) | Orient: 0.44 rad | AngVel: 2.00 | Speed: 19.9 | DistToTarget: 367.7 | Colliding: False | NearestObstacle: 102.3
Step 9 | Time: 0.150s | Pos: (639.5, 358.0) | Vel: (-5.5, -21.3) | Orient: 0.47 rad | AngVel: 2.00 | Speed: 22.0 | DistToTarget: 368.0 | Colliding: False | NearestObstacle: 102.7
Step 10 | Time: 0.167s | Pos: (639.4, 357.6) | Vel: (-6.0, -23.3) | Orient: 0.51 rad | AngVel: 2.00 | Speed: 24.0 | DistToTarget: 368.3 | Colliding: False | NearestObstacle: 103.1
Step 11 | Time: 0.183s | Pos: (639.3, 357.2) | Vel: (-6.5, -25.3) | Orient: 0.54 rad | AngVel: 2.00 | Speed: 26.1 | DistToTarget: 368.6 | Colliding: False | NearestObstacle: 103.5
Step 12 | Time: 0.200s | Pos: (639.2, 356.8) | Vel: (-7.0, -27.2) | Orient: 0.57 rad | AngVel: 2.00 | Speed: 28.1 | DistToTarget: 369.0 | Colliding: False | NearestObstacle: 104.0
Step 13 | Time: 0.217s | Pos: (639.0, 356.3) | Vel: (-7.4, -29.1) | Orient: 0.61 rad | AngVel: 2.00 | Speed: 30.0 | DistToTarget: 369.4 | Colliding: False | NearestObstacle: 104.5
Step 14 | Time: 0.233s | Pos: (638.9, 355.8) | Vel: (-7.9, -30.9) | Orient: 0.64 rad | AngVel: 2.00 | Speed: 31.9 | DistToTarget: 369.9 | Colliding: False | NearestObstacle: 105.0
Step 15 | Time: 0.250s | Pos: (638.8, 355.2) | Vel: (-8.3, -32.7) | Orient: 0.67 rad | AngVel: 2.00 | Speed: 33.7 | DistToTarget: 370.3 | Colliding: False | NearestObstacle: 105.6
Step 16 | Time: 0.267s | Pos: (638.6, 354.6) | Vel: (-8.8, -34.5) | Orient: 0.70 rad | AngVel: 1.85 | Speed: 35.6 | DistToTarget: 370.8 | Colliding: False | NearestObstacle: 106.2
Step 17 | Time: 0.283s | Pos: (638.5, 354.0) | Vel: (-9.2, -36.2) | Orient: 0.72 rad | AngVel: 1.26 | Speed: 37.3 | DistToTarget: 371.3 | Colliding: False | NearestObstacle: 106.8
Step 18 | Time: 0.300s | Pos: (638.3, 353.4) | Vel: (-9.6, -37.8) | Orient: 0.73 rad | AngVel: 0.60 | Speed: 39.0 | DistToTarget: 371.9 | Colliding: False | NearestObstacle: 107.5
Step 19 | Time: 0.317s | Pos: (638.1, 352.8) | Vel: (-10.0, -39.4) | Orient: 0.74 rad | AngVel: 0.08 | Speed: 40.7 | DistToTarget: 372.4 | Colliding: False | NearestObstacle: 108.1
Step 20 | Time: 0.333s | Pos: (638.0, 352.1) | Vel: (-10.4, -41.0) | Orient: 0.73 rad | AngVel: -0.22 | Speed: 42.3 | DistToTarget: 373.0 | Colliding: False | NearestObstacle: 108.9
Step 21 | Time: 0.350s | Pos: (637.8, 351.4) | Vel: (-10.7, -42.5) | Orient: 0.73 rad | AngVel: -0.31 | Speed: 43.8 | DistToTarget: 373.6 | Colliding: False | NearestObstacle: 109.6
Step 22 | Time: 0.367s | Pos: (637.6, 350.6) | Vel: (-11.1, -43.9) | Orient: 0.72 rad | AngVel: -0.26 | Speed: 45.3 | DistToTarget: 374.2 | Colliding: False | NearestObstacle: 110.3
