Step 0 | Time: 0.000s | Pos: (640.1, 360.3) | Vel: (8.1, 17.6) | Orient: -0.80 rad | AngVel: 101.46 | Speed: 19.3 | DistToTarget: 441.7 | Colliding: False | NearestObstacle: 104.5
Step 1 | Time: 0.017s | Pos: (640.4, 360.8) | Vel: (13.2, 33.3) | Orient: -3.12 rad | AngVel: -139.34 | Speed: 35.8 | DistToTarget: 442.1 | Colliding: False | NearestObstacle: 105.1
Step 2 | Time: 0.033s | Pos: (640.6, 361.6) | Vel: (15.0, 46.4) | Orient: 2.02 rad | AngVel: -68.32 | Speed: 48.8 | DistToTarget: 442.7 | Colliding: False | NearestObstacle: 105.9
Step 3 | Time: 0.050s | Pos: (640.8, 362.6) | Vel: (13.5, 56.8) | Orient: 1.83 rad | AngVel: -11.57 | Speed: 58.4 | DistToTarget: 443.3 | Colliding: False | NearestObstacle: 106.8
Step 4 | Time: 0.067s | Pos: (641.0, 363.6) | Vel: (8.8, 64.1) | Orient: 2.21 rad | AngVel: 23.04 | Speed: 64.7 | DistToTarget: 443.9 | Colliding: False | NearestObstacle: 107.8
Step 5 | Time: 0.083s | Pos: (641.0, 364.8) | Vel: (1.0, 68.7) | Orient: 2.82 rad | AngVel: 36.17 | Speed: 68.7 | DistToTarget: 444.4 | Colliding: False | NearestObstacle: 108.8
Step 6 | Time: 0.100s | Pos: (640.8, 366.0) | Vel: (-9.5, 70.8) | Orient: -2.91 rad | AngVel: 33.46 | Speed: 71.4 | DistToTarget: 444.8 | Colliding: False | NearestObstacle: 109.8
Step 7 | Time: 0.117s | Pos: (640.5, 367.1) | Vel: (-22.6, 70.5) | Orient: -2.53 rad | AngVel: 22.72 | Speed: 74.0 | DistToTarget: 445.0 | Colliding: False | NearestObstacle: 110.6
Step 8 | Time: 0.133s | Pos: (639.8, 368.3) | Vel: (-37.9, 68.2) | Orient: -2.36 rad | AngVel: 10.48 | Speed: 78.0 | DistToTarget: 445.0 | Colliding: False | NearestObstacle: 111.4
Step 9 | Time: 0.150s | Pos: (638.9, 369.3) | Vel: (-55.1, 63.9) | Orient: -2.34 rad | AngVel: 0.76 | Speed: 84.4 | DistToTarget: 444.6 | Colliding: False | NearestObstacle: 111.9
Step 10 | Time: 0.167s | Pos: (637.7, 370.3) | Vel: (-73.8, 58.0) | Orient: -2.42 rad | AngVel: -4.88 | Speed: 93.8 | DistToTarget: 444.0 | Colliding: False | NearestObstacle: 112.2
