Step 28 | Time: 0.467s | Pos: (613.8, 391.1) | Vel: (40.0, 185.3) | Orient: 0.59 rad | AngVel: -0.28 | Speed: 189.5 | DistToTarget: 474.1 | Colliding: False | NearestObstacle: 118.2
Step 29 | Time: 0.483s | Pos: (614.5, 394.2) | Vel: (40.4, 187.5) | Orient: 0.58 rad | AngVel: -0.29 | Speed: 191.8 | DistToTarget: 471.9 | Colliding: False | NearestObstacle: 116.9
Step 30 | Time: 0.500s | Pos: (615.2, 397.4) | Vel: (40.2, 189.7) | Orient: 0.58 rad | AngVel: -0.30 | Speed: 193.9 | DistToTarget: 469.6 | Colliding: False | NearestObstacle: 115.7
Step 31 | Time: 0.517s | Pos: (615.8, 400.6) | Vel: (39.5, 191.9) | Orient: 0.57 rad | AngVel: -0.30 | Speed: 196.0 | DistToTarget: 467.3 | Colliding: False | NearestObstacle: 114.5
Step 32 | Time: 0.533s | Pos: (616.5, 403.8) | Vel: (38.5, 194.2) | Orient: 0.57 rad | AngVel: -0.31 | Speed: 198.0 | DistToTarget: 465.0 | Colliding: False | NearestObstacle: 113.5
Step 33 | Time: 0.550s | Pos: (617.1, 407.1) | Vel: (37.3, 196.6) | Orient: 0.56 rad | AngVel: -0.31 | Speed: 200.1 | DistToTarget: 462.7 | Colliding: False | NearestObstacle: 112.5
Step 34 | Time: 0.567s | Pos: (617.7, 410.4) | Vel: (36.0, 199.0) | Orient: 0.56 rad | AngVel: -0.32 | Speed: 202.3 | DistToTarget: 460.4 | Colliding: False | NearestObstacle: 111.5
Step 35 | Time: 0.583s | Pos: (618.3, 413.8) | Vel: (34.7, 201.6) | Orient: 0.55 rad | AngVel: -0.33 | Speed: 204.6 | DistToTarget: 458.2 | Colliding: False | NearestObstacle: 110.7
Step 36 | Time: 0.600s | Pos: (618.8, 417.2) | Vel: (33.5, 204.4) | Orient: 0.55 rad | AngVel: -0.34 | Speed: 207.1 | DistToTarget: 455.9 | Colliding: False | NearestObstacle: 110.0
Step 37 | Time: 0.617s | Pos: (619.4, 420.6) | Vel: (32.4, 207.2) | Orient: 0.54 rad | AngVel: -0.35 | Speed: 209.7 | DistToTarget: 453.7 | Colliding: False | NearestObstacle: 109.3
Step 38 | Time: 0.633s | Pos: (619.9, 424.1) | Vel: (31.6, 210.1) | Orient: 0.54 rad | AngVel: -0.36 | Speed: 212.5 | DistToTarget: 451.4 | Colliding: False | NearestObstacle: 108.7
Step 39 | Time: 0.650s | Pos: (620.4, 427.7) | Vel: (31.2, 213.1) | Orient: 0.53 rad | AngVel: -0.37 | Speed: 215.4 | DistToTarget: 449.2 | Colliding: False | NearestObstacle: 108.3
Step 40 | Time: 0.667s | Pos: (620.9, 431.3) | Vel: (31.1, 216.2) | Orient: 0.52 rad | AngVel: -0.38 | Speed: 218.4 | DistToTarget: 446.9 | Colliding: False | NearestObstacle: 107.9
Step 41 | Time: 0.683s | Pos: (621.4, 434.9) | Vel: (31.4, 219.3) | Orient: 0.52 rad | AngVel: -0.39 | Speed: 221.5 | DistToTarget: 444.6 | Colliding: False | NearestObstacle: 107.6
Step 42 | Time: 0.700s | Pos: (622.0, 438.6) | Vel: (32.2, 222.3) | Orient: 0.51 rad | AngVel: -0.40 | Speed: 224.6 | DistToTarget: 442.4 | Colliding: False | NearestObstacle: 107.4
Step 43 | Time: 0.717s | Pos: (622.5, 442.4) | Vel: (33.4, 225.4) | Orient: 0.50 rad | AngVel: -0.41 | Speed: 227.8 | DistToTarget: 440.1 | Colliding: False | NearestObstacle: 107.2
Step 44 | Time: 0.733s | Pos: (623.1, 446.2) | Vel: (35.1, 228.4) | Orient: 0.50 rad | AngVel: -0.42 | Speed: 231.1 | DistToTarget: 437.7 | Colliding: False | NearestObstacle: 107.2
Step 45 | Time: 0.750s | Pos: (623.7, 450.1) | Vel: (37.3, 231.3) | Orient: 0.49 rad | AngVel: -0.43 | Speed: 234.3 | DistToTarget: 435.4 | Colliding: False | NearestObstacle: 107.2
Step 46 | Time: 0.767s | Pos: (624.4, 454.0) | Vel: (40.0, 234.1) | Orient: 0.48 rad | AngVel: -0.44 | Speed: 237.5 | DistToTarget: 432.9 | Colliding: False | NearestObstacle: 107.3
Step 47 | Time: 0.783s | Pos: (625.1, 457.9) | Vel: (43.2, 236.8) | Orient: 0.47 rad | AngVel: -0.44 | Speed: 240.7 | DistToTarget: 430.5 | Colliding: False | NearestObstacle: 107.4
Step 48 | Time: 0.800s | Pos: (625.9, 461.9) | Vel: (46.8, 239.4) | Orient: 0.47 rad | AngVel: -0.45 | Speed: 243.9 | DistToTarget: 428.0 | Colliding: False | NearestObstacle: 107.6
Step 49 | Time: 0.817s | Pos: (626.8, 465.9) | Vel: (50.8, 241.8) | Orient: 0.46 rad | AngVel: -0.46 | Speed: 247.0 | DistToTarget: 425.4 | Colliding: False | NearestObstacle: 107.9
Step 50 | Time: 0.833s | Pos: (627.7, 470.0) | Vel: (55.2, 244.0) | Orient: 0.45 rad | AngVel: -0.46 | Speed: 250.1 | DistToTarget: 422.8 | Colliding: False | NearestObstacle: 108.2
Step 51 | Time: 0.850s | Pos: (628.7, 474.1) | Vel: (60.0, 246.0) | Orient: 0.44 rad | AngVel: -0.47 | Speed: 253.2 | DistToTarget: 420.2 | Colliding: False | NearestObstacle: 108.5
Step 52 | Time: 0.867s | Pos: (629.8, 478.2) | Vel: (65.1, 247.8) | Orient: 0.44 rad | AngVel: -0.47 | Speed: 256.2 | DistToTarget: 417.4 | Colliding: False | NearestObstacle: 108.9
Step 53 | Time: 0.883s | Pos: (630.9, 482.4) | Vel: (70.5, 249.3) | Orient: 0.43 rad | AngVel: -0.48 | Speed: 259.1 | DistToTarget: 414.6 | Colliding: False | NearestObstacle: 109.4
Step 54 | Time: 0.900s | Pos: (632.2, 486.6) | Vel: (76.1, 250.7) | Orient: 0.42 rad | AngVel: -0.48 | Speed: 262.0 | DistToTarget: 411.7 | Colliding: False | NearestObstacle: 109.9
Step 55 | Time: 0.917s | Pos: (633.6, 490.8) | Vel: (81.9, 251.8) | Orient: 0.41 rad | AngVel: -0.48 | Speed: 264.8 | DistToTarget: 408.8 | Colliding: False | NearestObstacle: 110.4
Step 56 | Time: 0.933s | Pos: (635.0, 495.0) | Vel: (87.9, 252.6) | Orient: 0.40 rad | AngVel: -0.49 | Speed: 267.5 | DistToTarget: 405.8 | Colliding: False | NearestObstacle: 111.0
Step 57 | Time: 0.950s | Pos: (636.6, 499.2) | Vel: (94.1, 253.2) | Orient: 0.40 rad | AngVel: -0.49 | Speed: 270.1 | DistToTarget: 402.7 | Colliding: False | NearestObstacle: 111.6
Step 58 | Time: 0.967s | Pos: (638.3, 503.4) | Vel: (100.3, 253.5) | Orient: 0.39 rad | AngVel: -0.49 | Speed: 272.6 | DistToTarget: 399.5 | Colliding: False | NearestObstacle: 112.3
