Step 28 | Time: 0.467s | Pos: (688.6, 336.6) | Vel: (-78.1, -109.3) | Orient: 3.00 rad | AngVel: -0.29 | Speed: 134.3 | DistToTarget: 420.3 | Colliding: False | NearestObstacle: 142.2
Step 29 | Time: 0.483s | Pos: (687.1, 334.8) | Vel: (-87.6, -108.0) | Orient: 2.99 rad | AngVel: -0.28 | Speed: 139.1 | DistToTarget: 419.1 | Colliding: False | NearestObstacle: 140.4
Step 30 | Time: 0.500s | Pos: (685.5, 333.0) | Vel: (-95.4, -106.0) | Orient: 2.99 rad | AngVel: -0.28 | Speed: 142.6 | DistToTarget: 417.8 | Colliding: False | NearestObstacle: 138.5
Step 31 | Time: 0.517s | Pos: (683.8, 331.3) | Vel: (-101.5, -103.6) | Orient: 2.98 rad | AngVel: -0.28 | Speed: 145.0 | DistToTarget: 416.4 | Colliding: False | NearestObstacle: 136.5
Step 32 | Time: 0.533s | Pos: (682.0, 329.6) | Vel: (-106.2, -100.7) | Orient: 2.98 rad | AngVel: -0.28 | Speed: 146.3 | DistToTarget: 414.9 | Colliding: False | NearestObstacle: 134.5
Step 33 | Time: 0.550s | Pos: (680.2, 328.0) | Vel: (-109.4, -97.7) | Orient: 2.98 rad | AngVel: -0.28 | Speed: 146.7 | DistToTarget: 413.4 | Colliding: False | NearestObstacle: 132.4
Step 34 | Time: 0.567s | Pos: (678.4, 326.4) | Vel: (-111.5, -94.6) | Orient: 2.97 rad | AngVel: -0.27 | Speed: 146.2 | DistToTarget: 411.8 | Colliding: False | NearestObstacle: 130.4
Step 35 | Time: 0.583s | Pos: (676.5, 324.9) | Vel: (-112.5, -91.4) | Orient: 2.97 rad | AngVel: -0.27 | Speed: 145.0 | DistToTarget: 410.2 | Colliding: False | NearestObstacle: 128.3
Step 36 | Time: 0.600s | Pos: (674.6, 323.4) | Vel: (-112.6, -88.3) | Orient: 2.96 rad | AngVel: -0.26 | Speed: 143.1 | DistToTarget: 408.6 | Colliding: False | NearestObstacle: 126.2
Step 37 | Time: 0.617s | Pos: (672.7, 322.0) | Vel: (-112.0, -85.3) | Orient: 2.96 rad | AngVel: -0.26 | Speed: 140.7 | DistToTarget: 407.0 | Colliding: False | NearestObstacle: 124.2
Step 38 | Time: 0.633s | Pos: (670.9, 320.6) | Vel: (-110.6, -82.4) | Orient: 2.95 rad | AngVel: -0.25 | Speed: 137.9 | DistToTarget: 405.5 | Colliding: False | NearestObstacle: 122.2
Step 39 | Time: 0.650s | Pos: (669.1, 319.3) | Vel: (-108.7, -79.6) | Orient: 2.95 rad | AngVel: -0.24 | Speed: 134.8 | DistToTarget: 404.0 | Colliding: False | NearestObstacle: 120.2
Step 40 | Time: 0.667s | Pos: (667.3, 318.0) | Vel: (-106.3, -77.0) | Orient: 2.95 rad | AngVel: -0.24 | Speed: 131.3 | DistToTarget: 402.5 | Colliding: False | NearestObstacle: 118.3
Step 41 | Time: 0.683s | Pos: (665.6, 316.8) | Vel: (-103.5, -74.6) | Orient: 2.94 rad | AngVel: -0.23 | Speed: 127.6 | DistToTarget: 401.0 | Colliding: False | NearestObstacle: 116.5
