Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (0.5, 1.0) | Orient: -0.12 rad | AngVel: 2.00 | Speed: 1.1 | DistToTarget: 369.1 | Colliding: False | NearestObstacle: 109.0
Step 1 | Time: 0.017s | Pos: (640.0, 360.0) | Vel: (0.8, 2.0) | Orient: -0.15 rad | AngVel: -2.00 | Speed: 2.1 | DistToTarget: 369.1 | Colliding: False | NearestObstacle: 109.0
Step 2 | Time: 0.033s | Pos: (640.0, 360.1) | Vel: (0.8, 2.8) | Orient: -0.19 rad | AngVel: -2.00 | Speed: 2.9 | DistToTarget: 369.1 | Colliding: False | NearestObstacle: 109.0
Step 3 | Time: 0.050s | Pos: (640.0, 360.2) | Vel: (0.6, 3.6) | Orient: -0.22 rad | AngVel: -2.00 | Speed: 3.6 | DistToTarget: 369.2 | Colliding: False | NearestObstacle: 109.1
Step 4 | Time: 0.067s | Pos: (640.0, 360.2) | Vel: (0.2, 4.2) | Orient: -0.25 rad | AngVel: -2.00 | Speed: 4.2 | DistToTarget: 369.2 | Colliding: False | NearestObstacle: 109.2
Step 5 | Time: 0.083s | Pos: (640.0, 360.3) | Vel: (-0.5, 4.8) | Orient: -0.29 rad | AngVel: -2.00 | Speed: 4.8 | DistToTarget: 369.2 | Colliding: False | NearestObstacle: 109.2
Step 6 | Time: 0.100s | Pos: (640.0, 360.4) | Vel: (-1.4, 5.2) | Orient: -0.32 rad | AngVel: -2.00 | Speed: 5.4 | DistToTarget: 369.2 | Colliding: False | NearestObstacle: 109.3
Step 7 | Time: 0.117s | Pos: (640.0, 360.5) | Vel: (-2.5, 5.6) | Orient: -0.35 rad | AngVel: -2.00 | Speed: 6.1 | DistToTarget: 369.2 | Colliding: False | NearestObstacle: 109.3
Step 8 | Time: 0.133s | Pos: (639.9, 360.6) | Vel: (-3.8, 5.9) | Orient: -0.39 rad | AngVel: -2.00 | Speed: 7.0 | DistToTarget: 369.2 | Colliding: False | NearestObstacle: 109.4
Step 9 | Time: 0.150s | Pos: (639.8, 360.7) | Vel: (-5.4, 6.0) | Orient: -0.42 rad | AngVel: -2.00 | Speed: 8.1 | DistToTarget: 369.2 | Colliding: False | NearestObstacle: 109.4
Step 10 | Time: 0.167s | Pos: (639.7, 360.8) | Vel: (-7.3, 6.1) | Orient: -0.45 rad | AngVel: -2.00 | Speed: 9.5 | DistToTarget: 369.1 | Colliding: False | NearestObstacle: 109.4
Step 11 | Time: 0.183s | Pos: (639.5, 360.9) | Vel: (-9.3, 6.1) | Orient: -0.49 rad | AngVel: -2.00 | Speed: 11.2 | DistToTarget: 369.0 | Colliding: False | NearestObstacle: 109.4
Step 12 | Time: 0.200s | Pos: (639.4, 361.0) | Vel: (-11.6, 6.0) | Orient: -0.52 rad | AngVel: -2.00 | Speed: 13.1 | DistToTarget: 368.8 | Colliding: False | NearestObstacle: 109.4
Step 13 | Time: 0.217s | Pos: (639.1, 361.1) | Vel: (-14.1, 5.8) | Orient: -0.55 rad | AngVel: -2.00 | Speed: 15.3 | DistToTarget: 368.7 | Colliding: False | NearestObstacle: 109.4
Step 14 | Time: 0.233s | Pos: (638.8, 361.2) | Vel: (-16.9, 5.5) | Orient: -0.59 rad | AngVel: -2.00 | Speed: 17.8 | DistToTarget: 368.4 | Colliding: False | NearestObstacle: 109.3
Step 15 | Time: 0.250s | Pos: (638.5, 361.3) | Vel: (-19.9, 5.2) | Orient: -0.62 rad | AngVel: -2.00 | Speed: 20.5 | DistToTarget: 368.1 | Colliding: False | NearestObstacle: 109.2
Step 16 | Time: 0.267s | Pos: (638.1, 361.3) | Vel: (-23.1, 4.7) | Orient: -0.65 rad | AngVel: -2.00 | Speed: 23.6 | DistToTarget: 367.8 | Colliding: False | NearestObstacle: 109.1
Step 17 | Time: 0.283s | Pos: (637.7, 361.4) | Vel: (-26.5, 4.2) | Orient: -0.69 rad | AngVel: -2.00 | Speed: 26.8 | DistToTarget: 367.4 | Colliding: False | NearestObstacle: 108.9
Step 18 | Time: 0.300s | Pos: (637.2, 361.5) | Vel: (-30.2, 3.6) | Orient: -0.72 rad | AngVel: -2.00 | Speed: 30.4 | DistToTarget: 367.0 | Colliding: False | NearestObstacle: 108.7
