Step 28 | Time: 0.467s | Pos: (659.2, 361.4) | Vel: (100.0, 0.9) | Orient: 1.07 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 469.1 | Colliding: False | NearestObstacle: 95.0
Step 29 | Time: 0.483s | Pos: (660.9, 361.4) | Vel: (100.0, 0.3) | Orient: 1.04 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 467.4 | Colliding: False | NearestObstacle: 93.4
Step 30 | Time: 0.500s | Pos: (662.6, 361.4) | Vel: (100.0, -0.3) | Orient: 1.00 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 465.8 | Colliding: False | NearestObstacle: 91.8
Step 31 | Time: 0.517s | Pos: (664.2, 361.4) | Vel: (100.0, -0.9) | Orient: 0.97 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 464.1 | Colliding: False | NearestObstacle: 90.1
Step 32 | Time: 0.533s | Pos: (665.9, 361.4) | Vel: (100.0, -1.5) | Orient: 0.94 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 462.4 | Colliding: False | NearestObstacle: 88.5
Step 33 | Time: 0.550s | Pos: (667.6, 361.3) | Vel: (100.0, -2.1) | Orient: 0.90 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 460.8 | Colliding: False | NearestObstacle: 86.8
Step 34 | Time: 0.567s | Pos: (669.2, 361.3) | Vel: (100.0, -2.7) | Orient: 0.87 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 459.1 | Colliding: False | NearestObstacle: 85.2
Step 35 | Time: 0.583s | Pos: (670.9, 361.2) | Vel: (99.9, -3.3) | Orient: 0.84 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 457.5 | Colliding: False | NearestObstacle: 83.6
Step 36 | Time: 0.600s | Pos: (672.6, 361.2) | Vel: (99.9, -3.9) | Orient: 0.80 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 455.8 | Colliding: False | NearestObstacle: 81.9
Step 37 | Time: 0.617s | Pos: (674.2, 361.1) | Vel: (99.9, -4.5) | Orient: 0.77 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 454.1 | Colliding: False | NearestObstacle: 80.3
