Step 28 | Time: 0.467s | Pos: (648.8, 365.3) | Vel: (64.1, 12.4) | Orient: -2.07 rad | AngVel: 2.00 | Speed: 65.3 | DistToTarget: 318.1 | Colliding: False | NearestObstacle: 102.5
Step 29 | Time: 0.483s | Pos: (650.0, 365.5) | Vel: (69.5, 11.9) | Orient: -2.04 rad | AngVel: 2.00 | Speed: 70.5 | DistToTarget: 317.1 | Colliding: False | NearestObstacle: 102.0
Step 30 | Time: 0.500s | Pos: (651.2, 365.7) | Vel: (75.0, 11.4) | Orient: -2.00 rad | AngVel: 2.00 | Speed: 75.8 | DistToTarget: 315.9 | Colliding: False | NearestObstacle: 101.5
Step 31 | Time: 0.517s | Pos: (652.6, 365.9) | Vel: (80.7, 10.8) | Orient: -1.97 rad | AngVel: 2.00 | Speed: 81.4 | DistToTarget: 314.7 | Colliding: False | NearestObstacle: 101.0
Step 32 | Time: 0.533s | Pos: (654.0, 366.1) | Vel: (86.6, 10.2) | Orient: -1.94 rad | AngVel: 2.00 | Speed: 87.2 | DistToTarget: 313.4 | Colliding: False | NearestObstacle: 100.4
Step 33 | Time: 0.550s | Pos: (655.5, 366.2) | Vel: (92.7, 9.6) | Orient: -1.90 rad | AngVel: 2.00 | Speed: 93.2 | DistToTarget: 312.0 | Colliding: False | NearestObstacle: 99.8
Step 34 | Time: 0.567s | Pos: (657.2, 366.4) | Vel: (99.0, 9.0) | Orient: -1.87 rad | AngVel: 2.00 | Speed: 99.4 | DistToTarget: 310.4 | Colliding: False | NearestObstacle: 99.1
Step 35 | Time: 0.583s | Pos: (658.9, 366.5) | Vel: (99.7, 7.9) | Orient: -1.84 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 308.9 | Colliding: False | NearestObstacle: 98.4
Step 36 | Time: 0.600s | Pos: (660.5, 366.6) | Vel: (99.8, 6.7) | Orient: -1.80 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 307.4 | Colliding: False | NearestObstacle: 97.8
Step 37 | Time: 0.617s | Pos: (662.2, 366.7) | Vel: (99.8, 5.6) | Orient: -1.77 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 305.8 | Colliding: False | NearestObstacle: 97.1
Step 38 | Time: 0.633s | Pos: (663.8, 366.8) | Vel: (99.9, 4.6) | Orient: -1.74 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 304.3 | Colliding: False | NearestObstacle: 96.4
Step 39 | Time: 0.650s | Pos: (665.5, 366.9) | Vel: (99.9, 3.6) | Orient: -1.70 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 302.7 | Colliding: False | NearestObstacle: 95.8
Step 40 | Time: 0.667s | Pos: (667.2, 366.9) | Vel: (100.0, 2.7) | Orient: -1.67 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 301.2 | Colliding: False | NearestObstacle: 95.1
Step 41 | Time: 0.683s | Pos: (668.8, 366.9) | Vel: (100.0, 1.8) | Orient: -1.64 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 299.6 | Colliding: False | NearestObstacle: 94.4
Step 42 | Time: 0.700s | Pos: (670.5, 366.9) | Vel: (100.0, 0.9) | Orient: -1.60 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 298.0 | Colliding: False | NearestObstacle: 93.8
Step 43 | Time: 0.717s | Pos: (672.2, 366.9) | Vel: (100.0, 0.1) | Orient: -1.57 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 296.5 | Colliding: False | NearestObstacle: 93.2
Step 44 | Time: 0.733s | Pos: (673.8, 366.9) | Vel: (100.0, -0.6) | Orient: -1.54 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 294.9 | Colliding: False | NearestObstacle: 92.5
Step 45 | Time: 0.750s | Pos: (675.5, 366.9) | Vel: (100.0, -1.3) | Orient: -1.50 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 293.3 | Colliding: False | NearestObstacle: 91.9
Step 46 | Time: 0.767s | Pos: (677.2, 366.9) | Vel: (100.0, -2.0) | Orient: -1.47 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 291.7 | Colliding: False | NearestObstacle: 91.3
Step 47 | Time: 0.783s | Pos: (678.8, 366.8) | Vel: (100.0, -2.6) | Orient: -1.44 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 290.1 | Colliding: False | NearestObstacle: 90.7
Step 48 | Time: 0.800s | Pos: (680.5, 366.8) | Vel: (100.0, -3.1) | Orient: -1.40 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 288.6 | Colliding: False | NearestObstacle: 90.1
Step 49 | Time: 0.817s | Pos: (682.2, 366.7) | Vel: (99.9, -3.6) | Orient: -1.37 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 287.0 | Colliding: False | NearestObstacle: 89.5
