Step 28 | Time: 0.467s | Pos: (630.8, 360.6) | Vel: (-39.1, 19.9) | Orient: 1.76 rad | AngVel: -0.20 | Speed: 43.9 | DistToTarget: 175.0 | Colliding: False | NearestObstacle: 108.6
Step 29 | Time: 0.483s | Pos: (630.1, 361.0) | Vel: (-40.6, 22.6) | Orient: 1.75 rad | AngVel: -0.21 | Speed: 46.4 | DistToTarget: 174.5 | Colliding: False | NearestObstacle: 108.8
Step 30 | Time: 0.500s | Pos: (629.4, 361.4) | Vel: (-42.1, 25.3) | Orient: 1.75 rad | AngVel: -0.21 | Speed: 49.2 | DistToTarget: 174.0 | Colliding: False | NearestObstacle: 109.0
Step 31 | Time: 0.517s | Pos: (628.6, 361.8) | Vel: (-43.7, 28.2) | Orient: 1.75 rad | AngVel: -0.22 | Speed: 52.0 | DistToTarget: 173.4 | Colliding: False | NearestObstacle: 109.2
Step 32 | Time: 0.533s | Pos: (627.9, 362.4) | Vel: (-45.2, 31.2) | Orient: 1.74 rad | AngVel: -0.22 | Speed: 54.9 | DistToTarget: 172.8 | Colliding: False | NearestObstacle: 109.4
Step 33 | Time: 0.550s | Pos: (627.1, 362.9) | Vel: (-46.7, 34.4) | Orient: 1.74 rad | AngVel: -0.23 | Speed: 58.0 | DistToTarget: 172.1 | Colliding: False | NearestObstacle: 109.5
Step 34 | Time: 0.567s | Pos: (626.3, 363.6) | Vel: (-48.3, 37.6) | Orient: 1.74 rad | AngVel: -0.24 | Speed: 61.2 | DistToTarget: 171.3 | Colliding: False | NearestObstacle: 109.7
Step 35 | Time: 0.583s | Pos: (625.5, 364.2) | Vel: (-49.8, 41.0) | Orient: 1.73 rad | AngVel: -0.25 | Speed: 64.5 | DistToTarget: 170.5 | Colliding: False | NearestObstacle: 109.8
Step 36 | Time: 0.600s | Pos: (624.6, 365.0) | Vel: (-51.4, 44.5) | Orient: 1.73 rad | AngVel: -0.26 | Speed: 67.9 | DistToTarget: 169.6 | Colliding: False | NearestObstacle: 109.9
Step 37 | Time: 0.617s | Pos: (623.7, 365.8) | Vel: (-52.9, 48.1) | Orient: 1.72 rad | AngVel: -0.26 | Speed: 71.5 | DistToTarget: 168.7 | Colliding: False | NearestObstacle: 110.1
Step 38 | Time: 0.633s | Pos: (622.8, 366.7) | Vel: (-54.5, 51.8) | Orient: 1.72 rad | AngVel: -0.27 | Speed: 75.2 | DistToTarget: 167.7 | Colliding: False | NearestObstacle: 110.2
Step 39 | Time: 0.650s | Pos: (621.9, 367.6) | Vel: (-56.0, 55.6) | Orient: 1.71 rad | AngVel: -0.28 | Speed: 78.9 | DistToTarget: 166.7 | Colliding: False | NearestObstacle: 110.2
Step 40 | Time: 0.667s | Pos: (620.9, 368.6) | Vel: (-57.5, 59.6) | Orient: 1.71 rad | AngVel: -0.29 | Speed: 82.8 | DistToTarget: 165.6 | Colliding: False | NearestObstacle: 110.3
Step 41 | Time: 0.683s | Pos: (620.0, 369.6) | Vel: (-59.1, 63.6) | Orient: 1.70 rad | AngVel: -0.30 | Speed: 86.8 | DistToTarget: 164.4 | Colliding: False | NearestObstacle: 110.4
Step 42 | Time: 0.700s | Pos: (618.9, 370.8) | Vel: (-60.6, 67.8) | Orient: 1.70 rad | AngVel: -0.31 | Speed: 90.9 | DistToTarget: 163.1 | Colliding: False | NearestObstacle: 110.4
Step 43 | Time: 0.717s | Pos: (617.9, 372.0) | Vel: (-62.1, 72.0) | Orient: 1.69 rad | AngVel: -0.32 | Speed: 95.1 | DistToTarget: 161.8 | Colliding: False | NearestObstacle: 110.5
Step 44 | Time: 0.733s | Pos: (616.9, 373.2) | Vel: (-63.6, 76.4) | Orient: 1.69 rad | AngVel: -0.33 | Speed: 99.4 | DistToTarget: 160.4 | Colliding: False | NearestObstacle: 110.5
