Step 28 | Time: 0.467s | Pos: (628.0, 361.3) | Vel: (-86.7, 0.7) | Orient: 2.79 rad | AngVel: 2.00 | Speed: 86.7 | DistToTarget: 453.2 | Colliding: False | NearestObstacle: 90.8
Step 29 | Time: 0.483s | Pos: (626.5, 361.4) | Vel: (-93.5, 0.5) | Orient: 2.83 rad | AngVel: 2.00 | Speed: 93.6 | DistToTarget: 451.6 | Colliding: False | NearestObstacle: 89.4
Step 30 | Time: 0.500s | Pos: (624.8, 361.4) | Vel: (-100.0, 0.2) | Orient: 2.86 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 450.0 | Colliding: False | NearestObstacle: 87.9
Step 31 | Time: 0.517s | Pos: (623.1, 361.4) | Vel: (-100.0, 0.0) | Orient: 2.89 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 448.3 | Colliding: False | NearestObstacle: 86.4
Step 32 | Time: 0.533s | Pos: (621.5, 361.4) | Vel: (-100.0, -0.1) | Orient: 2.93 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 446.7 | Colliding: False | NearestObstacle: 84.9
Step 33 | Time: 0.550s | Pos: (619.8, 361.4) | Vel: (-100.0, -0.2) | Orient: 2.96 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 445.0 | Colliding: False | NearestObstacle: 83.4
Step 34 | Time: 0.567s | Pos: (618.1, 361.3) | Vel: (-100.0, -0.2) | Orient: 2.99 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 443.4 | Colliding: False | NearestObstacle: 81.9
Step 35 | Time: 0.583s | Pos: (616.5, 361.3) | Vel: (-100.0, -0.1) | Orient: 3.03 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 441.8 | Colliding: False | NearestObstacle: 80.4
Step 36 | Time: 0.600s | Pos: (614.8, 361.3) | Vel: (-100.0, 0.0) | Orient: 3.06 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 440.1 | Colliding: False | NearestObstacle: 78.9
Step 37 | Time: 0.617s | Pos: (613.1, 361.4) | Vel: (-100.0, 0.2) | Orient: 3.09 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 438.5 | Colliding: False | NearestObstacle: 77.5
Step 38 | Time: 0.633s | Pos: (611.5, 361.4) | Vel: (-100.0, 0.5) | Orient: 3.13 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 436.8 | Colliding: False | NearestObstacle: 76.0
Step 39 | Time: 0.650s | Pos: (609.8, 361.4) | Vel: (-100.0, 0.9) | Orient: -3.12 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 435.2 | Colliding: False | NearestObstacle: 74.6
Step 40 | Time: 0.667s | Pos: (608.1, 361.4) | Vel: (-100.0, 1.3) | Orient: -3.09 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 433.5 | Colliding: False | NearestObstacle: 73.1
Step 41 | Time: 0.683s | Pos: (606.5, 361.4) | Vel: (-100.0, 1.9) | Orient: -3.06 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 431.9 | Colliding: False | NearestObstacle: 71.7
