Step 28 | Time: 0.467s | Pos: (597.0, 337.8) | Vel: (-88.9, -45.9) | Orient: -2.68 rad | AngVel: -0.05 | Speed: 100.0 | DistToTarget: 574.3 | Colliding: False | NearestObstacle: 98.6
Step 29 | Time: 0.483s | Pos: (595.6, 337.1) | Vel: (-88.9, -45.9) | Orient: -2.68 rad | AngVel: 0.28 | Speed: 100.0 | DistToTarget: 572.6 | Colliding: False | NearestObstacle: 97.3
Step 30 | Time: 0.500s | Pos: (594.1, 336.3) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.39 | Speed: 100.0 | DistToTarget: 570.9 | Colliding: False | NearestObstacle: 95.9
Step 31 | Time: 0.517s | Pos: (592.6, 335.5) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.35 | Speed: 100.0 | DistToTarget: 569.3 | Colliding: False | NearestObstacle: 94.6
Step 32 | Time: 0.533s | Pos: (591.1, 334.8) | Vel: (-88.9, -45.9) | Orient: -2.66 rad | AngVel: 0.23 | Speed: 100.0 | DistToTarget: 567.6 | Colliding: False | NearestObstacle: 93.3
Step 33 | Time: 0.550s | Pos: (589.6, 334.0) | Vel: (-88.9, -45.9) | Orient: -2.66 rad | AngVel: 0.09 | Speed: 100.0 | DistToTarget: 565.9 | Colliding: False | NearestObstacle: 92.0
Step 34 | Time: 0.567s | Pos: (588.2, 333.2) | Vel: (-88.9, -45.9) | Orient: -2.66 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 564.3 | Colliding: False | NearestObstacle: 90.7
Step 35 | Time: 0.583s | Pos: (586.7, 332.5) | Vel: (-88.9, -45.9) | Orient: -2.66 rad | AngVel: -0.06 | Speed: 100.0 | DistToTarget: 562.6 | Colliding: False | NearestObstacle: 89.3
Step 36 | Time: 0.600s | Pos: (585.2, 331.7) | Vel: (-88.9, -45.9) | Orient: -2.66 rad | AngVel: -0.08 | Speed: 100.0 | DistToTarget: 560.9 | Colliding: False | NearestObstacle: 88.1
Step 37 | Time: 0.617s | Pos: (583.7, 331.0) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.06 | Speed: 100.0 | DistToTarget: 559.3 | Colliding: False | NearestObstacle: 86.8
Step 38 | Time: 0.633s | Pos: (582.2, 330.2) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.04 | Speed: 100.0 | DistToTarget: 557.6 | Colliding: False | NearestObstacle: 85.5
Step 39 | Time: 0.650s | Pos: (580.8, 329.4) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 555.9 | Colliding: False | NearestObstacle: 84.2
Step 40 | Time: 0.667s | Pos: (579.3, 328.7) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 554.3 | Colliding: False | NearestObstacle: 83.0
Step 41 | Time: 0.683s | Pos: (577.8, 327.9) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 552.6 | Colliding: False | NearestObstacle: 81.7
Step 42 | Time: 0.700s | Pos: (576.3, 327.1) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 550.9 | Colliding: False | NearestObstacle: 80.5
Step 43 | Time: 0.717s | Pos: (574.8, 326.4) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 549.3 | Colliding: False | NearestObstacle: 79.3
Step 44 | Time: 0.733s | Pos: (573.4, 325.6) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 547.6 | Colliding: False | NearestObstacle: 78.0
Step 45 | Time: 0.750s | Pos: (571.9, 324.8) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 545.9 | Colliding: False | NearestObstacle: 76.8
Step 46 | Time: 0.767s | Pos: (570.4, 324.1) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 544.3 | Colliding: False | NearestObstacle: 75.7
Step 47 | Time: 0.783s | Pos: (568.9, 323.3) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 542.6 | Colliding: False | NearestObstacle: 74.5
Step 48 | Time: 0.800s | Pos: (567.4, 322.5) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 540.9 | Colliding: False | NearestObstacle: 73.3
Step 49 | Time: 0.817s | Pos: (565.9, 321.8) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 539.3 | Colliding: False | NearestObstacle: 72.2
Step 50 | Time: 0.833s | Pos: (564.5, 321.0) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 537.6 | Colliding: False | NearestObstacle: 71.0
Step 51 | Time: 0.850s | Pos: (563.0, 320.3) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 535.9 | Colliding: False | NearestObstacle: 69.9
Step 52 | Time: 0.867s | Pos: (561.5, 319.5) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 534.3 | Colliding: False | NearestObstacle: 68.8
Step 53 | Time: 0.883s | Pos: (560.0, 318.7) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 532.6 | Colliding: False | NearestObstacle: 67.7
Step 54 | Time: 0.900s | Pos: (558.5, 318.0) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 530.9 | Colliding: False | NearestObstacle: 66.6
Step 55 | Time: 0.917s | Pos: (557.1, 317.2) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 529.3 | Colliding: False | NearestObstacle: 65.6
Step 56 | Time: 0.933s | Pos: (555.6, 316.4) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 527.6 | Colliding: False | NearestObstacle: 64.5
Step 57 | Time: 0.950s | Pos: (554.1, 315.7) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 525.9 | Colliding: False | NearestObstacle: 63.5
Step 58 | Time: 0.967s | Pos: (552.6, 314.9) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 524.3 | Colliding: False | NearestObstacle: 62.5
Step 59 | Time: 0.983s | Pos: (551.1, 314.1) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 522.6 | Colliding: False | NearestObstacle: 61.5
Step 60 | Time: 1.000s | Pos: (549.7, 313.4) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 520.9 | Colliding: False | NearestObstacle: 60.5
Step 61 | Time: 1.017s | Pos: (548.2, 312.6) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 519.3 | Colliding: False | NearestObstacle: 59.5
Step 62 | Time: 1.033s | Pos: (546.7, 311.8) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 517.6 | Colliding: False | NearestObstacle: 58.6
Step 63 | Time: 1.050s | Pos: (545.2, 311.1) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 515.9 | Colliding: False | NearestObstacle: 57.7
Step 64 | Time: 1.067s | Pos: (543.7, 310.3) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 514.3 | Colliding: False | NearestObstacle: 56.8
Step 65 | Time: 1.083s | Pos: (542.3, 309.6) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 512.6 | Colliding: False | NearestObstacle: 55.9
Step 66 | Time: 1.100s | Pos: (540.8, 308.8) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 510.9 | Colliding: False | NearestObstacle: 55.1
Step 67 | Time: 1.117s | Pos: (539.3, 308.0) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 509.3 | Colliding: False | NearestObstacle: 54.3
Step 68 | Time: 1.133s | Pos: (537.8, 307.3) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 507.6 | Colliding: False | NearestObstacle: 53.5
Step 69 | Time: 1.150s | Pos: (536.3, 306.5) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 505.9 | Colliding: False | NearestObstacle: 52.7
Step 70 | Time: 1.167s | Pos: (534.8, 305.7) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 504.3 | Colliding: False | NearestObstacle: 51.9
Step 71 | Time: 1.183s | Pos: (533.4, 305.0) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 502.6 | Colliding: False | NearestObstacle: 51.2
Step 72 | Time: 1.200s | Pos: (531.9, 304.2) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 500.9 | Colliding: False | NearestObstacle: 50.5
Step 73 | Time: 1.217s | Pos: (530.4, 303.4) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 499.3 | Colliding: False | NearestObstacle: 49.8
Step 74 | Time: 1.233s | Pos: (528.9, 302.7) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 497.6 | Colliding: False | NearestObstacle: 49.2
Step 75 | Time: 1.250s | Pos: (527.4, 301.9) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 495.9 | Colliding: False | NearestObstacle: 48.6
Step 76 | Time: 1.267s | Pos: (526.0, 301.1) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 494.3 | Colliding: False | NearestObstacle: 48.0
Step 77 | Time: 1.283s | Pos: (524.5, 300.4) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 492.6 | Colliding: False | NearestObstacle: 47.4
Step 78 | Time: 1.300s | Pos: (523.0, 299.6) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 490.9 | Colliding: False | NearestObstacle: 46.9
Step 79 | Time: 1.317s | Pos: (521.5, 298.8) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 489.3 | Colliding: False | NearestObstacle: 46.4
Step 80 | Time: 1.333s | Pos: (520.0, 298.1) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 487.6 | Colliding: False | NearestObstacle: 45.9
Step 81 | Time: 1.350s | Pos: (518.6, 297.3) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 485.9 | Colliding: False | NearestObstacle: 45.5
Step 82 | Time: 1.367s | Pos: (517.1, 296.6) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 484.3 | Colliding: False | NearestObstacle: 45.1
Step 83 | Time: 1.383s | Pos: (515.6, 295.8) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 482.6 | Colliding: False | NearestObstacle: 44.7
Step 84 | Time: 1.400s | Pos: (514.1, 295.0) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 480.9 | Colliding: False | NearestObstacle: 44.4
Step 85 | Time: 1.417s | Pos: (512.6, 294.3) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 479.3 | Colliding: False | NearestObstacle: 44.1
Step 86 | Time: 1.433s | Pos: (511.1, 293.5) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 477.6 | Colliding: False | NearestObstacle: 43.8
Step 87 | Time: 1.450s | Pos: (509.7, 292.7) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 475.9 | Colliding: False | NearestObstacle: 43.6
Step 88 | Time: 1.467s | Pos: (508.2, 292.0) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 474.3 | Colliding: False | NearestObstacle: 43.4
Step 89 | Time: 1.483s | Pos: (506.7, 291.2) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 472.6 | Colliding: False | NearestObstacle: 43.2
Step 90 | Time: 1.500s | Pos: (505.2, 290.4) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 470.9 | Colliding: False | NearestObstacle: 43.1
Step 91 | Time: 1.517s | Pos: (503.7, 289.7) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 469.3 | Colliding: False | NearestObstacle: 43.0
Step 92 | Time: 1.533s | Pos: (502.3, 288.9) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 467.6 | Colliding: False | NearestObstacle: 42.9
Step 93 | Time: 1.550s | Pos: (500.8, 288.1) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 465.9 | Colliding: False | NearestObstacle: 42.9
Step 94 | Time: 1.567s | Pos: (499.3, 287.4) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 464.3 | Colliding: False | NearestObstacle: 42.9
Step 95 | Time: 1.583s | Pos: (497.8, 286.6) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 462.6 | Colliding: False | NearestObstacle: 43.0
Step 96 | Time: 1.600s | Pos: (496.3, 285.9) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 460.9 | Colliding: False | NearestObstacle: 43.0
Step 97 | Time: 1.617s | Pos: (494.9, 285.1) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 459.3 | Colliding: False | NearestObstacle: 43.2
Step 98 | Time: 1.633s | Pos: (493.4, 284.3) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 457.6 | Colliding: False | NearestObstacle: 43.3
Step 99 | Time: 1.650s | Pos: (491.9, 283.6) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 455.9 | Colliding: False | NearestObstacle: 43.5
Step 100 | Time: 1.667s | Pos: (490.4, 282.8) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 454.3 | Colliding: False | NearestObstacle: 43.7
Step 101 | Time: 1.683s | Pos: (488.9, 282.0) | Vel: (-88.9, -45.9) | Orient: -2.67 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 452.6 | Colliding: False | NearestObstacle: 44.0
