Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-0.8, -1.7) | Orient: -3.10 rad | AngVel: 25.88 | Speed: 1.9 | DistToTarget: 303.7 | Colliding: False | NearestObstacle: 153.4
Step 1 | Time: 0.017s | Pos: (639.9, 359.9) | Vel: (-2.4, -5.2) | Orient: -2.54 rad | AngVel: 33.22 | Speed: 5.7 | DistToTarget: 303.6 | Colliding: False | NearestObstacle: 153.3
Step 2 | Time: 0.033s | Pos: (639.9, 359.7) | Vel: (-4.7, -10.6) | Orient: -2.08 rad | AngVel: 28.08 | Speed: 11.6 | DistToTarget: 303.4 | Colliding: False | NearestObstacle: 153.1
Step 3 | Time: 0.050s | Pos: (639.7, 359.4) | Vel: (-7.9, -17.7) | Orient: -1.79 rad | AngVel: 17.42 | Speed: 19.4 | DistToTarget: 303.1 | Colliding: False | NearestObstacle: 152.8
Step 4 | Time: 0.067s | Pos: (639.5, 359.0) | Vel: (-11.7, -26.4) | Orient: -1.67 rad | AngVel: 6.63 | Speed: 28.9 | DistToTarget: 302.6 | Colliding: False | NearestObstacle: 152.4
Step 5 | Time: 0.083s | Pos: (639.3, 358.4) | Vel: (-16.1, -36.5) | Orient: -1.70 rad | AngVel: -1.27 | Speed: 39.9 | DistToTarget: 301.9 | Colliding: False | NearestObstacle: 151.7
Step 6 | Time: 0.100s | Pos: (638.9, 357.6) | Vel: (-21.0, -47.8) | Orient: -1.79 rad | AngVel: -5.39 | Speed: 52.2 | DistToTarget: 301.1 | Colliding: False | NearestObstacle: 150.9
Step 7 | Time: 0.117s | Pos: (638.5, 356.6) | Vel: (-26.2, -59.8) | Orient: -1.89 rad | AngVel: -6.21 | Speed: 65.3 | DistToTarget: 300.0 | Colliding: False | NearestObstacle: 149.9
Step 8 | Time: 0.133s | Pos: (638.0, 355.4) | Vel: (-31.7, -72.3) | Orient: -1.97 rad | AngVel: -4.95 | Speed: 78.9 | DistToTarget: 298.7 | Colliding: False | NearestObstacle: 148.7
Step 9 | Time: 0.150s | Pos: (637.3, 354.0) | Vel: (-37.1, -84.8) | Orient: -2.02 rad | AngVel: -2.87 | Speed: 92.5 | DistToTarget: 297.1 | Colliding: False | NearestObstacle: 147.2
Step 10 | Time: 0.167s | Pos: (636.6, 352.3) | Vel: (-42.4, -96.9) | Orient: -2.03 rad | AngVel: -0.89 | Speed: 105.8 | DistToTarget: 295.4 | Colliding: False | NearestObstacle: 145.6
Step 11 | Time: 0.183s | Pos: (635.8, 350.5) | Vel: (-47.5, -108.5) | Orient: -2.03 rad | AngVel: 0.48 | Speed: 118.4 | DistToTarget: 293.4 | Colliding: False | NearestObstacle: 143.7
Step 12 | Time: 0.200s | Pos: (635.0, 348.5) | Vel: (-52.3, -119.1) | Orient: -2.01 rad | AngVel: 1.12 | Speed: 130.1 | DistToTarget: 291.2 | Colliding: False | NearestObstacle: 141.7
Step 13 | Time: 0.217s | Pos: (634.0, 346.4) | Vel: (-56.7, -128.8) | Orient: -1.99 rad | AngVel: 1.17 | Speed: 140.7 | DistToTarget: 288.9 | Colliding: False | NearestObstacle: 139.6
Step 14 | Time: 0.233s | Pos: (633.0, 344.1) | Vel: (-60.6, -137.4) | Orient: -1.97 rad | AngVel: 0.88 | Speed: 150.2 | DistToTarget: 286.4 | Colliding: False | NearestObstacle: 137.2
Step 15 | Time: 0.250s | Pos: (631.9, 341.7) | Vel: (-64.2, -145.0) | Orient: -1.97 rad | AngVel: 0.47 | Speed: 158.6 | DistToTarget: 283.7 | Colliding: False | NearestObstacle: 134.8
Step 16 | Time: 0.267s | Pos: (630.8, 339.2) | Vel: (-67.4, -151.6) | Orient: -1.96 rad | AngVel: 0.11 | Speed: 165.9 | DistToTarget: 281.0 | Colliding: False | NearestObstacle: 132.3
Step 17 | Time: 0.283s | Pos: (629.7, 336.5) | Vel: (-70.3, -157.2) | Orient: -1.97 rad | AngVel: -0.12 | Speed: 172.2 | DistToTarget: 278.1 | Colliding: False | NearestObstacle: 129.6
Step 18 | Time: 0.300s | Pos: (628.4, 333.8) | Vel: (-73.0, -162.0) | Orient: -1.97 rad | AngVel: -0.21 | Speed: 177.7 | DistToTarget: 275.1 | Colliding: False | NearestObstacle: 126.9
Step 19 | Time: 0.317s | Pos: (627.2, 331.1) | Vel: (-75.4, -166.0) | Orient: -1.97 rad | AngVel: -0.20 | Speed: 182.3 | DistToTarget: 272.1 | Colliding: False | NearestObstacle: 124.2
Step 20 | Time: 0.333s | Pos: (625.9, 328.3) | Vel: (-77.7, -169.3) | Orient: -1.98 rad | AngVel: -0.14 | Speed: 186.3 | DistToTarget: 269.0 | Colliding: False | NearestObstacle: 121.4
Step 21 | Time: 0.350s | Pos: (624.6, 325.4) | Vel: (-79.9, -172.0) | Orient: -1.98 rad | AngVel: -0.05 | Speed: 189.6 | DistToTarget: 265.8 | Colliding: False | NearestObstacle: 118.6
Step 22 | Time: 0.367s | Pos: (623.2, 322.5) | Vel: (-82.0, -174.0) | Orient: -1.98 rad | AngVel: 0.02 | Speed: 192.4 | DistToTarget: 262.6 | Colliding: False | NearestObstacle: 115.7
Step 23 | Time: 0.383s | Pos: (621.8, 319.6) | Vel: (-84.1, -175.6) | Orient: -1.97 rad | AngVel: 0.06 | Speed: 194.7 | DistToTarget: 259.4 | Colliding: False | NearestObstacle: 112.8
Step 24 | Time: 0.400s | Pos: (620.3, 316.6) | Vel: (-86.2, -176.6) | Orient: -1.97 rad | AngVel: 0.08 | Speed: 196.5 | DistToTarget: 256.1 | Colliding: False | NearestObstacle: 110.0
Step 25 | Time: 0.417s | Pos: (618.9, 313.7) | Vel: (-88.4, -177.1) | Orient: -1.97 rad | AngVel: 0.08 | Speed: 197.9 | DistToTarget: 252.8 | Colliding: False | NearestObstacle: 107.1
Step 26 | Time: 0.433s | Pos: (617.4, 310.7) | Vel: (-90.7, -177.0) | Orient: -1.97 rad | AngVel: 0.08 | Speed: 198.9 | DistToTarget: 249.5 | Colliding: False | NearestObstacle: 104.3
Step 27 | Time: 0.450s | Pos: (615.8, 307.8) | Vel: (-93.1, -176.5) | Orient: -1.97 rad | AngVel: 0.07 | Speed: 199.5 | DistToTarget: 246.2 | Colliding: False | NearestObstacle: 101.5
Step 28 | Time: 0.467s | Pos: (614.2, 304.9) | Vel: (-95.6, -175.4) | Orient: -1.97 rad | AngVel: 0.08 | Speed: 199.8 | DistToTarget: 242.9 | Colliding: False | NearestObstacle: 98.8
Step 29 | Time: 0.483s | Pos: (612.6, 302.0) | Vel: (-98.4, -173.9) | Orient: -1.97 rad | AngVel: 0.08 | Speed: 199.8 | DistToTarget: 239.6 | Colliding: False | NearestObstacle: 96.1
Step 30 | Time: 0.500s | Pos: (610.9, 299.1) | Vel: (-101.5, -171.8) | Orient: -1.97 rad | AngVel: 0.10 | Speed: 199.5 | DistToTarget: 236.3 | Colliding: False | NearestObstacle: 93.5
Step 31 | Time: 0.517s | Pos: (609.1, 296.3) | Vel: (-104.8, -169.1) | Orient: -1.96 rad | AngVel: 0.12 | Speed: 199.0 | DistToTarget: 233.0 | Colliding: False | NearestObstacle: 90.9
Step 32 | Time: 0.533s | Pos: (607.3, 293.5) | Vel: (-108.5, -166.0) | Orient: -1.96 rad | AngVel: 0.15 | Speed: 198.3 | DistToTarget: 229.8 | Colliding: False | NearestObstacle: 88.5
Step 33 | Time: 0.550s | Pos: (605.5, 290.8) | Vel: (-112.5, -162.3) | Orient: -1.96 rad | AngVel: 0.18 | Speed: 197.5 | DistToTarget: 226.6 | Colliding: False | NearestObstacle: 86.2
Step 34 | Time: 0.567s | Pos: (603.5, 288.2) | Vel: (-117.0, -158.2) | Orient: -1.95 rad | AngVel: 0.21 | Speed: 196.8 | DistToTarget: 223.4 | Colliding: False | NearestObstacle: 84.0
Step 35 | Time: 0.583s | Pos: (601.5, 285.6) | Vel: (-121.9, -153.6) | Orient: -1.95 rad | AngVel: 0.24 | Speed: 196.1 | DistToTarget: 220.3 | Colliding: False | NearestObstacle: 82.0
Step 36 | Time: 0.600s | Pos: (599.4, 283.1) | Vel: (-127.2, -148.7) | Orient: -1.95 rad | AngVel: 0.28 | Speed: 195.7 | DistToTarget: 217.2 | Colliding: False | NearestObstacle: 80.1
Step 37 | Time: 0.617s | Pos: (597.1, 280.7) | Vel: (-133.0, -143.5) | Orient: -1.94 rad | AngVel: 0.32 | Speed: 195.7 | DistToTarget: 214.1 | Colliding: False | NearestObstacle: 78.4
