Step 28 | Time: 0.467s | Pos: (628.5, 372.2) | Vel: (-71.4, 70.0) | Orient: -2.79 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 454.1 | Colliding: False | NearestObstacle: 106.5
Step 29 | Time: 0.483s | Pos: (627.3, 373.4) | Vel: (-71.5, 69.9) | Orient: -2.83 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 452.5 | Colliding: False | NearestObstacle: 105.1
Step 30 | Time: 0.500s | Pos: (626.2, 374.6) | Vel: (-71.5, 69.9) | Orient: -2.86 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 450.8 | Colliding: False | NearestObstacle: 103.6
Step 31 | Time: 0.517s | Pos: (625.0, 375.7) | Vel: (-71.5, 69.9) | Orient: -2.89 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 449.2 | Colliding: False | NearestObstacle: 102.2
Step 32 | Time: 0.533s | Pos: (623.8, 376.9) | Vel: (-71.5, 69.9) | Orient: -2.93 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 447.5 | Colliding: False | NearestObstacle: 100.8
Step 33 | Time: 0.550s | Pos: (622.6, 378.1) | Vel: (-71.5, 69.9) | Orient: -2.96 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 445.8 | Colliding: False | NearestObstacle: 99.3
Step 34 | Time: 0.567s | Pos: (621.4, 379.2) | Vel: (-71.4, 70.0) | Orient: -2.99 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 444.2 | Colliding: False | NearestObstacle: 97.9
Step 35 | Time: 0.583s | Pos: (620.2, 380.4) | Vel: (-71.3, 70.1) | Orient: -3.03 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 442.5 | Colliding: False | NearestObstacle: 96.5
Step 36 | Time: 0.600s | Pos: (619.0, 381.6) | Vel: (-71.1, 70.3) | Orient: -3.06 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 440.9 | Colliding: False | NearestObstacle: 95.1
Step 37 | Time: 0.617s | Pos: (617.8, 382.7) | Vel: (-71.0, 70.5) | Orient: -3.09 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 439.2 | Colliding: False | NearestObstacle: 93.7
Step 38 | Time: 0.633s | Pos: (616.7, 383.9) | Vel: (-70.7, 70.7) | Orient: -3.13 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 437.6 | Colliding: False | NearestObstacle: 92.4
Step 39 | Time: 0.650s | Pos: (615.5, 385.1) | Vel: (-70.5, 70.9) | Orient: 3.12 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 435.9 | Colliding: False | NearestObstacle: 91.0
Step 40 | Time: 0.667s | Pos: (614.3, 386.3) | Vel: (-70.2, 71.2) | Orient: 3.09 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 434.3 | Colliding: False | NearestObstacle: 89.6
Step 41 | Time: 0.683s | Pos: (613.1, 387.5) | Vel: (-69.9, 71.6) | Orient: 3.06 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 432.6 | Colliding: False | NearestObstacle: 88.3
Step 42 | Time: 0.700s | Pos: (612.0, 388.7) | Vel: (-69.5, 71.9) | Orient: 3.02 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 431.0 | Colliding: False | NearestObstacle: 87.0
Step 43 | Time: 0.717s | Pos: (610.8, 389.9) | Vel: (-69.1, 72.3) | Orient: 2.99 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 429.3 | Colliding: False | NearestObstacle: 85.7
Step 44 | Time: 0.733s | Pos: (609.7, 391.1) | Vel: (-68.6, 72.8) | Orient: 2.96 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 427.7 | Colliding: False | NearestObstacle: 84.4
Step 45 | Time: 0.750s | Pos: (608.6, 392.3) | Vel: (-68.1, 73.3) | Orient: 2.92 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 426.0 | Colliding: False | NearestObstacle: 83.1
Step 46 | Time: 0.767s | Pos: (607.4, 393.6) | Vel: (-67.5, 73.8) | Orient: 2.89 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 424.4 | Colliding: False | NearestObstacle: 81.8
Step 47 | Time: 0.783s | Pos: (606.3, 394.8) | Vel: (-66.9, 74.3) | Orient: 2.86 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 422.7 | Colliding: False | NearestObstacle: 80.6
Step 48 | Time: 0.800s | Pos: (605.2, 396.0) | Vel: (-66.2, 74.9) | Orient: 2.82 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 421.1 | Colliding: False | NearestObstacle: 79.4
Step 49 | Time: 0.817s | Pos: (604.1, 397.3) | Vel: (-65.5, 75.6) | Orient: 2.79 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 419.5 | Colliding: False | NearestObstacle: 78.2
Step 50 | Time: 0.833s | Pos: (603.0, 398.6) | Vel: (-64.7, 76.2) | Orient: 2.76 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 417.8 | Colliding: False | NearestObstacle: 77.0
Step 51 | Time: 0.850s | Pos: (602.0, 399.9) | Vel: (-63.9, 76.9) | Orient: 2.72 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 416.2 | Colliding: False | NearestObstacle: 75.9
Step 52 | Time: 0.867s | Pos: (600.9, 401.1) | Vel: (-63.0, 77.7) | Orient: 2.69 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 414.6 | Colliding: False | NearestObstacle: 74.8
Step 53 | Time: 0.883s | Pos: (599.9, 402.5) | Vel: (-62.0, 78.5) | Orient: 2.66 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 413.0 | Colliding: False | NearestObstacle: 73.7
Step 54 | Time: 0.900s | Pos: (598.9, 403.8) | Vel: (-61.0, 79.3) | Orient: 2.62 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 411.4 | Colliding: False | NearestObstacle: 72.7
