Step 28 | Time: 0.467s | Pos: (567.1, 417.0) | Vel: (-149.6, -16.4) | Orient: -1.63 rad | AngVel: 0.53 | Speed: 150.5 | DistToTarget: 306.8 | Colliding: False | NearestObstacle: 184.5
Step 29 | Time: 0.483s | Pos: (564.6, 416.5) | Vel: (-147.9, -29.0) | Orient: -1.62 rad | AngVel: 0.53 | Speed: 150.7 | DistToTarget: 306.2 | Colliding: False | NearestObstacle: 184.8
Step 30 | Time: 0.500s | Pos: (562.2, 415.8) | Vel: (-145.9, -41.7) | Orient: -1.62 rad | AngVel: 0.51 | Speed: 151.7 | DistToTarget: 305.4 | Colliding: False | NearestObstacle: 185.0
Step 31 | Time: 0.517s | Pos: (559.8, 414.9) | Vel: (-143.6, -54.3) | Orient: -1.61 rad | AngVel: 0.48 | Speed: 153.5 | DistToTarget: 304.4 | Colliding: False | NearestObstacle: 185.0
Step 32 | Time: 0.533s | Pos: (557.5, 413.8) | Vel: (-141.0, -66.6) | Orient: -1.60 rad | AngVel: 0.46 | Speed: 156.0 | DistToTarget: 303.2 | Colliding: False | NearestObstacle: 184.8
Step 33 | Time: 0.550s | Pos: (555.2, 412.5) | Vel: (-138.2, -78.6) | Orient: -1.59 rad | AngVel: 0.44 | Speed: 159.0 | DistToTarget: 301.8 | Colliding: False | NearestObstacle: 184.4
Step 34 | Time: 0.567s | Pos: (552.9, 411.0) | Vel: (-135.1, -90.2) | Orient: -1.59 rad | AngVel: 0.43 | Speed: 162.4 | DistToTarget: 300.3 | Colliding: False | NearestObstacle: 183.9
Step 35 | Time: 0.583s | Pos: (550.7, 409.3) | Vel: (-131.8, -101.2) | Orient: -1.58 rad | AngVel: 0.43 | Speed: 166.2 | DistToTarget: 298.5 | Colliding: False | NearestObstacle: 183.2
Step 36 | Time: 0.600s | Pos: (548.6, 407.5) | Vel: (-128.5, -111.5) | Orient: -1.57 rad | AngVel: 0.42 | Speed: 170.1 | DistToTarget: 296.7 | Colliding: False | NearestObstacle: 182.4
Step 37 | Time: 0.617s | Pos: (546.5, 405.4) | Vel: (-125.0, -121.2) | Orient: -1.56 rad | AngVel: 0.42 | Speed: 174.1 | DistToTarget: 294.7 | Colliding: False | NearestObstacle: 181.4
Step 38 | Time: 0.633s | Pos: (544.5, 403.3) | Vel: (-121.7, -130.0) | Orient: -1.56 rad | AngVel: 0.42 | Speed: 178.1 | DistToTarget: 292.5 | Colliding: False | NearestObstacle: 180.3
Step 39 | Time: 0.650s | Pos: (542.5, 401.0) | Vel: (-118.4, -138.2) | Orient: -1.55 rad | AngVel: 0.41 | Speed: 182.0 | DistToTarget: 290.2 | Colliding: False | NearestObstacle: 179.1
Step 40 | Time: 0.667s | Pos: (540.6, 398.5) | Vel: (-115.3, -145.6) | Orient: -1.54 rad | AngVel: 0.41 | Speed: 185.7 | DistToTarget: 287.9 | Colliding: False | NearestObstacle: 177.8
Step 41 | Time: 0.683s | Pos: (538.7, 396.0) | Vel: (-112.5, -152.2) | Orient: -1.54 rad | AngVel: 0.41 | Speed: 189.3 | DistToTarget: 285.4 | Colliding: False | NearestObstacle: 176.5
Step 42 | Time: 0.700s | Pos: (536.9, 393.4) | Vel: (-109.9, -158.2) | Orient: -1.53 rad | AngVel: 0.40 | Speed: 192.6 | DistToTarget: 282.8 | Colliding: False | NearestObstacle: 175.0
Step 43 | Time: 0.717s | Pos: (535.1, 390.6) | Vel: (-107.7, -163.5) | Orient: -1.52 rad | AngVel: 0.40 | Speed: 195.8 | DistToTarget: 280.2 | Colliding: False | NearestObstacle: 173.5
