Step 28 | Time: 0.467s | Pos: (679.0, 373.1) | Vel: (94.8, 31.7) | Orient: 0.33 rad | AngVel: 0.19 | Speed: 100.0 | DistToTarget: 461.2 | Colliding: False | NearestObstacle: 77.7
Step 29 | Time: 0.483s | Pos: (680.6, 373.6) | Vel: (94.9, 31.7) | Orient: 0.34 rad | AngVel: 0.06 | Speed: 100.0 | DistToTarget: 459.5 | Colliding: False | NearestObstacle: 76.2
Step 30 | Time: 0.500s | Pos: (682.2, 374.2) | Vel: (94.9, 31.6) | Orient: 0.33 rad | AngVel: -0.02 | Speed: 100.0 | DistToTarget: 457.8 | Colliding: False | NearestObstacle: 74.6
Step 31 | Time: 0.517s | Pos: (683.8, 374.7) | Vel: (94.9, 31.6) | Orient: 0.33 rad | AngVel: -0.07 | Speed: 100.0 | DistToTarget: 456.2 | Colliding: False | NearestObstacle: 73.1
Step 32 | Time: 0.533s | Pos: (685.4, 375.2) | Vel: (94.9, 31.5) | Orient: 0.33 rad | AngVel: -0.07 | Speed: 100.0 | DistToTarget: 454.5 | Colliding: False | NearestObstacle: 71.5
Step 33 | Time: 0.550s | Pos: (686.9, 375.7) | Vel: (94.9, 31.5) | Orient: 0.33 rad | AngVel: -0.05 | Speed: 100.0 | DistToTarget: 452.8 | Colliding: False | NearestObstacle: 70.0
Step 34 | Time: 0.567s | Pos: (688.5, 376.3) | Vel: (94.9, 31.4) | Orient: 0.33 rad | AngVel: -0.03 | Speed: 100.0 | DistToTarget: 451.2 | Colliding: False | NearestObstacle: 68.5
Step 35 | Time: 0.583s | Pos: (690.1, 376.8) | Vel: (94.9, 31.4) | Orient: 0.33 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 449.5 | Colliding: False | NearestObstacle: 66.9
Step 36 | Time: 0.600s | Pos: (691.7, 377.3) | Vel: (95.0, 31.3) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 447.8 | Colliding: False | NearestObstacle: 65.4
Step 37 | Time: 0.617s | Pos: (693.3, 377.8) | Vel: (95.0, 31.3) | Orient: 0.33 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 446.2 | Colliding: False | NearestObstacle: 63.9
Step 38 | Time: 0.633s | Pos: (694.9, 378.4) | Vel: (95.0, 31.2) | Orient: 0.33 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 444.5 | Colliding: False | NearestObstacle: 62.4
Step 39 | Time: 0.650s | Pos: (696.4, 378.9) | Vel: (95.0, 31.1) | Orient: 0.33 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 442.8 | Colliding: False | NearestObstacle: 60.9
