Step 28 | Time: 0.467s | Pos: (683.8, 394.0) | Vel: (-100.0, -10.1) | Orient: -2.65 rad | AngVel: 0.11 | Speed: 100.5 | DistToTarget: 628.4 | Colliding: False | NearestObstacle: 165.3
Step 29 | Time: 0.483s | Pos: (681.8, 393.7) | Vel: (-118.2, -19.9) | Orient: -2.65 rad | AngVel: 0.11 | Speed: 119.8 | DistToTarget: 626.5 | Colliding: False | NearestObstacle: 163.3
Step 30 | Time: 0.500s | Pos: (679.6, 393.2) | Vel: (-134.1, -29.2) | Orient: -2.65 rad | AngVel: 0.10 | Speed: 137.2 | DistToTarget: 624.4 | Colliding: False | NearestObstacle: 161.1
Step 31 | Time: 0.517s | Pos: (677.1, 392.6) | Vel: (-147.4, -37.6) | Orient: -2.64 rad | AngVel: 0.08 | Speed: 152.1 | DistToTarget: 621.9 | Colliding: False | NearestObstacle: 158.6
Step 32 | Time: 0.533s | Pos: (674.5, 391.8) | Vel: (-158.2, -44.9) | Orient: -2.64 rad | AngVel: 0.07 | Speed: 164.5 | DistToTarget: 619.2 | Colliding: False | NearestObstacle: 155.9
Step 33 | Time: 0.550s | Pos: (671.7, 391.0) | Vel: (-166.8, -51.2) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 174.4 | DistToTarget: 616.4 | Colliding: False | NearestObstacle: 153.0
Step 34 | Time: 0.567s | Pos: (668.8, 390.0) | Vel: (-173.3, -56.4) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 182.3 | DistToTarget: 613.4 | Colliding: False | NearestObstacle: 150.0
Step 35 | Time: 0.583s | Pos: (665.8, 389.0) | Vel: (-178.3, -60.7) | Orient: -2.64 rad | AngVel: 0.04 | Speed: 188.3 | DistToTarget: 610.3 | Colliding: False | NearestObstacle: 146.9
Step 36 | Time: 0.600s | Pos: (662.8, 387.9) | Vel: (-181.9, -64.1) | Orient: -2.64 rad | AngVel: 0.04 | Speed: 192.8 | DistToTarget: 607.1 | Colliding: False | NearestObstacle: 143.7
Step 37 | Time: 0.617s | Pos: (659.7, 386.8) | Vel: (-184.5, -66.7) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 196.2 | DistToTarget: 603.9 | Colliding: False | NearestObstacle: 140.4
Step 38 | Time: 0.633s | Pos: (656.6, 385.7) | Vel: (-186.3, -68.7) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 198.6 | DistToTarget: 600.6 | Colliding: False | NearestObstacle: 137.1
Step 39 | Time: 0.650s | Pos: (653.5, 384.5) | Vel: (-187.5, -70.2) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 200.2 | DistToTarget: 597.3 | Colliding: False | NearestObstacle: 133.8
Step 40 | Time: 0.667s | Pos: (650.4, 383.3) | Vel: (-188.1, -71.1) | Orient: -2.64 rad | AngVel: 0.05 | Speed: 201.1 | DistToTarget: 594.0 | Colliding: False | NearestObstacle: 130.4
