Step 33 | Time: 0.550s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 34 | Time: 0.567s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 35 | Time: 0.583s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 36 | Time: 0.600s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 37 | Time: 0.617s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 38 | Time: 0.633s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 39 | Time: 0.650s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 40 | Time: 0.667s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 41 | Time: 0.683s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 42 | Time: 0.700s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 43 | Time: 0.717s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 44 | Time: 0.733s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 45 | Time: 0.750s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 46 | Time: 0.767s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 47 | Time: 0.783s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 48 | Time: 0.800s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 49 | Time: 0.817s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 50 | Time: 0.833s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
Step 51 | Time: 0.850s | Pos: (640.0, 360.0) | Vel: (0.0, 0.0) | Orient: 3.06 rad | AngVel: 0.00 | Speed: 0.0 | Score: 0 | ActiveShapes: 0
