Step 28 | Time: 0.467s | Pos: (596.8, 381.6) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 336.4 | Colliding: False | NearestObstacle: 73.9
Step 29 | Time: 0.483s | Pos: (595.3, 382.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 334.7 | Colliding: False | NearestObstacle: 72.9
Step 30 | Time: 0.500s | Pos: (593.8, 383.1) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 333.1 | Colliding: False | NearestObstacle: 72.0
Step 31 | Time: 0.517s | Pos: (592.3, 383.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 331.4 | Colliding: False | NearestObstacle: 71.0
Step 32 | Time: 0.533s | Pos: (590.8, 384.6) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 329.7 | Colliding: False | NearestObstacle: 70.0
Step 33 | Time: 0.550s | Pos: (589.3, 385.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 328.1 | Colliding: False | NearestObstacle: 69.1
Step 34 | Time: 0.567s | Pos: (587.8, 386.1) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 326.4 | Colliding: False | NearestObstacle: 68.2
Step 35 | Time: 0.583s | Pos: (586.3, 386.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 324.7 | Colliding: False | NearestObstacle: 67.3
Step 36 | Time: 0.600s | Pos: (584.8, 387.6) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 323.1 | Colliding: False | NearestObstacle: 66.5
Step 37 | Time: 0.617s | Pos: (583.3, 388.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 321.4 | Colliding: False | NearestObstacle: 65.6
Step 38 | Time: 0.633s | Pos: (581.9, 389.1) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 319.7 | Colliding: False | NearestObstacle: 64.8
Step 39 | Time: 0.650s | Pos: (580.4, 389.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 318.1 | Colliding: False | NearestObstacle: 64.0
Step 40 | Time: 0.667s | Pos: (578.9, 390.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 316.4 | Colliding: False | NearestObstacle: 63.3
Step 41 | Time: 0.683s | Pos: (577.4, 391.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 314.7 | Colliding: False | NearestObstacle: 62.5
Step 42 | Time: 0.700s | Pos: (575.9, 392.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 313.1 | Colliding: False | NearestObstacle: 61.8
Step 43 | Time: 0.717s | Pos: (574.4, 392.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 311.4 | Colliding: False | NearestObstacle: 61.1
Step 44 | Time: 0.733s | Pos: (572.9, 393.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 309.7 | Colliding: False | NearestObstacle: 60.4
Step 45 | Time: 0.750s | Pos: (571.4, 394.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 308.1 | Colliding: False | NearestObstacle: 59.8
Step 46 | Time: 0.767s | Pos: (569.9, 395.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 306.4 | Colliding: False | NearestObstacle: 59.2
Step 47 | Time: 0.783s | Pos: (568.4, 395.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 304.7 | Colliding: False | NearestObstacle: 58.6
Step 48 | Time: 0.800s | Pos: (566.9, 396.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 303.1 | Colliding: False | NearestObstacle: 58.1
Step 49 | Time: 0.817s | Pos: (565.5, 397.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 301.4 | Colliding: False | NearestObstacle: 57.5
Step 50 | Time: 0.833s | Pos: (564.0, 398.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 299.7 | Colliding: False | NearestObstacle: 57.0
Step 51 | Time: 0.850s | Pos: (562.5, 398.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 298.1 | Colliding: False | NearestObstacle: 56.6
Step 52 | Time: 0.867s | Pos: (561.0, 399.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 296.4 | Colliding: False | NearestObstacle: 56.1
Step 53 | Time: 0.883s | Pos: (559.5, 400.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 294.7 | Colliding: False | NearestObstacle: 55.7
Step 54 | Time: 0.900s | Pos: (558.0, 401.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 293.1 | Colliding: False | NearestObstacle: 55.4
Step 55 | Time: 0.917s | Pos: (556.5, 401.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 291.4 | Colliding: False | NearestObstacle: 55.0
Step 56 | Time: 0.933s | Pos: (555.0, 402.5) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 289.7 | Colliding: False | NearestObstacle: 54.7
Step 57 | Time: 0.950s | Pos: (553.5, 403.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 288.1 | Colliding: False | NearestObstacle: 54.5
Step 58 | Time: 0.967s | Pos: (552.0, 404.0) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 286.4 | Colliding: False | NearestObstacle: 54.2
Step 59 | Time: 0.983s | Pos: (550.5, 404.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 284.7 | Colliding: False | NearestObstacle: 54.0
Step 60 | Time: 1.000s | Pos: (549.1, 405.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 283.1 | Colliding: False | NearestObstacle: 53.9
Step 61 | Time: 1.017s | Pos: (547.6, 406.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 281.4 | Colliding: False | NearestObstacle: 53.7
Step 62 | Time: 1.033s | Pos: (546.1, 406.9) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 279.7 | Colliding: False | NearestObstacle: 53.6
Step 63 | Time: 1.050s | Pos: (544.6, 407.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 278.1 | Colliding: False | NearestObstacle: 53.6
Step 64 | Time: 1.067s | Pos: (543.1, 408.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 276.4 | Colliding: False | NearestObstacle: 53.6
Step 65 | Time: 1.083s | Pos: (541.6, 409.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 274.7 | Colliding: False | NearestObstacle: 53.6
Step 66 | Time: 1.100s | Pos: (540.1, 409.9) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 273.1 | Colliding: False | NearestObstacle: 53.6
Step 67 | Time: 1.117s | Pos: (538.6, 410.7) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 271.4 | Colliding: False | NearestObstacle: 53.7
Step 68 | Time: 1.133s | Pos: (537.1, 411.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 269.7 | Colliding: False | NearestObstacle: 53.8
Step 69 | Time: 1.150s | Pos: (535.6, 412.2) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 268.1 | Colliding: False | NearestObstacle: 53.9
Step 70 | Time: 1.167s | Pos: (534.1, 412.9) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 266.4 | Colliding: False | NearestObstacle: 54.1
Step 71 | Time: 1.183s | Pos: (532.7, 413.6) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 264.7 | Colliding: False | NearestObstacle: 54.3
Step 72 | Time: 1.200s | Pos: (531.2, 414.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 263.1 | Colliding: False | NearestObstacle: 54.6
Step 73 | Time: 1.217s | Pos: (529.7, 415.1) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 261.4 | Colliding: False | NearestObstacle: 54.9
Step 74 | Time: 1.233s | Pos: (528.2, 415.9) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 259.7 | Colliding: False | NearestObstacle: 55.2
Step 75 | Time: 1.250s | Pos: (526.7, 416.6) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 258.1 | Colliding: False | NearestObstacle: 55.5
Step 76 | Time: 1.267s | Pos: (525.2, 417.4) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 256.4 | Colliding: False | NearestObstacle: 55.9
Step 77 | Time: 1.283s | Pos: (523.7, 418.1) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 254.7 | Colliding: False | NearestObstacle: 56.3
Step 78 | Time: 1.300s | Pos: (522.2, 418.9) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 253.1 | Colliding: False | NearestObstacle: 56.8
Step 79 | Time: 1.317s | Pos: (520.7, 419.6) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 251.4 | Colliding: False | NearestObstacle: 57.3
Step 80 | Time: 1.333s | Pos: (519.2, 420.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 249.7 | Colliding: False | NearestObstacle: 57.8
Step 81 | Time: 1.350s | Pos: (517.7, 421.1) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 248.1 | Colliding: False | NearestObstacle: 58.3
Step 82 | Time: 1.367s | Pos: (516.3, 421.8) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 246.4 | Colliding: False | NearestObstacle: 58.9
Step 83 | Time: 1.383s | Pos: (514.8, 422.6) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 244.7 | Colliding: False | NearestObstacle: 59.5
Step 84 | Time: 1.400s | Pos: (513.3, 423.3) | Vel: (-89.5, 44.7) | Orient: 2.68 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 243.1 | Colliding: False | NearestObstacle: 59.3
