Step 28 | Time: 0.467s | Pos: (661.0, 317.8) | Vel: (-94.8, -168.8) | Orient: -2.78 rad | AngVel: -0.30 | Speed: 193.6 | DistToTarget: 407.6 | Colliding: False | NearestObstacle: 146.5
Step 29 | Time: 0.483s | Pos: (659.4, 314.9) | Vel: (-96.3, -170.8) | Orient: -2.78 rad | AngVel: -0.32 | Speed: 196.1 | DistToTarget: 405.1 | Colliding: False | NearestObstacle: 145.9
Step 30 | Time: 0.500s | Pos: (657.7, 312.0) | Vel: (-97.1, -172.9) | Orient: -2.79 rad | AngVel: -0.33 | Speed: 198.3 | DistToTarget: 402.6 | Colliding: False | NearestObstacle: 145.5
Step 31 | Time: 0.517s | Pos: (656.1, 309.1) | Vel: (-97.3, -175.2) | Orient: -2.79 rad | AngVel: -0.33 | Speed: 200.4 | DistToTarget: 400.1 | Colliding: False | NearestObstacle: 145.0
Step 32 | Time: 0.533s | Pos: (654.5, 306.1) | Vel: (-97.1, -177.5) | Orient: -2.80 rad | AngVel: -0.34 | Speed: 202.3 | DistToTarget: 397.6 | Colliding: False | NearestObstacle: 144.7
Step 33 | Time: 0.550s | Pos: (652.9, 303.1) | Vel: (-96.5, -179.9) | Orient: -2.80 rad | AngVel: -0.35 | Speed: 204.2 | DistToTarget: 395.0 | Colliding: False | NearestObstacle: 144.5
Step 34 | Time: 0.567s | Pos: (651.3, 300.1) | Vel: (-95.7, -182.4) | Orient: -2.81 rad | AngVel: -0.35 | Speed: 206.0 | DistToTarget: 392.5 | Colliding: False | NearestObstacle: 144.3
Step 35 | Time: 0.583s | Pos: (649.7, 297.0) | Vel: (-94.8, -185.0) | Orient: -2.82 rad | AngVel: -0.37 | Speed: 207.9 | DistToTarget: 390.1 | Colliding: False | NearestObstacle: 144.3
Step 36 | Time: 0.600s | Pos: (648.2, 293.9) | Vel: (-93.8, -187.5) | Orient: -2.82 rad | AngVel: -0.38 | Speed: 209.7 | DistToTarget: 387.6 | Colliding: False | NearestObstacle: 144.4
Step 37 | Time: 0.617s | Pos: (646.6, 290.7) | Vel: (-92.9, -190.0) | Orient: -2.83 rad | AngVel: -0.39 | Speed: 211.5 | DistToTarget: 385.1 | Colliding: False | NearestObstacle: 144.5
Step 38 | Time: 0.633s | Pos: (645.1, 287.5) | Vel: (-92.0, -192.5) | Orient: -2.84 rad | AngVel: -0.40 | Speed: 213.4 | DistToTarget: 382.7 | Colliding: False | NearestObstacle: 144.8
Step 39 | Time: 0.650s | Pos: (643.6, 284.3) | Vel: (-91.3, -194.9) | Orient: -2.84 rad | AngVel: -0.42 | Speed: 215.2 | DistToTarget: 380.3 | Colliding: False | NearestObstacle: 145.2
Step 40 | Time: 0.667s | Pos: (642.0, 281.0) | Vel: (-90.6, -197.1) | Orient: -2.85 rad | AngVel: -0.43 | Speed: 217.0 | DistToTarget: 377.9 | Colliding: False | NearestObstacle: 145.7
Step 41 | Time: 0.683s | Pos: (640.5, 277.7) | Vel: (-90.1, -199.2) | Orient: -2.86 rad | AngVel: -0.44 | Speed: 218.7 | DistToTarget: 375.5 | Colliding: False | NearestObstacle: 146.3
Step 42 | Time: 0.700s | Pos: (639.0, 274.3) | Vel: (-89.8, -201.2) | Orient: -2.86 rad | AngVel: -0.45 | Speed: 220.4 | DistToTarget: 373.1 | Colliding: False | NearestObstacle: 147.0
Step 43 | Time: 0.717s | Pos: (637.6, 270.9) | Vel: (-89.6, -203.1) | Orient: -2.87 rad | AngVel: -0.46 | Speed: 222.0 | DistToTarget: 370.8 | Colliding: False | NearestObstacle: 147.7
Step 44 | Time: 0.733s | Pos: (636.1, 267.5) | Vel: (-89.6, -204.8) | Orient: -2.88 rad | AngVel: -0.47 | Speed: 223.5 | DistToTarget: 368.4 | Colliding: False | NearestObstacle: 148.6
Step 45 | Time: 0.750s | Pos: (634.6, 264.1) | Vel: (-89.7, -206.3) | Orient: -2.89 rad | AngVel: -0.48 | Speed: 225.0 | DistToTarget: 366.1 | Colliding: False | NearestObstacle: 147.7
Step 46 | Time: 0.767s | Pos: (633.1, 260.6) | Vel: (-89.9, -207.7) | Orient: -2.90 rad | AngVel: -0.49 | Speed: 226.4 | DistToTarget: 363.8 | Colliding: False | NearestObstacle: 145.5
Step 47 | Time: 0.783s | Pos: (631.6, 257.1) | Vel: (-90.2, -209.0) | Orient: -2.90 rad | AngVel: -0.50 | Speed: 227.7 | DistToTarget: 361.5 | Colliding: False | NearestObstacle: 143.4
Step 48 | Time: 0.800s | Pos: (630.1, 253.6) | Vel: (-90.6, -210.2) | Orient: -2.91 rad | AngVel: -0.51 | Speed: 228.9 | DistToTarget: 359.3 | Colliding: False | NearestObstacle: 141.2
Step 49 | Time: 0.817s | Pos: (628.5, 250.1) | Vel: (-91.1, -211.2) | Orient: -2.92 rad | AngVel: -0.52 | Speed: 230.0 | DistToTarget: 357.0 | Colliding: False | NearestObstacle: 139.2
Step 50 | Time: 0.833s | Pos: (627.0, 246.6) | Vel: (-91.7, -212.2) | Orient: -2.93 rad | AngVel: -0.53 | Speed: 231.1 | DistToTarget: 354.7 | Colliding: False | NearestObstacle: 137.1
Step 51 | Time: 0.850s | Pos: (625.5, 243.0) | Vel: (-92.3, -213.1) | Orient: -2.94 rad | AngVel: -0.54 | Speed: 232.2 | DistToTarget: 352.5 | Colliding: False | NearestObstacle: 135.2
Step 52 | Time: 0.867s | Pos: (623.9, 239.5) | Vel: (-92.9, -213.9) | Orient: -2.95 rad | AngVel: -0.55 | Speed: 233.2 | DistToTarget: 350.3 | Colliding: False | NearestObstacle: 133.3
Step 53 | Time: 0.883s | Pos: (622.4, 235.9) | Vel: (-93.6, -214.7) | Orient: -2.96 rad | AngVel: -0.55 | Speed: 234.2 | DistToTarget: 348.1 | Colliding: False | NearestObstacle: 131.4
Step 54 | Time: 0.900s | Pos: (620.8, 232.3) | Vel: (-94.3, -215.4) | Orient: -2.97 rad | AngVel: -0.56 | Speed: 235.1 | DistToTarget: 345.9 | Colliding: False | NearestObstacle: 129.6
Step 55 | Time: 0.917s | Pos: (619.2, 228.7) | Vel: (-95.0, -216.2) | Orient: -2.98 rad | AngVel: -0.57 | Speed: 236.1 | DistToTarget: 343.7 | Colliding: False | NearestObstacle: 127.9
Step 56 | Time: 0.933s | Pos: (617.6, 225.1) | Vel: (-95.7, -216.9) | Orient: -2.99 rad | AngVel: -0.58 | Speed: 237.1 | DistToTarget: 341.6 | Colliding: False | NearestObstacle: 126.3
Step 57 | Time: 0.950s | Pos: (616.0, 221.4) | Vel: (-96.5, -217.7) | Orient: -3.00 rad | AngVel: -0.59 | Speed: 238.1 | DistToTarget: 339.5 | Colliding: False | NearestObstacle: 124.7
Step 58 | Time: 0.967s | Pos: (614.4, 217.8) | Vel: (-97.3, -218.5) | Orient: -3.01 rad | AngVel: -0.60 | Speed: 239.2 | DistToTarget: 337.4 | Colliding: False | NearestObstacle: 123.2
Step 59 | Time: 0.983s | Pos: (612.7, 214.1) | Vel: (-98.2, -219.3) | Orient: -3.02 rad | AngVel: -0.61 | Speed: 240.3 | DistToTarget: 335.3 | Colliding: False | NearestObstacle: 121.8
Step 60 | Time: 1.000s | Pos: (611.1, 210.5) | Vel: (-99.2, -220.1) | Orient: -3.03 rad | AngVel: -0.62 | Speed: 241.5 | DistToTarget: 333.2 | Colliding: False | NearestObstacle: 120.4
Step 61 | Time: 1.017s | Pos: (609.4, 206.8) | Vel: (-100.4, -221.0) | Orient: -3.04 rad | AngVel: -0.63 | Speed: 242.8 | DistToTarget: 331.1 | Colliding: False | NearestObstacle: 119.2
Step 62 | Time: 1.033s | Pos: (607.7, 203.1) | Vel: (-101.7, -222.0) | Orient: -3.05 rad | AngVel: -0.64 | Speed: 244.1 | DistToTarget: 329.1 | Colliding: False | NearestObstacle: 118.0
Step 63 | Time: 1.050s | Pos: (606.0, 199.4) | Vel: (-103.1, -222.9) | Orient: -3.06 rad | AngVel: -0.65 | Speed: 245.6 | DistToTarget: 327.0 | Colliding: False | NearestObstacle: 116.9
Step 64 | Time: 1.067s | Pos: (604.3, 195.6) | Vel: (-104.8, -223.9) | Orient: -3.07 rad | AngVel: -0.66 | Speed: 247.2 | DistToTarget: 325.0 | Colliding: False | NearestObstacle: 115.9
Step 65 | Time: 1.083s | Pos: (602.5, 191.9) | Vel: (-106.7, -224.9) | Orient: -3.08 rad | AngVel: -0.67 | Speed: 248.9 | DistToTarget: 323.0 | Colliding: False | NearestObstacle: 115.0
Step 66 | Time: 1.100s | Pos: (600.7, 188.1) | Vel: (-108.9, -225.8) | Orient: -3.09 rad | AngVel: -0.68 | Speed: 250.7 | DistToTarget: 321.0 | Colliding: False | NearestObstacle: 114.1
Step 67 | Time: 1.117s | Pos: (598.8, 184.4) | Vel: (-111.3, -226.8) | Orient: -3.10 rad | AngVel: -0.69 | Speed: 252.6 | DistToTarget: 318.9 | Colliding: False | NearestObstacle: 113.4
Step 68 | Time: 1.133s | Pos: (596.9, 180.6) | Vel: (-114.2, -227.6) | Orient: -3.12 rad | AngVel: -0.70 | Speed: 254.7 | DistToTarget: 316.9 | Colliding: False | NearestObstacle: 112.7
Step 69 | Time: 1.150s | Pos: (595.0, 176.8) | Vel: (-117.3, -228.4) | Orient: -3.13 rad | AngVel: -0.72 | Speed: 256.8 | DistToTarget: 314.9 | Colliding: False | NearestObstacle: 112.1
Step 70 | Time: 1.167s | Pos: (592.9, 172.9) | Vel: (-120.9, -229.1) | Orient: -3.14 rad | AngVel: -0.73 | Speed: 259.0 | DistToTarget: 312.9 | Colliding: False | NearestObstacle: 111.6
Step 71 | Time: 1.183s | Pos: (590.9, 169.1) | Vel: (-124.8, -229.7) | Orient: 3.13 rad | AngVel: -0.74 | Speed: 261.4 | DistToTarget: 310.8 | Colliding: False | NearestObstacle: 111.1
Step 72 | Time: 1.200s | Pos: (588.7, 165.3) | Vel: (-129.1, -230.0) | Orient: 3.12 rad | AngVel: -0.75 | Speed: 263.8 | DistToTarget: 308.7 | Colliding: False | NearestObstacle: 110.8
Step 73 | Time: 1.217s | Pos: (586.5, 161.4) | Vel: (-133.8, -230.2) | Orient: 3.11 rad | AngVel: -0.76 | Speed: 266.3 | DistToTarget: 306.6 | Colliding: False | NearestObstacle: 110.5
Step 74 | Time: 1.233s | Pos: (584.2, 157.6) | Vel: (-138.9, -230.2) | Orient: 3.09 rad | AngVel: -0.77 | Speed: 268.8 | DistToTarget: 304.4 | Colliding: False | NearestObstacle: 110.3
Step 75 | Time: 1.250s | Pos: (581.8, 153.8) | Vel: (-144.4, -229.9) | Orient: 3.08 rad | AngVel: -0.78 | Speed: 271.5 | DistToTarget: 302.2 | Colliding: False | NearestObstacle: 110.1
Step 76 | Time: 1.267s | Pos: (579.3, 149.9) | Vel: (-150.2, -229.3) | Orient: 3.07 rad | AngVel: -0.79 | Speed: 274.1 | DistToTarget: 300.0 | Colliding: False | NearestObstacle: 110.0
Step 77 | Time: 1.283s | Pos: (576.6, 146.1) | Vel: (-156.4, -228.4) | Orient: 3.05 rad | AngVel: -0.81 | Speed: 276.8 | DistToTarget: 297.7 | Colliding: False | NearestObstacle: 110.0
Step 78 | Time: 1.300s | Pos: (573.9, 142.4) | Vel: (-163.0, -227.2) | Orient: 3.04 rad | AngVel: -0.82 | Speed: 279.6 | DistToTarget: 295.4 | Colliding: False | NearestObstacle: 110.0
Step 79 | Time: 1.317s | Pos: (571.1, 138.6) | Vel: (-169.8, -225.6) | Orient: 3.03 rad | AngVel: -0.83 | Speed: 282.4 | DistToTarget: 293.0 | Colliding: False | NearestObstacle: 110.1
Step 80 | Time: 1.333s | Pos: (568.1, 134.9) | Vel: (-176.9, -223.7) | Orient: 3.01 rad | AngVel: -0.84 | Speed: 285.2 | DistToTarget: 290.5 | Colliding: False | NearestObstacle: 110.2
Step 81 | Time: 1.350s | Pos: (565.1, 131.2) | Vel: (-184.3, -221.4) | Orient: 3.00 rad | AngVel: -0.85 | Speed: 288.1 | DistToTarget: 288.0 | Colliding: False | NearestObstacle: 110.4
Step 82 | Time: 1.367s | Pos: (561.9, 127.5) | Vel: (-191.8, -218.8) | Orient: 2.98 rad | AngVel: -0.86 | Speed: 290.9 | DistToTarget: 285.4 | Colliding: False | NearestObstacle: 110.6
