Step 28 | Time: 0.467s | Pos: (663.4, 301.1) | Vel: (-149.8, -102.1) | Orient: 2.94 rad | AngVel: -0.22 | Speed: 181.3 | DistToTarget: 611.2 | Colliding: False | NearestObstacle: 195.7
Step 29 | Time: 0.483s | Pos: (660.7, 299.5) | Vel: (-162.9, -96.4) | Orient: 2.94 rad | AngVel: -0.21 | Speed: 189.3 | DistToTarget: 608.9 | Colliding: False | NearestObstacle: 194.2
Step 30 | Time: 0.500s | Pos: (657.8, 297.9) | Vel: (-174.4, -90.8) | Orient: 2.93 rad | AngVel: -0.20 | Speed: 196.6 | DistToTarget: 606.3 | Colliding: False | NearestObstacle: 192.5
Step 31 | Time: 0.517s | Pos: (654.7, 296.5) | Vel: (-184.6, -85.4) | Orient: 2.93 rad | AngVel: -0.20 | Speed: 203.4 | DistToTarget: 603.6 | Colliding: False | NearestObstacle: 190.7
Step 32 | Time: 0.533s | Pos: (651.5, 295.2) | Vel: (-193.4, -80.4) | Orient: 2.93 rad | AngVel: -0.20 | Speed: 209.5 | DistToTarget: 600.7 | Colliding: False | NearestObstacle: 188.7
Step 33 | Time: 0.550s | Pos: (648.1, 293.9) | Vel: (-201.2, -75.8) | Orient: 2.92 rad | AngVel: -0.19 | Speed: 215.0 | DistToTarget: 597.7 | Colliding: False | NearestObstacle: 186.6
Step 34 | Time: 0.567s | Pos: (644.6, 292.7) | Vel: (-207.9, -71.8) | Orient: 2.92 rad | AngVel: -0.19 | Speed: 220.0 | DistToTarget: 594.6 | Colliding: False | NearestObstacle: 184.4
Step 35 | Time: 0.583s | Pos: (641.1, 291.6) | Vel: (-213.8, -68.3) | Orient: 2.92 rad | AngVel: -0.19 | Speed: 224.5 | DistToTarget: 591.4 | Colliding: False | NearestObstacle: 182.2
Step 36 | Time: 0.600s | Pos: (637.4, 290.5) | Vel: (-219.0, -65.3) | Orient: 2.91 rad | AngVel: -0.19 | Speed: 228.6 | DistToTarget: 588.1 | Colliding: False | NearestObstacle: 179.9
Step 37 | Time: 0.617s | Pos: (633.7, 289.5) | Vel: (-223.6, -62.8) | Orient: 2.91 rad | AngVel: -0.19 | Speed: 232.3 | DistToTarget: 584.7 | Colliding: False | NearestObstacle: 177.6
Step 38 | Time: 0.633s | Pos: (629.9, 288.4) | Vel: (-227.8, -60.9) | Orient: 2.91 rad | AngVel: -0.19 | Speed: 235.8 | DistToTarget: 581.2 | Colliding: False | NearestObstacle: 175.2
Step 39 | Time: 0.650s | Pos: (626.0, 287.4) | Vel: (-231.5, -59.5) | Orient: 2.90 rad | AngVel: -0.19 | Speed: 239.0 | DistToTarget: 577.7 | Colliding: False | NearestObstacle: 172.8
Step 40 | Time: 0.667s | Pos: (622.1, 286.5) | Vel: (-234.8, -58.5) | Orient: 2.90 rad | AngVel: -0.19 | Speed: 242.0 | DistToTarget: 574.1 | Colliding: False | NearestObstacle: 170.5
Step 41 | Time: 0.683s | Pos: (618.2, 285.5) | Vel: (-237.9, -57.9) | Orient: 2.90 rad | AngVel: -0.20 | Speed: 244.9 | DistToTarget: 570.5 | Colliding: False | NearestObstacle: 168.1
Step 42 | Time: 0.700s | Pos: (614.2, 284.5) | Vel: (-240.8, -57.7) | Orient: 2.89 rad | AngVel: -0.20 | Speed: 247.6 | DistToTarget: 566.9 | Colliding: False | NearestObstacle: 165.8
Step 43 | Time: 0.717s | Pos: (610.1, 283.6) | Vel: (-243.5, -57.9) | Orient: 2.89 rad | AngVel: -0.20 | Speed: 250.3 | DistToTarget: 563.2 | Colliding: False | NearestObstacle: 163.5
Step 44 | Time: 0.733s | Pos: (606.0, 282.6) | Vel: (-246.0, -58.4) | Orient: 2.89 rad | AngVel: -0.21 | Speed: 252.8 | DistToTarget: 559.4 | Colliding: False | NearestObstacle: 161.2
Step 45 | Time: 0.750s | Pos: (601.9, 281.6) | Vel: (-248.4, -59.2) | Orient: 2.88 rad | AngVel: -0.21 | Speed: 255.3 | DistToTarget: 555.7 | Colliding: False | NearestObstacle: 159.0
