Step 28 | Time: 0.467s | Pos: (678.6, 389.1) | Vel: (79.8, 60.2) | Orient: 2.56 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 55.6 | Colliding: False | NearestObstacle: 265.5
Step 29 | Time: 0.483s | Pos: (679.9, 390.1) | Vel: (79.8, 60.2) | Orient: 2.53 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 53.9 | Colliding: False | NearestObstacle: 263.9
Step 30 | Time: 0.500s | Pos: (681.3, 391.1) | Vel: (79.8, 60.2) | Orient: 2.50 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 52.2 | Colliding: False | NearestObstacle: 262.2
Step 31 | Time: 0.517s | Pos: (682.6, 392.1) | Vel: (79.8, 60.2) | Orient: 2.46 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 50.6 | Colliding: False | NearestObstacle: 260.6
Step 32 | Time: 0.533s | Pos: (683.9, 393.1) | Vel: (79.8, 60.2) | Orient: 2.43 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 48.9 | Colliding: False | NearestObstacle: 258.9
Step 33 | Time: 0.550s | Pos: (685.2, 394.1) | Vel: (79.8, 60.2) | Orient: 2.40 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 47.2 | Colliding: False | NearestObstacle: 257.3
Step 34 | Time: 0.567s | Pos: (686.6, 395.1) | Vel: (79.8, 60.2) | Orient: 2.36 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 45.6 | Colliding: False | NearestObstacle: 255.7
Step 35 | Time: 0.583s | Pos: (687.9, 396.1) | Vel: (79.8, 60.2) | Orient: 2.33 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 43.9 | Colliding: False | NearestObstacle: 254.0
Step 36 | Time: 0.600s | Pos: (689.2, 397.1) | Vel: (79.8, 60.2) | Orient: 2.30 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 42.2 | Colliding: False | NearestObstacle: 252.4
Step 37 | Time: 0.617s | Pos: (690.6, 398.1) | Vel: (79.8, 60.2) | Orient: 2.26 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 40.6 | Colliding: False | NearestObstacle: 250.7
Step 38 | Time: 0.633s | Pos: (691.9, 399.1) | Vel: (79.8, 60.2) | Orient: 2.23 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 38.9 | Colliding: False | NearestObstacle: 249.1
Step 39 | Time: 0.650s | Pos: (693.2, 400.1) | Vel: (79.8, 60.2) | Orient: 2.20 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 37.2 | Colliding: False | NearestObstacle: 247.5
Step 40 | Time: 0.667s | Pos: (694.6, 401.1) | Vel: (79.8, 60.2) | Orient: 2.16 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 35.6 | Colliding: False | NearestObstacle: 245.8
Step 41 | Time: 0.683s | Pos: (695.9, 402.1) | Vel: (79.8, 60.2) | Orient: 2.13 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 33.9 | Colliding: False | NearestObstacle: 244.2
Step 42 | Time: 0.700s | Pos: (697.2, 403.1) | Vel: (79.8, 60.2) | Orient: 2.10 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 32.2 | Colliding: False | NearestObstacle: 242.6
Step 43 | Time: 0.717s | Pos: (698.6, 404.2) | Vel: (79.8, 60.2) | Orient: 2.06 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 30.6 | Colliding: False | NearestObstacle: 240.9
Step 44 | Time: 0.733s | Pos: (699.9, 405.2) | Vel: (79.8, 60.2) | Orient: 2.03 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 28.9 | Colliding: False | NearestObstacle: 239.3
