Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (-0.4, 0.1) | Orient: 1.18 rad | AngVel: -2.00 | Speed: 0.4 | DistToTarget: 271.9 | Colliding: False | NearestObstacle: 125.0
Step 1 | Time: 0.017s | Pos: (640.0, 360.0) | Vel: (-0.7, 0.2) | Orient: 1.14 rad | AngVel: -2.00 | Speed: 0.7 | DistToTarget: 271.9 | Colliding: False | NearestObstacle: 125.0
Step 2 | Time: 0.033s | Pos: (640.0, 360.0) | Vel: (-0.8, 0.5) | Orient: 1.11 rad | AngVel: -2.00 | Speed: 0.9 | DistToTarget: 271.9 | Colliding: False | NearestObstacle: 125.1
Step 3 | Time: 0.050s | Pos: (640.0, 360.0) | Vel: (-0.8, 0.9) | Orient: 1.08 rad | AngVel: -2.00 | Speed: 1.2 | DistToTarget: 271.9 | Colliding: False | NearestObstacle: 125.1
Step 4 | Time: 0.067s | Pos: (639.9, 360.1) | Vel: (-0.6, 1.4) | Orient: 1.04 rad | AngVel: -2.00 | Speed: 1.5 | DistToTarget: 271.9 | Colliding: False | NearestObstacle: 125.1
Step 5 | Time: 0.083s | Pos: (639.9, 360.1) | Vel: (-0.2, 1.9) | Orient: 1.01 rad | AngVel: -2.00 | Speed: 2.0 | DistToTarget: 271.9 | Colliding: False | NearestObstacle: 125.1
Step 6 | Time: 0.100s | Pos: (639.9, 360.1) | Vel: (0.3, 2.6) | Orient: 0.98 rad | AngVel: -2.00 | Speed: 2.6 | DistToTarget: 271.8 | Colliding: False | NearestObstacle: 125.1
Step 7 | Time: 0.117s | Pos: (640.0, 360.2) | Vel: (0.9, 3.4) | Orient: 0.94 rad | AngVel: -2.00 | Speed: 3.5 | DistToTarget: 271.8 | Colliding: False | NearestObstacle: 125.1
Step 8 | Time: 0.133s | Pos: (640.0, 360.3) | Vel: (1.7, 4.3) | Orient: 0.91 rad | AngVel: -2.00 | Speed: 4.6 | DistToTarget: 271.7 | Colliding: False | NearestObstacle: 125.0
Step 9 | Time: 0.150s | Pos: (640.0, 360.3) | Vel: (2.6, 5.3) | Orient: 0.88 rad | AngVel: -2.00 | Speed: 5.9 | DistToTarget: 271.6 | Colliding: False | NearestObstacle: 125.0
Step 10 | Time: 0.167s | Pos: (640.1, 360.5) | Vel: (3.7, 6.4) | Orient: 0.84 rad | AngVel: -2.00 | Speed: 7.4 | DistToTarget: 271.5 | Colliding: False | NearestObstacle: 124.9
Step 11 | Time: 0.183s | Pos: (640.2, 360.6) | Vel: (4.9, 7.6) | Orient: 0.81 rad | AngVel: -2.00 | Speed: 9.0 | DistToTarget: 271.4 | Colliding: False | NearestObstacle: 124.8
Step 12 | Time: 0.200s | Pos: (640.3, 360.7) | Vel: (6.3, 8.9) | Orient: 0.78 rad | AngVel: -2.00 | Speed: 10.9 | DistToTarget: 271.2 | Colliding: False | NearestObstacle: 124.7
Step 13 | Time: 0.217s | Pos: (640.4, 360.9) | Vel: (7.8, 10.3) | Orient: 0.74 rad | AngVel: -2.00 | Speed: 12.9 | DistToTarget: 271.0 | Colliding: False | NearestObstacle: 124.6
Step 14 | Time: 0.233s | Pos: (640.6, 361.1) | Vel: (9.5, 11.7) | Orient: 0.71 rad | AngVel: -2.00 | Speed: 15.1 | DistToTarget: 270.8 | Colliding: False | NearestObstacle: 124.4
Step 15 | Time: 0.250s | Pos: (640.8, 361.3) | Vel: (11.3, 13.3) | Orient: 0.68 rad | AngVel: -2.00 | Speed: 17.5 | DistToTarget: 270.5 | Colliding: False | NearestObstacle: 124.2
Step 16 | Time: 0.267s | Pos: (641.0, 361.6) | Vel: (13.3, 15.0) | Orient: 0.64 rad | AngVel: -2.00 | Speed: 20.1 | DistToTarget: 270.2 | Colliding: False | NearestObstacle: 124.0
Step 17 | Time: 0.283s | Pos: (641.2, 361.8) | Vel: (15.4, 16.8) | Orient: 0.61 rad | AngVel: -1.97 | Speed: 22.8 | DistToTarget: 269.8 | Colliding: False | NearestObstacle: 123.7
Step 18 | Time: 0.300s | Pos: (641.5, 362.2) | Vel: (17.6, 18.7) | Orient: 0.59 rad | AngVel: -1.42 | Speed: 25.7 | DistToTarget: 269.4 | Colliding: False | NearestObstacle: 123.4
Step 19 | Time: 0.317s | Pos: (641.9, 362.5) | Vel: (20.0, 20.7) | Orient: 0.58 rad | AngVel: -0.71 | Speed: 28.8 | DistToTarget: 268.9 | Colliding: False | NearestObstacle: 123.0
Step 20 | Time: 0.333s | Pos: (642.2, 362.9) | Vel: (22.5, 22.8) | Orient: 0.57 rad | AngVel: -0.12 | Speed: 32.0 | DistToTarget: 268.4 | Colliding: False | NearestObstacle: 122.7
Step 21 | Time: 0.350s | Pos: (642.7, 363.3) | Vel: (25.1, 24.9) | Orient: 0.58 rad | AngVel: 0.24 | Speed: 35.4 | DistToTarget: 267.8 | Colliding: False | NearestObstacle: 122.2
Step 22 | Time: 0.367s | Pos: (643.1, 363.8) | Vel: (27.8, 27.2) | Orient: 0.58 rad | AngVel: 0.37 | Speed: 38.9 | DistToTarget: 267.2 | Colliding: False | NearestObstacle: 121.7
Step 23 | Time: 0.383s | Pos: (643.6, 364.2) | Vel: (30.7, 29.6) | Orient: 0.59 rad | AngVel: 0.33 | Speed: 42.6 | DistToTarget: 266.5 | Colliding: False | NearestObstacle: 121.2
Step 24 | Time: 0.400s | Pos: (644.2, 364.8) | Vel: (33.7, 32.0) | Orient: 0.59 rad | AngVel: 0.21 | Speed: 46.5 | DistToTarget: 265.7 | Colliding: False | NearestObstacle: 120.6
Step 25 | Time: 0.417s | Pos: (644.8, 365.4) | Vel: (36.8, 34.6) | Orient: 0.59 rad | AngVel: 0.08 | Speed: 50.5 | DistToTarget: 264.9 | Colliding: False | NearestObstacle: 120.0
Step 26 | Time: 0.433s | Pos: (645.5, 366.0) | Vel: (40.0, 37.2) | Orient: 0.59 rad | AngVel: -0.03 | Speed: 54.7 | DistToTarget: 264.0 | Colliding: False | NearestObstacle: 119.3
Step 27 | Time: 0.450s | Pos: (646.2, 366.6) | Vel: (43.4, 39.9) | Orient: 0.59 rad | AngVel: -0.09 | Speed: 59.0 | DistToTarget: 263.0 | Colliding: False | NearestObstacle: 118.6
Step 28 | Time: 0.467s | Pos: (647.0, 367.4) | Vel: (46.8, 42.8) | Orient: 0.59 rad | AngVel: -0.11 | Speed: 63.4 | DistToTarget: 262.0 | Colliding: False | NearestObstacle: 117.8
