Step 28 | Time: 0.467s | Pos: (688.3, 362.6) | Vel: (99.9, 5.4) | Orient: 0.07 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 96.5 | Colliding: False | NearestObstacle: 178.0
Step 29 | Time: 0.483s | Pos: (689.9, 362.7) | Vel: (99.9, 5.4) | Orient: 0.07 rad | AngVel: -0.30 | Speed: 100.0 | DistToTarget: 94.9 | Colliding: False | NearestObstacle: 177.0
Step 30 | Time: 0.500s | Pos: (691.6, 362.8) | Vel: (99.9, 5.4) | Orient: 0.06 rad | AngVel: -0.39 | Speed: 100.0 | DistToTarget: 93.2 | Colliding: False | NearestObstacle: 176.1
Step 31 | Time: 0.517s | Pos: (693.3, 362.9) | Vel: (99.9, 5.4) | Orient: 0.06 rad | AngVel: -0.33 | Speed: 100.0 | DistToTarget: 91.5 | Colliding: False | NearestObstacle: 175.2
Step 32 | Time: 0.533s | Pos: (694.9, 363.0) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.21 | Speed: 100.0 | DistToTarget: 89.9 | Colliding: False | NearestObstacle: 174.2
Step 33 | Time: 0.550s | Pos: (696.6, 363.1) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.08 | Speed: 100.0 | DistToTarget: 88.2 | Colliding: False | NearestObstacle: 173.3
Step 34 | Time: 0.567s | Pos: (698.2, 363.1) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 86.5 | Colliding: False | NearestObstacle: 172.4
Step 35 | Time: 0.583s | Pos: (699.9, 363.2) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.06 | Speed: 100.0 | DistToTarget: 84.9 | Colliding: False | NearestObstacle: 171.5
Step 36 | Time: 0.600s | Pos: (701.6, 363.3) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.07 | Speed: 100.0 | DistToTarget: 83.2 | Colliding: False | NearestObstacle: 170.6
Step 37 | Time: 0.617s | Pos: (703.2, 363.4) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.06 | Speed: 100.0 | DistToTarget: 81.5 | Colliding: False | NearestObstacle: 169.7
Step 38 | Time: 0.633s | Pos: (704.9, 363.5) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.03 | Speed: 100.0 | DistToTarget: 79.9 | Colliding: False | NearestObstacle: 168.8
Step 39 | Time: 0.650s | Pos: (706.6, 363.6) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 78.2 | Colliding: False | NearestObstacle: 168.0
Step 40 | Time: 0.667s | Pos: (708.2, 363.7) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 76.5 | Colliding: False | NearestObstacle: 167.1
Step 41 | Time: 0.683s | Pos: (709.9, 363.8) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 74.9 | Colliding: False | NearestObstacle: 166.2
Step 42 | Time: 0.700s | Pos: (711.6, 363.9) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 73.2 | Colliding: False | NearestObstacle: 165.4
Step 43 | Time: 0.717s | Pos: (713.2, 364.0) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 71.5 | Colliding: False | NearestObstacle: 164.6
Step 44 | Time: 0.733s | Pos: (714.9, 364.0) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.01 | Speed: 100.0 | DistToTarget: 69.9 | Colliding: False | NearestObstacle: 163.8
Step 45 | Time: 0.750s | Pos: (716.6, 364.1) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 68.2 | Colliding: False | NearestObstacle: 162.9
Step 46 | Time: 0.767s | Pos: (718.2, 364.2) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 66.5 | Colliding: False | NearestObstacle: 162.1
Step 47 | Time: 0.783s | Pos: (719.9, 364.3) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 64.9 | Colliding: False | NearestObstacle: 161.4
Step 48 | Time: 0.800s | Pos: (721.5, 364.4) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 63.2 | Colliding: False | NearestObstacle: 160.6
Step 49 | Time: 0.817s | Pos: (723.2, 364.5) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 61.5 | Colliding: False | NearestObstacle: 159.8
Step 50 | Time: 0.833s | Pos: (724.9, 364.6) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 59.9 | Colliding: False | NearestObstacle: 159.1
Step 51 | Time: 0.850s | Pos: (726.5, 364.7) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 58.2 | Colliding: False | NearestObstacle: 158.3
Step 52 | Time: 0.867s | Pos: (728.2, 364.8) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 56.5 | Colliding: False | NearestObstacle: 157.6
Step 53 | Time: 0.883s | Pos: (729.9, 364.9) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 54.9 | Colliding: False | NearestObstacle: 156.8
Step 54 | Time: 0.900s | Pos: (731.5, 364.9) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 53.2 | Colliding: False | NearestObstacle: 156.1
Step 55 | Time: 0.917s | Pos: (733.2, 365.0) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 51.5 | Colliding: False | NearestObstacle: 155.4
Step 56 | Time: 0.933s | Pos: (734.9, 365.1) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 49.9 | Colliding: False | NearestObstacle: 154.7
Step 57 | Time: 0.950s | Pos: (736.5, 365.2) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 48.2 | Colliding: False | NearestObstacle: 154.1
Step 58 | Time: 0.967s | Pos: (738.2, 365.3) | Vel: (99.9, 5.4) | Orient: 0.05 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 46.5 | Colliding: False | NearestObstacle: 153.4
