Step 0 | Time: 0.000s | Pos: (639.2, 358.6) | Vel: (-50.2, -86.5) | Orient: -1.81 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 227.7 | Colliding: False | NearestObstacle: 111.1
Step 1 | Time: 0.017s | Pos: (638.3, 357.1) | Vel: (-50.2, -86.5) | Orient: -1.84 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 226.0 | Colliding: False | NearestObstacle: 109.7
Step 2 | Time: 0.033s | Pos: (637.5, 355.7) | Vel: (-50.2, -86.5) | Orient: -1.87 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 224.3 | Colliding: False | NearestObstacle: 108.2
Step 3 | Time: 0.050s | Pos: (636.7, 354.2) | Vel: (-50.2, -86.5) | Orient: -1.91 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 222.7 | Colliding: False | NearestObstacle: 106.8
Step 4 | Time: 0.067s | Pos: (635.8, 352.8) | Vel: (-50.2, -86.5) | Orient: -1.94 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 221.0 | Colliding: False | NearestObstacle: 105.4
Step 5 | Time: 0.083s | Pos: (635.0, 351.4) | Vel: (-50.2, -86.5) | Orient: -1.97 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 219.3 | Colliding: False | NearestObstacle: 104.0
Step 6 | Time: 0.100s | Pos: (634.1, 349.9) | Vel: (-50.2, -86.5) | Orient: -2.01 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 217.7 | Colliding: False | NearestObstacle: 102.6
Step 7 | Time: 0.117s | Pos: (633.3, 348.5) | Vel: (-50.2, -86.5) | Orient: -2.04 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 216.0 | Colliding: False | NearestObstacle: 101.2
Step 8 | Time: 0.133s | Pos: (632.5, 347.0) | Vel: (-50.2, -86.5) | Orient: -2.07 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 214.3 | Colliding: False | NearestObstacle: 99.9
Step 9 | Time: 0.150s | Pos: (631.6, 345.6) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -1.50 | Speed: 100.0 | DistToTarget: 212.7 | Colliding: False | NearestObstacle: 98.5
Step 10 | Time: 0.167s | Pos: (630.8, 344.1) | Vel: (-50.2, -86.5) | Orient: -2.11 rad | AngVel: -0.81 | Speed: 100.0 | DistToTarget: 211.0 | Colliding: False | NearestObstacle: 97.1
Step 11 | Time: 0.183s | Pos: (630.0, 342.7) | Vel: (-50.2, -86.5) | Orient: -2.12 rad | AngVel: -0.19 | Speed: 100.0 | DistToTarget: 209.3 | Colliding: False | NearestObstacle: 95.8
Step 12 | Time: 0.200s | Pos: (629.1, 341.3) | Vel: (-50.2, -86.5) | Orient: -2.11 rad | AngVel: 0.22 | Speed: 100.0 | DistToTarget: 207.7 | Colliding: False | NearestObstacle: 94.4
Step 13 | Time: 0.217s | Pos: (628.3, 339.8) | Vel: (-50.2, -86.5) | Orient: -2.11 rad | AngVel: 0.38 | Speed: 100.0 | DistToTarget: 206.0 | Colliding: False | NearestObstacle: 93.1
Step 14 | Time: 0.233s | Pos: (627.4, 338.4) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.37 | Speed: 100.0 | DistToTarget: 204.3 | Colliding: False | NearestObstacle: 91.7
Step 15 | Time: 0.250s | Pos: (626.6, 336.9) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.26 | Speed: 100.0 | DistToTarget: 202.7 | Colliding: False | NearestObstacle: 90.4
Step 16 | Time: 0.267s | Pos: (625.8, 335.5) | Vel: (-50.2, -86.5) | Orient: -2.09 rad | AngVel: 0.13 | Speed: 100.0 | DistToTarget: 201.0 | Colliding: False | NearestObstacle: 89.1
Step 17 | Time: 0.283s | Pos: (624.9, 334.1) | Vel: (-50.2, -86.5) | Orient: -2.09 rad | AngVel: 0.02 | Speed: 100.0 | DistToTarget: 199.3 | Colliding: False | NearestObstacle: 87.8
Step 18 | Time: 0.300s | Pos: (624.1, 332.6) | Vel: (-50.2, -86.5) | Orient: -2.09 rad | AngVel: -0.05 | Speed: 100.0 | DistToTarget: 197.7 | Colliding: False | NearestObstacle: 86.5
Step 19 | Time: 0.317s | Pos: (623.3, 331.2) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.08 | Speed: 100.0 | DistToTarget: 196.0 | Colliding: False | NearestObstacle: 85.2
Step 20 | Time: 0.333s | Pos: (622.4, 329.7) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.07 | Speed: 100.0 | DistToTarget: 194.3 | Colliding: False | NearestObstacle: 83.9
Step 21 | Time: 0.350s | Pos: (621.6, 328.3) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.04 | Speed: 100.0 | DistToTarget: 192.7 | Colliding: False | NearestObstacle: 82.6
Step 22 | Time: 0.367s | Pos: (620.7, 326.9) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.02 | Speed: 100.0 | DistToTarget: 191.0 | Colliding: False | NearestObstacle: 81.4
Step 23 | Time: 0.383s | Pos: (619.9, 325.4) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 189.3 | Colliding: False | NearestObstacle: 80.1
Step 24 | Time: 0.400s | Pos: (619.1, 324.0) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 187.7 | Colliding: False | NearestObstacle: 78.9
Step 25 | Time: 0.417s | Pos: (618.2, 322.5) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 186.0 | Colliding: False | NearestObstacle: 77.7
Step 26 | Time: 0.433s | Pos: (617.4, 321.1) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 184.3 | Colliding: False | NearestObstacle: 76.5
Step 27 | Time: 0.450s | Pos: (616.6, 319.6) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.01 | Speed: 100.0 | DistToTarget: 182.7 | Colliding: False | NearestObstacle: 75.3
Step 28 | Time: 0.467s | Pos: (615.7, 318.2) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 181.0 | Colliding: False | NearestObstacle: 74.1
Step 29 | Time: 0.483s | Pos: (614.9, 316.8) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 179.3 | Colliding: False | NearestObstacle: 72.9
Step 30 | Time: 0.500s | Pos: (614.0, 315.3) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 177.7 | Colliding: False | NearestObstacle: 71.8
Step 31 | Time: 0.517s | Pos: (613.2, 313.9) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 176.0 | Colliding: False | NearestObstacle: 70.6
Step 32 | Time: 0.533s | Pos: (612.4, 312.4) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 174.3 | Colliding: False | NearestObstacle: 69.5
Step 33 | Time: 0.550s | Pos: (611.5, 311.0) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 172.7 | Colliding: False | NearestObstacle: 68.4
Step 34 | Time: 0.567s | Pos: (610.7, 309.6) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 171.0 | Colliding: False | NearestObstacle: 67.3
Step 35 | Time: 0.583s | Pos: (609.9, 308.1) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 169.3 | Colliding: False | NearestObstacle: 66.2
Step 36 | Time: 0.600s | Pos: (609.0, 306.7) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 167.7 | Colliding: False | NearestObstacle: 65.2
Step 37 | Time: 0.617s | Pos: (608.2, 305.2) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 166.0 | Colliding: False | NearestObstacle: 64.1
Step 38 | Time: 0.633s | Pos: (607.3, 303.8) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 164.3 | Colliding: False | NearestObstacle: 63.1
Step 39 | Time: 0.650s | Pos: (606.5, 302.4) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 162.7 | Colliding: False | NearestObstacle: 62.1
Step 40 | Time: 0.667s | Pos: (605.7, 300.9) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 161.0 | Colliding: False | NearestObstacle: 61.2
Step 41 | Time: 0.683s | Pos: (604.8, 299.5) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 159.3 | Colliding: False | NearestObstacle: 60.2
Step 42 | Time: 0.700s | Pos: (604.0, 298.0) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 157.7 | Colliding: False | NearestObstacle: 59.3
Step 43 | Time: 0.717s | Pos: (603.2, 296.6) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 156.0 | Colliding: False | NearestObstacle: 58.4
Step 44 | Time: 0.733s | Pos: (602.3, 295.2) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 154.3 | Colliding: False | NearestObstacle: 57.5
Step 45 | Time: 0.750s | Pos: (601.5, 293.7) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: -0.00 | Speed: 100.0 | DistToTarget: 152.7 | Colliding: False | NearestObstacle: 56.6
Step 46 | Time: 0.767s | Pos: (600.6, 292.3) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 151.0 | Colliding: False | NearestObstacle: 55.8
Step 47 | Time: 0.783s | Pos: (599.8, 290.8) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 149.3 | Colliding: False | NearestObstacle: 54.9
Step 48 | Time: 0.800s | Pos: (599.0, 289.4) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 147.7 | Colliding: False | NearestObstacle: 54.2
Step 49 | Time: 0.817s | Pos: (598.1, 287.9) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 146.0 | Colliding: False | NearestObstacle: 53.4
Step 50 | Time: 0.833s | Pos: (597.3, 286.5) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 144.3 | Colliding: False | NearestObstacle: 52.7
Step 51 | Time: 0.850s | Pos: (596.5, 285.1) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 142.7 | Colliding: False | NearestObstacle: 52.0
Step 52 | Time: 0.867s | Pos: (595.6, 283.6) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 141.0 | Colliding: False | NearestObstacle: 51.3
Step 53 | Time: 0.883s | Pos: (594.8, 282.2) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 139.3 | Colliding: False | NearestObstacle: 50.6
Step 54 | Time: 0.900s | Pos: (594.0, 280.7) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 137.7 | Colliding: False | NearestObstacle: 50.0
Step 55 | Time: 0.917s | Pos: (593.1, 279.3) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 136.0 | Colliding: False | NearestObstacle: 49.5
Step 56 | Time: 0.933s | Pos: (592.3, 277.9) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 134.3 | Colliding: False | NearestObstacle: 48.9
Step 57 | Time: 0.950s | Pos: (591.4, 276.4) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 132.7 | Colliding: False | NearestObstacle: 48.4
Step 58 | Time: 0.967s | Pos: (590.6, 275.0) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 131.0 | Colliding: False | NearestObstacle: 47.9
Step 59 | Time: 0.983s | Pos: (589.8, 273.5) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 129.3 | Colliding: False | NearestObstacle: 47.5
Step 60 | Time: 1.000s | Pos: (588.9, 272.1) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 127.7 | Colliding: False | NearestObstacle: 47.1
Step 61 | Time: 1.017s | Pos: (588.1, 270.7) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 126.0 | Colliding: False | NearestObstacle: 46.7
Step 62 | Time: 1.033s | Pos: (587.3, 269.2) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 124.3 | Colliding: False | NearestObstacle: 46.4
Step 63 | Time: 1.050s | Pos: (586.4, 267.8) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 122.7 | Colliding: False | NearestObstacle: 46.1
Step 64 | Time: 1.067s | Pos: (585.6, 266.3) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 121.0 | Colliding: False | NearestObstacle: 45.8
Step 65 | Time: 1.083s | Pos: (584.7, 264.9) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 119.3 | Colliding: False | NearestObstacle: 45.6
Step 66 | Time: 1.100s | Pos: (583.9, 263.4) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 117.7 | Colliding: False | NearestObstacle: 45.4
Step 67 | Time: 1.117s | Pos: (583.1, 262.0) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 116.0 | Colliding: False | NearestObstacle: 45.2
Step 68 | Time: 1.133s | Pos: (582.2, 260.6) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 114.3 | Colliding: False | NearestObstacle: 45.1
Step 69 | Time: 1.150s | Pos: (581.4, 259.1) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 112.7 | Colliding: False | NearestObstacle: 45.1
Step 70 | Time: 1.167s | Pos: (580.6, 257.7) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 111.0 | Colliding: False | NearestObstacle: 45.0
Step 71 | Time: 1.183s | Pos: (579.7, 256.2) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 109.3 | Colliding: False | NearestObstacle: 45.0
Step 72 | Time: 1.200s | Pos: (578.9, 254.8) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 107.7 | Colliding: False | NearestObstacle: 45.1
Step 73 | Time: 1.217s | Pos: (578.0, 253.4) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 106.0 | Colliding: False | NearestObstacle: 45.2
Step 74 | Time: 1.233s | Pos: (577.2, 251.9) | Vel: (-50.2, -86.5) | Orient: -2.10 rad | AngVel: 0.00 | Speed: 100.0 | DistToTarget: 104.3 | Colliding: False | NearestObstacle: 45.3
