Step 28 | Time: 0.467s | Pos: (672.7, 306.7) | Vel: (87.8, -89.6) | Orient: 0.85 rad | AngVel: 1.44 | Speed: 125.5 | DistToTarget: 86.9 | Colliding: False | NearestObstacle: 237.7
Step 29 | Time: 0.483s | Pos: (674.2, 305.3) | Vel: (88.6, -85.9) | Orient: 0.88 rad | AngVel: 1.41 | Speed: 123.4 | DistToTarget: 87.0 | Colliding: False | NearestObstacle: 239.5
Step 30 | Time: 0.500s | Pos: (675.7, 303.9) | Vel: (89.3, -82.1) | Orient: 0.90 rad | AngVel: 1.38 | Speed: 121.3 | DistToTarget: 87.1 | Colliding: False | NearestObstacle: 241.3
Step 31 | Time: 0.517s | Pos: (677.2, 302.6) | Vel: (90.0, -78.3) | Orient: 0.92 rad | AngVel: 1.36 | Speed: 119.3 | DistToTarget: 87.2 | Colliding: False | NearestObstacle: 243.1
Step 32 | Time: 0.533s | Pos: (678.7, 301.4) | Vel: (90.7, -74.4) | Orient: 0.95 rad | AngVel: 1.34 | Speed: 117.3 | DistToTarget: 87.3 | Colliding: False | NearestObstacle: 244.7
Step 33 | Time: 0.550s | Pos: (680.2, 300.2) | Vel: (91.4, -70.4) | Orient: 0.97 rad | AngVel: 1.32 | Speed: 115.3 | DistToTarget: 87.4 | Colliding: False | NearestObstacle: 246.4
Step 34 | Time: 0.567s | Pos: (681.7, 299.1) | Vel: (92.0, -66.3) | Orient: 0.99 rad | AngVel: 1.29 | Speed: 113.4 | DistToTarget: 87.5 | Colliding: False | NearestObstacle: 247.9
Step 35 | Time: 0.583s | Pos: (683.3, 298.1) | Vel: (92.5, -62.2) | Orient: 1.01 rad | AngVel: 1.27 | Speed: 111.5 | DistToTarget: 87.5 | Colliding: False | NearestObstacle: 249.5
Step 36 | Time: 0.600s | Pos: (684.8, 297.1) | Vel: (93.0, -58.0) | Orient: 1.03 rad | AngVel: 1.25 | Speed: 109.6 | DistToTarget: 87.5 | Colliding: False | NearestObstacle: 250.9
Step 37 | Time: 0.617s | Pos: (686.4, 296.2) | Vel: (93.4, -53.7) | Orient: 1.05 rad | AngVel: 1.23 | Speed: 107.8 | DistToTarget: 87.5 | Colliding: False | NearestObstacle: 252.3
Step 38 | Time: 0.633s | Pos: (687.9, 295.4) | Vel: (93.8, -49.4) | Orient: 1.07 rad | AngVel: 1.21 | Speed: 106.0 | DistToTarget: 87.4 | Colliding: False | NearestObstacle: 253.7
Step 39 | Time: 0.650s | Pos: (689.5, 294.6) | Vel: (94.1, -45.0) | Orient: 1.09 rad | AngVel: 1.19 | Speed: 104.3 | DistToTarget: 87.4 | Colliding: False | NearestObstacle: 254.9
Step 40 | Time: 0.667s | Pos: (691.1, 294.0) | Vel: (94.3, -40.5) | Orient: 1.11 rad | AngVel: 1.17 | Speed: 102.6 | DistToTarget: 87.3 | Colliding: False | NearestObstacle: 256.2
Step 41 | Time: 0.683s | Pos: (692.7, 293.4) | Vel: (94.5, -36.0) | Orient: 1.13 rad | AngVel: 1.15 | Speed: 101.1 | DistToTarget: 87.1 | Colliding: False | NearestObstacle: 257.3
Step 42 | Time: 0.700s | Pos: (694.2, 292.8) | Vel: (94.5, -31.4) | Orient: 1.15 rad | AngVel: 1.13 | Speed: 99.6 | DistToTarget: 86.9 | Colliding: False | NearestObstacle: 258.4
Step 43 | Time: 0.717s | Pos: (695.8, 292.4) | Vel: (94.5, -26.7) | Orient: 1.17 rad | AngVel: 1.12 | Speed: 98.2 | DistToTarget: 86.7 | Colliding: False | NearestObstacle: 259.4
Step 44 | Time: 0.733s | Pos: (697.4, 292.0) | Vel: (94.3, -22.0) | Orient: 1.19 rad | AngVel: 1.10 | Speed: 96.9 | DistToTarget: 86.4 | Colliding: False | NearestObstacle: 260.4
Step 45 | Time: 0.750s | Pos: (698.9, 291.7) | Vel: (94.1, -17.2) | Orient: 1.20 rad | AngVel: 1.09 | Speed: 95.6 | DistToTarget: 86.1 | Colliding: False | NearestObstacle: 261.3
Step 46 | Time: 0.767s | Pos: (700.5, 291.5) | Vel: (93.7, -12.3) | Orient: 1.22 rad | AngVel: 1.07 | Speed: 94.5 | DistToTarget: 85.8 | Colliding: False | NearestObstacle: 262.1
Step 47 | Time: 0.783s | Pos: (702.1, 291.4) | Vel: (93.3, -7.5) | Orient: 1.24 rad | AngVel: 1.05 | Speed: 93.6 | DistToTarget: 85.4 | Colliding: False | NearestObstacle: 262.8
Step 48 | Time: 0.800s | Pos: (703.6, 291.4) | Vel: (92.7, -2.5) | Orient: 1.26 rad | AngVel: 1.04 | Speed: 92.7 | DistToTarget: 84.9 | Colliding: False | NearestObstacle: 263.5
Step 49 | Time: 0.817s | Pos: (705.1, 291.4) | Vel: (91.9, 2.4) | Orient: 1.27 rad | AngVel: 1.03 | Speed: 92.0 | DistToTarget: 84.4 | Colliding: False | NearestObstacle: 264.1
Step 50 | Time: 0.833s | Pos: (706.7, 291.5) | Vel: (91.1, 7.4) | Orient: 1.29 rad | AngVel: 1.01 | Speed: 91.4 | DistToTarget: 83.9 | Colliding: False | NearestObstacle: 264.6
