Step 28 | Time: 0.467s | Pos: (641.6, 369.3) | Vel: (2.4, 63.2) | Orient: -0.02 rad | AngVel: 2.00 | Speed: 63.3 | DistToTarget: 294.6 | Colliding: False | NearestObstacle: 109.4
Step 29 | Time: 0.483s | Pos: (641.7, 370.4) | Vel: (2.1, 68.1) | Orient: 0.01 rad | AngVel: 2.00 | Speed: 68.1 | DistToTarget: 293.5 | Colliding: False | NearestObstacle: 108.5
Step 30 | Time: 0.500s | Pos: (641.7, 371.7) | Vel: (1.8, 73.1) | Orient: 0.04 rad | AngVel: 2.00 | Speed: 73.1 | DistToTarget: 292.3 | Colliding: False | NearestObstacle: 107.6
Step 31 | Time: 0.517s | Pos: (641.7, 373.0) | Vel: (1.6, 78.2) | Orient: 0.08 rad | AngVel: 2.00 | Speed: 78.3 | DistToTarget: 291.0 | Colliding: False | NearestObstacle: 106.7
Step 32 | Time: 0.533s | Pos: (641.7, 374.4) | Vel: (1.3, 83.5) | Orient: 0.11 rad | AngVel: 2.00 | Speed: 83.5 | DistToTarget: 289.7 | Colliding: False | NearestObstacle: 105.6
Step 33 | Time: 0.550s | Pos: (641.8, 375.8) | Vel: (1.1, 88.9) | Orient: 0.14 rad | AngVel: 2.00 | Speed: 88.9 | DistToTarget: 288.2 | Colliding: False | NearestObstacle: 104.5
Step 34 | Time: 0.567s | Pos: (641.8, 377.4) | Vel: (0.9, 94.5) | Orient: 0.18 rad | AngVel: 2.00 | Speed: 94.5 | DistToTarget: 286.7 | Colliding: False | NearestObstacle: 103.4
Step 35 | Time: 0.583s | Pos: (641.8, 379.1) | Vel: (0.7, 100.0) | Orient: 0.21 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 285.1 | Colliding: False | NearestObstacle: 102.2
Step 36 | Time: 0.600s | Pos: (641.8, 380.7) | Vel: (0.5, 100.0) | Orient: 0.24 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 283.4 | Colliding: False | NearestObstacle: 101.0
Step 37 | Time: 0.617s | Pos: (641.8, 382.4) | Vel: (0.4, 100.0) | Orient: 0.28 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 281.8 | Colliding: False | NearestObstacle: 99.8
Step 38 | Time: 0.633s | Pos: (641.8, 384.1) | Vel: (0.3, 100.0) | Orient: 0.31 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 280.2 | Colliding: False | NearestObstacle: 98.6
Step 39 | Time: 0.650s | Pos: (641.8, 385.7) | Vel: (0.3, 100.0) | Orient: 0.34 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 278.5 | Colliding: False | NearestObstacle: 97.4
Step 40 | Time: 0.667s | Pos: (641.8, 387.4) | Vel: (0.3, 100.0) | Orient: 0.38 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 276.9 | Colliding: False | NearestObstacle: 96.2
Step 41 | Time: 0.683s | Pos: (641.8, 389.1) | Vel: (0.3, 100.0) | Orient: 0.41 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 275.3 | Colliding: False | NearestObstacle: 95.1
Step 42 | Time: 0.700s | Pos: (641.8, 390.7) | Vel: (0.5, 100.0) | Orient: 0.44 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 273.6 | Colliding: False | NearestObstacle: 93.9
Step 43 | Time: 0.717s | Pos: (641.8, 392.4) | Vel: (0.6, 100.0) | Orient: 0.48 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 272.0 | Colliding: False | NearestObstacle: 92.8
Step 44 | Time: 0.733s | Pos: (641.9, 394.1) | Vel: (0.8, 100.0) | Orient: 0.51 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 270.4 | Colliding: False | NearestObstacle: 91.7
Step 45 | Time: 0.750s | Pos: (641.9, 395.7) | Vel: (1.1, 100.0) | Orient: 0.54 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 268.7 | Colliding: False | NearestObstacle: 90.6
Step 46 | Time: 0.767s | Pos: (641.9, 397.4) | Vel: (1.4, 100.0) | Orient: 0.58 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 267.1 | Colliding: False | NearestObstacle: 89.5
Step 47 | Time: 0.783s | Pos: (641.9, 399.1) | Vel: (1.8, 100.0) | Orient: 0.61 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 265.5 | Colliding: False | NearestObstacle: 88.4
Step 48 | Time: 0.800s | Pos: (642.0, 400.7) | Vel: (2.2, 100.0) | Orient: 0.64 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 263.9 | Colliding: False | NearestObstacle: 87.4
Step 49 | Time: 0.817s | Pos: (642.0, 402.4) | Vel: (2.7, 100.0) | Orient: 0.68 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 262.3 | Colliding: False | NearestObstacle: 86.4
Step 50 | Time: 0.833s | Pos: (642.1, 404.1) | Vel: (3.3, 99.9) | Orient: 0.71 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 260.6 | Colliding: False | NearestObstacle: 85.4
Step 51 | Time: 0.850s | Pos: (642.1, 405.7) | Vel: (3.8, 99.9) | Orient: 0.74 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 259.0 | Colliding: False | NearestObstacle: 84.4
Step 52 | Time: 0.867s | Pos: (642.2, 407.4) | Vel: (4.5, 99.9) | Orient: 0.78 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 257.4 | Colliding: False | NearestObstacle: 83.5
Step 53 | Time: 0.883s | Pos: (642.3, 409.1) | Vel: (5.1, 99.9) | Orient: 0.81 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 255.8 | Colliding: False | NearestObstacle: 82.6
Step 54 | Time: 0.900s | Pos: (642.4, 410.7) | Vel: (5.8, 99.8) | Orient: 0.84 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 254.2 | Colliding: False | NearestObstacle: 81.7
Step 55 | Time: 0.917s | Pos: (642.5, 412.4) | Vel: (6.6, 99.8) | Orient: 0.88 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 252.6 | Colliding: False | NearestObstacle: 80.8
Step 56 | Time: 0.933s | Pos: (642.6, 414.1) | Vel: (7.4, 99.7) | Orient: 0.91 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 251.0 | Colliding: False | NearestObstacle: 80.0
Step 57 | Time: 0.950s | Pos: (642.8, 415.7) | Vel: (8.2, 99.7) | Orient: 0.94 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 249.4 | Colliding: False | NearestObstacle: 79.2
Step 58 | Time: 0.967s | Pos: (642.9, 417.4) | Vel: (9.1, 99.6) | Orient: 0.98 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 247.8 | Colliding: False | NearestObstacle: 78.4
Step 59 | Time: 0.983s | Pos: (643.1, 419.0) | Vel: (9.9, 99.5) | Orient: 1.01 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 246.3 | Colliding: False | NearestObstacle: 77.7
Step 60 | Time: 1.000s | Pos: (643.3, 420.7) | Vel: (10.8, 99.4) | Orient: 1.04 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 244.7 | Colliding: False | NearestObstacle: 77.0
Step 61 | Time: 1.017s | Pos: (643.5, 422.3) | Vel: (11.7, 99.3) | Orient: 1.08 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 243.1 | Colliding: False | NearestObstacle: 76.3
Step 62 | Time: 1.033s | Pos: (643.7, 424.0) | Vel: (12.6, 99.2) | Orient: 1.11 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 241.6 | Colliding: False | NearestObstacle: 75.7
Step 63 | Time: 1.050s | Pos: (643.9, 425.7) | Vel: (13.5, 99.1) | Orient: 1.14 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 240.0 | Colliding: False | NearestObstacle: 75.1
Step 64 | Time: 1.067s | Pos: (644.1, 427.3) | Vel: (14.4, 99.0) | Orient: 1.18 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 238.5 | Colliding: False | NearestObstacle: 74.6
Step 65 | Time: 1.083s | Pos: (644.4, 428.9) | Vel: (15.3, 98.8) | Orient: 1.21 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 236.9 | Colliding: False | NearestObstacle: 74.1
Step 66 | Time: 1.100s | Pos: (644.7, 430.6) | Vel: (16.1, 98.7) | Orient: 1.24 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 235.4 | Colliding: False | NearestObstacle: 73.6
Step 67 | Time: 1.117s | Pos: (644.9, 432.2) | Vel: (16.9, 98.6) | Orient: 1.28 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 233.9 | Colliding: False | NearestObstacle: 73.2
Step 68 | Time: 1.133s | Pos: (645.2, 433.9) | Vel: (17.7, 98.4) | Orient: 1.31 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 232.4 | Colliding: False | NearestObstacle: 72.8
Step 69 | Time: 1.150s | Pos: (645.5, 435.5) | Vel: (18.4, 98.3) | Orient: 1.34 rad | AngVel: 2.00 | Speed: 100.0 | DistToTarget: 230.9 | Colliding: False | NearestObstacle: 72.4
