Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (2.5, -1.1) | Orient: 2.79 rad | AngVel: -2.00 | Speed: 2.8 | DistToTarget: 474.1 | Colliding: False | NearestObstacle: 119.6
Step 1 | Time: 0.017s | Pos: (640.2, 359.9) | Vel: (8.1, -3.2) | Orient: 2.75 rad | AngVel: -2.00 | Speed: 8.7 | DistToTarget: 474.0 | Colliding: False | NearestObstacle: 119.5
Step 2 | Time: 0.033s | Pos: (640.5, 359.8) | Vel: (16.6, -6.2) | Orient: 2.72 rad | AngVel: -2.00 | Speed: 17.8 | DistToTarget: 473.7 | Colliding: False | NearestObstacle: 119.2
Step 3 | Time: 0.050s | Pos: (640.9, 359.7) | Vel: (28.2, -10.3) | Orient: 2.69 rad | AngVel: -2.00 | Speed: 30.0 | DistToTarget: 473.2 | Colliding: False | NearestObstacle: 118.8
Step 4 | Time: 0.067s | Pos: (641.6, 359.4) | Vel: (42.7, -15.4) | Orient: 2.65 rad | AngVel: -2.00 | Speed: 45.3 | DistToTarget: 472.4 | Colliding: False | NearestObstacle: 118.1
Step 5 | Time: 0.083s | Pos: (642.6, 359.0) | Vel: (60.1, -21.4) | Orient: 2.62 rad | AngVel: -2.00 | Speed: 63.8 | DistToTarget: 471.3 | Colliding: False | NearestObstacle: 117.2
Step 6 | Time: 0.100s | Pos: (644.0, 358.6) | Vel: (80.5, -28.5) | Orient: 2.59 rad | AngVel: -2.00 | Speed: 85.4 | DistToTarget: 469.9 | Colliding: False | NearestObstacle: 116.0
Step 7 | Time: 0.117s | Pos: (645.6, 358.0) | Vel: (94.3, -33.1) | Orient: 2.55 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 468.3 | Colliding: False | NearestObstacle: 114.6
Step 8 | Time: 0.133s | Pos: (647.1, 357.5) | Vel: (94.4, -33.0) | Orient: 2.52 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 466.6 | Colliding: False | NearestObstacle: 113.2
Step 9 | Time: 0.150s | Pos: (648.7, 356.9) | Vel: (94.4, -32.9) | Orient: 2.49 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 464.9 | Colliding: False | NearestObstacle: 111.8
Step 10 | Time: 0.167s | Pos: (650.3, 356.4) | Vel: (94.5, -32.8) | Orient: 2.45 rad | AngVel: -2.00 | Speed: 100.0 | DistToTarget: 463.3 | Colliding: False | NearestObstacle: 110.4
