Step 28 | Time: 0.467s | Pos: (565.3, 316.3) | Vel: (-207.5, 26.9) | Orient: 1.76 rad | AngVel: -0.80 | Speed: 209.3 | DistToTarget: 246.8 | Colliding: False | NearestObstacle: 159.7
Step 29 | Time: 0.483s | Pos: (561.9, 316.9) | Vel: (-206.6, 33.5) | Orient: 1.74 rad | AngVel: -0.79 | Speed: 209.3 | DistToTarget: 245.6 | Colliding: False | NearestObstacle: 160.5
Step 30 | Time: 0.500s | Pos: (558.5, 317.6) | Vel: (-205.5, 39.7) | Orient: 1.73 rad | AngVel: -0.79 | Speed: 209.3 | DistToTarget: 244.4 | Colliding: False | NearestObstacle: 161.2
Step 31 | Time: 0.517s | Pos: (555.1, 318.3) | Vel: (-204.2, 45.7) | Orient: 1.72 rad | AngVel: -0.79 | Speed: 209.2 | DistToTarget: 243.2 | Colliding: False | NearestObstacle: 161.9
Step 32 | Time: 0.533s | Pos: (551.7, 319.2) | Vel: (-202.7, 51.4) | Orient: 1.70 rad | AngVel: -0.79 | Speed: 209.1 | DistToTarget: 241.8 | Colliding: False | NearestObstacle: 162.6
Step 33 | Time: 0.550s | Pos: (548.3, 320.1) | Vel: (-201.0, 57.0) | Orient: 1.69 rad | AngVel: -0.80 | Speed: 208.9 | DistToTarget: 240.5 | Colliding: False | NearestObstacle: 163.3
Step 34 | Time: 0.567s | Pos: (545.0, 321.2) | Vel: (-199.1, 62.5) | Orient: 1.68 rad | AngVel: -0.80 | Speed: 208.7 | DistToTarget: 239.1 | Colliding: False | NearestObstacle: 163.9
Step 35 | Time: 0.583s | Pos: (541.7, 322.3) | Vel: (-197.1, 67.8) | Orient: 1.66 rad | AngVel: -0.80 | Speed: 208.4 | DistToTarget: 237.6 | Colliding: False | NearestObstacle: 164.4
Step 36 | Time: 0.600s | Pos: (538.5, 323.5) | Vel: (-194.9, 72.9) | Orient: 1.65 rad | AngVel: -0.80 | Speed: 208.1 | DistToTarget: 236.1 | Colliding: False | NearestObstacle: 165.0
Step 37 | Time: 0.617s | Pos: (535.3, 324.8) | Vel: (-192.6, 78.0) | Orient: 1.64 rad | AngVel: -0.79 | Speed: 207.8 | DistToTarget: 234.6 | Colliding: False | NearestObstacle: 165.5
Step 38 | Time: 0.633s | Pos: (532.1, 326.2) | Vel: (-190.2, 83.0) | Orient: 1.62 rad | AngVel: -0.79 | Speed: 207.5 | DistToTarget: 233.0 | Colliding: False | NearestObstacle: 166.0
Step 39 | Time: 0.650s | Pos: (529.0, 327.7) | Vel: (-187.6, 87.9) | Orient: 1.61 rad | AngVel: -0.79 | Speed: 207.1 | DistToTarget: 231.4 | Colliding: False | NearestObstacle: 166.5
Step 40 | Time: 0.667s | Pos: (525.9, 329.2) | Vel: (-184.9, 92.7) | Orient: 1.60 rad | AngVel: -0.79 | Speed: 206.8 | DistToTarget: 229.8 | Colliding: False | NearestObstacle: 166.9
Step 41 | Time: 0.683s | Pos: (522.9, 330.8) | Vel: (-182.0, 97.5) | Orient: 1.58 rad | AngVel: -0.79 | Speed: 206.5 | DistToTarget: 228.1 | Colliding: False | NearestObstacle: 167.3
Step 42 | Time: 0.700s | Pos: (519.9, 332.5) | Vel: (-179.1, 102.2) | Orient: 1.57 rad | AngVel: -0.78 | Speed: 206.2 | DistToTarget: 226.4 | Colliding: False | NearestObstacle: 167.6
Step 43 | Time: 0.717s | Pos: (516.9, 334.3) | Vel: (-176.0, 106.9) | Orient: 1.56 rad | AngVel: -0.78 | Speed: 206.0 | DistToTarget: 224.6 | Colliding: False | NearestObstacle: 168.0
Step 44 | Time: 0.733s | Pos: (514.1, 336.2) | Vel: (-172.9, 111.5) | Orient: 1.54 rad | AngVel: -0.78 | Speed: 205.7 | DistToTarget: 222.8 | Colliding: False | NearestObstacle: 168.3
Step 45 | Time: 0.750s | Pos: (511.2, 338.1) | Vel: (-169.6, 116.1) | Orient: 1.53 rad | AngVel: -0.78 | Speed: 205.5 | DistToTarget: 221.0 | Colliding: False | NearestObstacle: 168.5
Step 46 | Time: 0.767s | Pos: (508.5, 340.1) | Vel: (-166.2, 120.6) | Orient: 1.52 rad | AngVel: -0.78 | Speed: 205.3 | DistToTarget: 219.1 | Colliding: False | NearestObstacle: 168.8
Step 47 | Time: 0.783s | Pos: (505.8, 342.2) | Vel: (-162.7, 125.1) | Orient: 1.51 rad | AngVel: -0.78 | Speed: 205.2 | DistToTarget: 217.2 | Colliding: False | NearestObstacle: 169.0
Step 48 | Time: 0.800s | Pos: (503.1, 344.4) | Vel: (-159.1, 129.5) | Orient: 1.49 rad | AngVel: -0.78 | Speed: 205.1 | DistToTarget: 215.2 | Colliding: False | NearestObstacle: 169.1
Step 49 | Time: 0.817s | Pos: (500.5, 346.6) | Vel: (-155.4, 133.8) | Orient: 1.48 rad | AngVel: -0.78 | Speed: 205.1 | DistToTarget: 213.2 | Colliding: False | NearestObstacle: 169.3
Step 50 | Time: 0.833s | Pos: (498.0, 348.9) | Vel: (-151.6, 138.1) | Orient: 1.47 rad | AngVel: -0.77 | Speed: 205.1 | DistToTarget: 211.1 | Colliding: False | NearestObstacle: 169.4
Step 51 | Time: 0.850s | Pos: (495.5, 351.3) | Vel: (-147.8, 142.3) | Orient: 1.45 rad | AngVel: -0.77 | Speed: 205.2 | DistToTarget: 209.1 | Colliding: False | NearestObstacle: 169.4
Step 52 | Time: 0.867s | Pos: (493.1, 353.7) | Vel: (-143.8, 146.5) | Orient: 1.44 rad | AngVel: -0.77 | Speed: 205.3 | DistToTarget: 206.9 | Colliding: False | NearestObstacle: 169.5
Step 53 | Time: 0.883s | Pos: (490.8, 356.2) | Vel: (-139.8, 150.6) | Orient: 1.43 rad | AngVel: -0.77 | Speed: 205.5 | DistToTarget: 204.8 | Colliding: False | NearestObstacle: 169.4
Step 54 | Time: 0.900s | Pos: (488.5, 358.8) | Vel: (-135.7, 154.6) | Orient: 1.42 rad | AngVel: -0.77 | Speed: 205.7 | DistToTarget: 202.5 | Colliding: False | NearestObstacle: 169.4
Step 55 | Time: 0.917s | Pos: (486.3, 361.4) | Vel: (-131.6, 158.5) | Orient: 1.40 rad | AngVel: -0.77 | Speed: 206.0 | DistToTarget: 200.3 | Colliding: False | NearestObstacle: 169.3
Step 56 | Time: 0.933s | Pos: (484.2, 364.1) | Vel: (-127.4, 162.3) | Orient: 1.39 rad | AngVel: -0.77 | Speed: 206.4 | DistToTarget: 198.0 | Colliding: False | NearestObstacle: 169.2
Step 57 | Time: 0.950s | Pos: (482.2, 366.9) | Vel: (-123.2, 166.1) | Orient: 1.38 rad | AngVel: -0.77 | Speed: 206.8 | DistToTarget: 195.7 | Colliding: False | NearestObstacle: 169.1
Step 58 | Time: 0.967s | Pos: (480.2, 369.7) | Vel: (-119.0, 169.7) | Orient: 1.36 rad | AngVel: -0.77 | Speed: 207.3 | DistToTarget: 193.3 | Colliding: False | NearestObstacle: 168.9
Step 59 | Time: 0.983s | Pos: (478.3, 372.6) | Vel: (-114.7, 173.3) | Orient: 1.35 rad | AngVel: -0.77 | Speed: 207.8 | DistToTarget: 190.9 | Colliding: False | NearestObstacle: 168.7
Step 60 | Time: 1.000s | Pos: (476.4, 375.6) | Vel: (-110.4, 176.7) | Orient: 1.34 rad | AngVel: -0.77 | Speed: 208.4 | DistToTarget: 188.4 | Colliding: False | NearestObstacle: 168.4
Step 61 | Time: 1.017s | Pos: (474.7, 378.6) | Vel: (-106.1, 180.1) | Orient: 1.33 rad | AngVel: -0.78 | Speed: 209.0 | DistToTarget: 185.9 | Colliding: False | NearestObstacle: 168.2
Step 62 | Time: 1.033s | Pos: (473.0, 381.6) | Vel: (-101.8, 183.4) | Orient: 1.31 rad | AngVel: -0.78 | Speed: 209.7 | DistToTarget: 183.4 | Colliding: False | NearestObstacle: 167.9
Step 63 | Time: 1.050s | Pos: (471.3, 384.7) | Vel: (-97.5, 186.5) | Orient: 1.30 rad | AngVel: -0.78 | Speed: 210.5 | DistToTarget: 180.8 | Colliding: False | NearestObstacle: 167.6
Step 64 | Time: 1.067s | Pos: (469.8, 387.9) | Vel: (-93.3, 189.6) | Orient: 1.29 rad | AngVel: -0.79 | Speed: 211.3 | DistToTarget: 178.2 | Colliding: False | NearestObstacle: 167.2
Step 65 | Time: 1.083s | Pos: (468.3, 391.1) | Vel: (-89.0, 192.5) | Orient: 1.27 rad | AngVel: -0.79 | Speed: 212.1 | DistToTarget: 175.5 | Colliding: False | NearestObstacle: 166.9
