Step 0 | Time: 0.000s | Pos: (640.0, 360.0) | Vel: (1.4, -0.1) | Orient: -2.52 rad | AngVel: 2.00 | Speed: 1.4 | DistToTarget: 281.7 | Colliding: False | NearestObstacle: 101.1
Step 1 | Time: 0.017s | Pos: (640.1, 360.0) | Vel: (2.6, -0.3) | Orient: -2.55 rad | AngVel: -2.00 | Speed: 2.6 | DistToTarget: 281.8 | Colliding: False | NearestObstacle: 101.1
Step 2 | Time: 0.033s | Pos: (640.1, 360.0) | Vel: (3.6, -0.5) | Orient: -2.58 rad | AngVel: -2.00 | Speed: 3.6 | DistToTarget: 281.8 | Colliding: False | NearestObstacle: 101.1
Step 3 | Time: 0.050s | Pos: (640.2, 360.0) | Vel: (4.4, -0.7) | Orient: -2.62 rad | AngVel: -2.00 | Speed: 4.5 | DistToTarget: 281.9 | Colliding: False | NearestObstacle: 101.2
Step 4 | Time: 0.067s | Pos: (640.3, 360.0) | Vel: (5.0, -1.0) | Orient: -2.65 rad | AngVel: -2.00 | Speed: 5.1 | DistToTarget: 282.0 | Colliding: False | NearestObstacle: 101.3
Step 5 | Time: 0.083s | Pos: (640.4, 359.9) | Vel: (5.5, -1.2) | Orient: -2.68 rad | AngVel: -2.00 | Speed: 5.6 | DistToTarget: 282.1 | Colliding: False | NearestObstacle: 101.4
Step 6 | Time: 0.100s | Pos: (640.5, 359.9) | Vel: (5.7, -1.6) | Orient: -2.72 rad | AngVel: -2.00 | Speed: 5.9 | DistToTarget: 282.1 | Colliding: False | NearestObstacle: 101.5
Step 7 | Time: 0.117s | Pos: (640.6, 359.9) | Vel: (5.8, -1.9) | Orient: -2.75 rad | AngVel: -2.00 | Speed: 6.1 | DistToTarget: 282.2 | Colliding: False | NearestObstacle: 101.6
Step 8 | Time: 0.133s | Pos: (640.7, 359.8) | Vel: (5.6, -2.3) | Orient: -2.78 rad | AngVel: -2.00 | Speed: 6.0 | DistToTarget: 282.3 | Colliding: False | NearestObstacle: 101.7
Step 9 | Time: 0.150s | Pos: (640.7, 359.8) | Vel: (5.2, -2.6) | Orient: -2.82 rad | AngVel: -2.00 | Speed: 5.9 | DistToTarget: 282.4 | Colliding: False | NearestObstacle: 101.8
Step 10 | Time: 0.167s | Pos: (640.8, 359.7) | Vel: (4.7, -3.1) | Orient: -2.85 rad | AngVel: -2.00 | Speed: 5.6 | DistToTarget: 282.5 | Colliding: False | NearestObstacle: 101.9
Step 11 | Time: 0.183s | Pos: (640.9, 359.7) | Vel: (4.0, -3.5) | Orient: -2.88 rad | AngVel: -2.00 | Speed: 5.3 | DistToTarget: 282.5 | Colliding: False | NearestObstacle: 102.0
Step 12 | Time: 0.200s | Pos: (640.9, 359.6) | Vel: (3.0, -4.0) | Orient: -2.92 rad | AngVel: -2.00 | Speed: 5.0 | DistToTarget: 282.6 | Colliding: False | NearestObstacle: 102.0
Step 13 | Time: 0.217s | Pos: (641.0, 359.5) | Vel: (1.9, -4.5) | Orient: -2.95 rad | AngVel: -2.00 | Speed: 4.8 | DistToTarget: 282.6 | Colliding: False | NearestObstacle: 102.1
